date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FO%,wFO/C,vFO,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vSC (sc),SC%,wSC/C
2024-04-07,745198,Strikeout,strikeout,True,686780,666277,Pedro Pagés,George Soriano,0,a94eaf12-cf73-41bf-8b32-b56f5d4d9d53,666277.0,georgesoriano,"Soriano, G",Right,George Soriano,MIA,9.26,7.01,11.2,92.0,95.0,91.0,0.798,9.26,5.4,8.49,2.31,0.71,0.212,0.424,0.091,0.333,0.412,116.0,99.0,95.0,,,,77.0,88.0,80.0,,,,104.0,94.0,100.0,,,,,0.412,,0.431,,0.157,0.61,,,-3.45,,-1.45,94.5,,88.8,,83.5,,,,,0.368,0.895,0.255,,,,0.125,0.25,0.276,0.286,0.286,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,745193,Lineout,field_out,True,686780,663531,Pedro Pagés,Logan Allen,0,4fadd330-d842-4d68-99ed-76f7b83d0e0f,663531.0,loganallen,"Allen, L.S.",Left,Logan Allen,CLE,5.67,5.5,87.1,97.0,78.0,92.0,0.793,7.83,3.61,10.31,1.85,1.07,0.258,0.362,0.151,0.321,0.409,101.0,94.0,97.0,,,,61.0,98.0,88.0,,,,91.0,98.0,86.0,92.0,99.0,97.0,,0.483,0.15,0.183,,0.183,-1.5,0.37,,-2.18,,-1.11,91.2,85.4,81.6,,78.6,,0.348,0.652,0.053,0.231,0.308,0.273,0.263,0.316,0.235,0.563,0.875,0.132,,,,,,,,,,0.138,0.138,0.25,,,,,,,,,,,,,,,,,,,,,
2024-04-24,745188,Walk,walk,False,686780,686826,Pedro Pagés,Bryce Jarvis,1,a015fcf1-1b5e-4243-986b-80b078f1d222,686826.0,brycejarvis,Jarvis,Right,Bryce Jarvis,ARI,3.52,5.19,53.2,96.0,99.0,94.0,0.803,5.53,4.86,8.05,1.01,1.16,0.263,0.407,0.084,0.383,0.448,86.0,91.0,95.0,121.0,83.0,88.0,86.0,99.0,91.0,87.0,94.0,90.0,124.0,94.0,102.0,113.0,100.0,91.0,0.132,0.344,0.133,0.242,0.008,0.141,1.29,-1.94,0.74,0.9,5.82,-1.82,95.6,89.6,85.1,95.2,86.4,83.2,0.28,0.52,0.132,0.221,0.279,0.298,0.364,0.773,0.224,0.234,0.313,0.147,0.176,0.353,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,746477,Sac Fly,sac_fly,True,686780,571946,Pedro Pagés,Shelby Miller,1,8ddc5822-5de7-4b52-897c-e6d00362e1f8,571946.0,shelbymiller,"Miller, S",Right,Shelby Miller,DET,5.23,4.13,32.2,96.0,105.0,98.0,0.766,8.27,1.93,6.34,1.65,0.82,0.261,0.435,0.109,0.348,0.459,,,,,,,109.0,97.0,97.0,,,,87.0,102.0,96.0,,,,,0.607,,0.177,,,1.32,,,-1.7,,,93.2,,,,88.3,,,,,0.25,0.583,0.238,,,,0.156,0.344,0.257,,,,,,,,,,0.233,0.4,0.236,,,,,,,100.0,99.0,107.0,0.216,-0.28,86.6,,,,,,,,,
2024-05-09,745995,Strikeout,strikeout,True,686780,668964,Pedro Pagés,Tobias Myers,0,217aa7ec-a32c-4a6c-8fb1-f1e11472bebc,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.13,3.99,72.0,101.0,91.0,98.0,0.8,7.75,2.5,7.63,1.25,0.95,0.288,0.39,0.127,0.273,0.428,108.0,81.0,87.0,72.0,100.0,102.0,85.0,106.0,102.0,75.0,91.0,71.0,93.0,106.0,104.0,96.0,101.0,91.0,0.007,0.4,0.229,0.192,0.051,0.12,1.01,-1.06,13.69,2.07,-3.98,0.93,92.7,89.4,81.2,91.2,85.4,77.7,0.0,0.0,0.0,0.18,0.2,0.324,0.333,0.509,0.152,0.207,0.413,0.174,0.091,0.091,0.431,0.5,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,745995,Walk,walk,False,686780,668964,Pedro Pagés,Tobias Myers,0,0f2ef13a-617f-4cc8-91c4-5d8346c30ce0,668964.0,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.13,3.99,72.0,101.0,91.0,98.0,0.8,7.75,2.5,7.63,1.25,0.95,0.288,0.39,0.127,0.273,0.428,108.0,81.0,87.0,72.0,100.0,102.0,85.0,106.0,102.0,75.0,91.0,71.0,93.0,106.0,104.0,96.0,101.0,91.0,0.007,0.4,0.229,0.192,0.051,0.12,1.01,-1.06,13.69,2.07,-3.98,0.93,92.7,89.4,81.2,91.2,85.4,77.7,0.0,0.0,0.0,0.18,0.2,0.324,0.333,0.509,0.152,0.207,0.413,0.174,0.091,0.091,0.431,0.5,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,745995,Strikeout,strikeout,True,686780,657649,Pedro Pagés,Jared Koenig,0,31270f0c-f466-401c-a08d-51a35bfdf5f5,657649.0,jaredkoenig,Koenig,Left,Jared Koenig,MIL,1.66,3.08,38.0,102.0,89.0,99.0,0.763,8.53,2.61,6.39,0.71,1.35,0.223,0.427,0.223,0.282,0.488,66.0,87.0,87.0,95.0,109.0,104.0,81.0,117.0,116.0,89.0,100.0,97.0,,,,91.0,101.0,99.0,0.586,0.002,0.238,,0.154,0.02,-3.7,1.4,1.64,,1.05,3.47,95.0,90.4,84.8,94.5,,80.8,0.2,0.282,0.178,,,,0.194,0.323,0.278,,,,,,,0.19,0.19,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-09,745995,Groundout,field_out,True,686780,600986,Pedro Pagés,Thyago Vieira,0,77e2a4c6-5111-4063-978e-89d872532408,600986.0,thyagovieira,Vieira,Right,Thyago Vieira,- - -,5.21,5.19,38.0,94.0,107.0,94.0,0.764,9.24,6.16,8.76,1.89,0.98,0.227,0.382,0.145,0.318,0.444,121.0,140.0,79.0,,,,116.0,98.0,97.0,93.0,96.0,93.0,118.0,89.0,93.0,,,,0.404,0.227,,0.361,,0.008,-0.66,,-0.05,-2.14,,-12.58,97.8,,91.9,97.1,88.3,,0.281,0.386,0.172,0.229,0.542,0.321,,,,0.211,0.5,0.25,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-14,746235,Lineout,field_out,True,686780,672282,Pedro Pagés,Reid Detmers,1,19dd47ab-cd3c-4d7f-aecb-f17e4284e17f,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,93.0,97.0,97.0,90.0,102.0,104.0,90.0,95.0,92.0,,,,116.0,102.0,106.0,,,,,0.458,,0.235,0.149,0.158,-0.61,,,-0.84,-2.14,1.15,94.0,,84.6,,86.0,75.4,,,,0.247,0.383,0.343,,,,0.253,0.483,0.276,0.289,0.356,0.33,0.344,0.719,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-14,746235,Double,double,False,686780,672282,Pedro Pagés,Reid Detmers,1,fb9c63f0-a13f-4b57-9d0d-42e081dedf71,672282.0,reiddetmers,Detmers,Left,Reid Detmers,LAA,6.14,3.67,63.0,98.0,97.0,98.0,0.729,10.0,3.86,9.43,1.43,0.96,0.242,0.483,0.146,0.32,0.431,93.0,97.0,97.0,90.0,102.0,104.0,90.0,95.0,92.0,,,,116.0,102.0,106.0,,,,,0.458,,0.235,0.149,0.158,-0.61,,,-0.84,-2.14,1.15,94.0,,84.6,,86.0,75.4,,,,0.247,0.383,0.343,,,,0.253,0.483,0.276,0.289,0.356,0.33,0.344,0.719,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,
