date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,SV_ba,SV_slg,SV_whiff,KC_ba,KC_slg,KC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,EP%,wEP/C,vEP
2024-06-18,745733,Flyout,field_out,True,700250,544150,Ben Rice,Albert Suárez,0,0c380446-9345-45f2-a923-a19dbe442581,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,2.82,4.07,70.1,100.0,90.0,96.0,0.79,7.04,3.2,7.93,0.51,0.78,0.252,0.421,0.126,0.262,0.386,98.0,99.0,106.0,92.0,101.0,95.0,,,,,,,73.0,101.0,91.0,,0.529,0.2,,0.178,0.49,-0.22,,,1.03,95.1,86.4,85.9,,,0.241,0.38,0.214,0.283,0.413,0.302,,,,0.19,0.293,0.228,,,,93.0,97.0,97.0,0.092,-0.29,78.5,0.238,0.333,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18,745733,Single,single,False,700250,544150,Ben Rice,Albert Suárez,1,a545e2ac-0864-442d-8cc7-3aefab7a7812,544150.0,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,2.82,4.07,70.1,100.0,90.0,96.0,0.79,7.04,3.2,7.93,0.51,0.78,0.252,0.421,0.126,0.262,0.386,98.0,99.0,106.0,92.0,101.0,95.0,,,,,,,73.0,101.0,91.0,,0.529,0.2,,0.178,0.49,-0.22,,,1.03,95.1,86.4,85.9,,,0.241,0.38,0.214,0.283,0.413,0.302,,,,0.19,0.293,0.228,,,,93.0,97.0,97.0,0.092,-0.29,78.5,0.238,0.333,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18,745733,Flyout,field_out,True,700250,669211,Ben Rice,Keegan Akin,0,00fbfc0b-425a-4a21-9322-7f7d875763c2,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.55,2.72,50.2,102.0,111.0,105.0,0.703,10.84,2.84,6.39,1.07,0.75,0.278,0.397,0.183,0.294,0.461,106.0,98.0,99.0,110.0,101.0,104.0,,,,115.0,105.0,110.0,,,,,0.572,,0.331,0.097,0.72,,,0.67,1.7,93.8,,85.1,,85.2,0.216,0.414,0.308,,,,0.163,0.306,0.324,0.174,0.174,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-18,745733,Groundout,field_out,True,700250,622253,Ben Rice,Dillon Tate,0,f360b07a-f52c-4dca-b73f-3665f0ac616a,622253.0,dillontate,Tate,Right,Dillon Tate,BAL,4.59,3.91,33.1,97.0,101.0,98.0,0.826,6.21,2.43,10.26,0.54,1.84,0.205,0.473,0.179,0.125,0.453,87.0,95.0,99.0,,,,88.0,99.0,95.0,129.0,94.0,102.0,,,,0.56,0.002,,0.319,0.119,-3.42,,0.02,0.18,-2.74,94.0,,83.9,92.6,79.4,,,,,,,0.194,0.226,0.387,0.278,0.389,0.278,0.318,0.435,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,745732,Pop Out,field_out,True,700250,700249,Ben Rice,Cade Povich,0,74f0e94c-ef14-4715-9fcb-6e7716def022,700249.0,cadepovich,Povich,Left,Cade Povich,BAL,6.27,4.13,33.0,96.0,85.0,94.0,0.807,6.55,4.91,9.0,1.91,0.84,0.238,0.505,0.19,0.238,0.445,62.0,99.0,94.0,75.0,93.0,88.0,79.0,81.0,77.0,107.0,99.0,100.0,97.0,94.0,93.0,0.056,0.406,0.151,0.104,0.091,0.84,-2.61,0.67,-4.51,-2.58,92.2,88.2,86.0,91.5,82.9,0.186,0.256,0.13,0.3,0.75,0.269,0.304,0.652,0.222,0.273,0.545,0.182,0.0,0.0,0.182,93.0,102.0,103.0,0.192,-2.39,75.9,0.346,0.615,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,745732,Flyout,field_out,True,700250,700249,Ben Rice,Cade Povich,0,bd4a3798-244a-44e2-b82c-5528f3fadc68,700249.0,cadepovich,Povich,Left,Cade Povich,BAL,6.27,4.13,33.0,96.0,85.0,94.0,0.807,6.55,4.91,9.0,1.91,0.84,0.238,0.505,0.19,0.238,0.445,62.0,99.0,94.0,75.0,93.0,88.0,79.0,81.0,77.0,107.0,99.0,100.0,97.0,94.0,93.0,0.056,0.406,0.151,0.104,0.091,0.84,-2.61,0.67,-4.51,-2.58,92.2,88.2,86.0,91.5,82.9,0.186,0.256,0.13,0.3,0.75,0.269,0.304,0.652,0.222,0.273,0.545,0.182,0.0,0.0,0.182,93.0,102.0,103.0,0.192,-2.39,75.9,0.346,0.615,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,745732,Walk,walk,False,700250,672335,Ben Rice,Cionel Pérez,1,69cfe440-8124-4546-826d-19e95085fb52,672335.0,cionelperez,"Pérez, C",Left,Cionel Pérez,BAL,3.49,4.1,28.1,95.0,95.0,97.0,0.77,8.26,3.81,7.62,0.0,1.71,0.284,0.457,0.173,0.358,0.432,,,,101.0,86.0,83.0,92.0,97.0,97.0,94.0,98.0,105.0,,,,0.373,0.222,,0.405,,-1.5,,0.35,1.36,,96.6,,,96.2,83.4,0.318,0.409,0.186,,,,0.171,0.317,0.365,,,,0.227,0.273,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,745732,Single,single,False,700250,641329,Ben Rice,Bryan Baker,0,e0e60a71-5c68-4ace-821e-96978ff07f49,641329.0,bryanbaker,Baker,Right,Bryan Baker,BAL,5.14,4.19,14.0,102.0,113.0,105.0,0.838,7.71,3.21,7.71,1.29,1.29,0.231,0.513,0.154,0.359,0.462,112.0,98.0,111.0,97.0,95.0,93.0,,,,123.0,110.0,117.0,,,,,0.466,,0.314,0.136,-1.87,,,4.12,-2.97,96.1,,82.9,,87.2,0.318,0.591,0.182,,,,0.111,0.278,0.175,0.333,0.333,0.182,,,,161.0,117.0,125.0,0.085,3.27,78.6,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-19,745732,Sac Fly,sac_fly,True,700250,622253,Ben Rice,Dillon Tate,1,cdd34505-7839-4d48-a24b-f333b9e764e6,622253.0,dillontate,Tate,Right,Dillon Tate,BAL,4.59,3.91,33.1,97.0,101.0,98.0,0.826,6.21,2.43,10.26,0.54,1.84,0.205,0.473,0.179,0.125,0.453,87.0,95.0,99.0,,,,88.0,99.0,95.0,129.0,94.0,102.0,,,,0.56,0.002,,0.319,0.119,-3.42,,0.02,0.18,-2.74,94.0,,83.9,92.6,79.4,,,,,,,0.194,0.226,0.387,0.278,0.389,0.278,0.318,0.435,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-20,745734,Walk,walk,False,700250,641329,Ben Rice,Bryan Baker,0,75400727-48ca-4e26-bbe4-70c2381af9b4,641329.0,bryanbaker,Baker,Right,Bryan Baker,BAL,5.14,4.19,14.0,102.0,113.0,105.0,0.838,7.71,3.21,7.71,1.29,1.29,0.231,0.513,0.154,0.359,0.462,112.0,98.0,111.0,97.0,95.0,93.0,,,,123.0,110.0,117.0,,,,,0.466,,0.314,0.136,-1.87,,,4.12,-2.97,96.1,,82.9,,87.2,0.318,0.591,0.182,,,,0.111,0.278,0.175,0.333,0.333,0.182,,,,161.0,117.0,125.0,0.085,3.27,78.6,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
