date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
2024-04-30,746481,Lineout,field_out,True,665877,663947,José Fermín,Tyler Holton,0,a7a2d277-8ad9-4691-a7de-20ed0fe80c25,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,3.29,3.64,52.0,102.0,84.0,99.0,0.775,6.75,1.9,6.06,0.87,1.16,0.201,0.383,0.154,0.275,0.422,109.0,84.0,91.0,80.0,96.0,87.0,114.0,95.0,103.0,,,,0.133,,0.172,0.014,3.56,,2.57,2.27,92.2,,81.3,79.3,0.091,0.091,0.244,0.103,0.103,0.404,,,,,,,65.0,103.0,101.0,77.0,104.0,96.0,0.214,0.214,1.58,-0.76,83.4,91.8,0.184,0.388,0.111,0.288,0.462,0.269,84.0,106.0,102.0,0.253,2.42,88.2,0.182,0.212,0.19,,,,,,,,,,,,,,,
2024-04-30,746481,Walk,walk,False,665877,656412,José Fermín,Alex Faedo,0,728063e6-21be-4633-9527-562b44bfd743,656412.0,alexfaedo,Faedo,Right,Alex Faedo,DET,3.5,4.24,43.2,101.0,104.0,103.0,0.704,7.83,3.92,7.42,1.24,1.36,0.248,0.456,0.128,0.336,0.359,,,,92.0,94.0,89.0,111.0,107.0,112.0,,,,0.318,,0.424,,1.28,,0.64,,94.0,,83.1,,0.167,0.317,0.25,0.193,0.368,0.407,,,,,,,108.0,103.0,110.0,81.0,89.0,88.0,0.051,0.207,-7.0,-1.0,89.0,93.5,0.625,0.875,0.0,0.294,0.412,0.274,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,746477,Flyout,field_out,True,665877,605177,José Fermín,Andrew Chafin,0,34c697b0-a61e-4a32-86d9-9231e983d218,605177.0,andrewchafin,Chafin,Left,Andrew Chafin,DET,3.55,3.03,33.0,93.0,85.0,95.0,0.677,11.45,4.09,9.27,0.55,0.8,0.275,0.308,0.11,0.264,0.316,,,,72.0,95.0,84.0,98.0,89.0,105.0,,,,0.156,,0.456,,4.95,,1.36,,91.9,,82.1,,0.125,0.125,0.244,0.131,0.164,0.52,,,,,,,,,,77.0,95.0,87.0,0.388,,-2.43,,,92.0,0.5,0.674,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,746478,Single,single,False,665877,666214,José Fermín,Joey Wentz,0,48ad8a00-d2cd-401b-ae4e-5f7e7c0bbcd2,666214.0,joeywentz,Wentz,Left,Joey Wentz,DET,5.22,4.57,39.2,99.0,91.0,97.0,0.741,9.98,4.99,10.21,1.13,1.5,0.218,0.496,0.101,0.345,0.383,94.0,110.0,105.0,84.0,96.0,92.0,,,,,,,0.373,,0.001,0.131,-1.7,,-2.43,1.03,94.0,,80.4,79.4,0.345,0.5,0.186,,,,0.211,0.211,0.289,,,,101.0,95.0,99.0,,,,,0.196,,-1.05,85.8,,,,,0.29,0.387,0.409,88.0,99.0,95.0,0.299,-0.74,86.1,0.231,0.423,0.336,,,,,,,,,,,,,,,
2024-05-03,745187,Walk,walk,False,665877,694363,José Fermín,Jared Shuster,0,05b8bcc1-1946-43ed-884d-c743fb58cd43,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,3.38,4.92,40.0,98.0,76.0,90.0,0.788,5.63,4.05,8.55,0.9,0.8,0.279,0.419,0.14,0.248,0.401,,,,69.0,96.0,82.0,90.0,102.0,100.0,,,,0.407,,0.257,,1.28,,-0.59,,92.1,,85.5,,0.227,0.318,0.174,0.27,0.405,0.268,,,,,,,75.0,97.0,93.0,67.0,100.0,88.0,0.046,0.29,-8.79,0.46,83.4,91.6,0.556,0.889,0.176,0.205,0.359,0.292,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-04,745183,Hit By Pitch,hit_by_pitch,False,665877,656629,José Fermín,Michael Kopech,0,aea29966-ed4a-48e1-ba1c-13723dadbbc3,656629.0,michaelkopech,Kopech,Right,Michael Kopech,CHW,5.05,3.96,41.0,100.0,143.0,110.0,0.693,12.29,5.05,7.46,1.76,0.93,0.278,0.412,0.134,0.268,0.442,,,,153.0,99.0,111.0,114.0,103.0,108.0,,,,0.795,,0.096,,0.09,,-2.76,,98.6,,86.5,,0.22,0.422,0.322,0.28,0.4,0.297,,,,,,,92.0,17.0,15.0,,,,,0.001,,-3.7,73.5,,,,,,,,95.0,106.0,98.0,0.107,0.67,91.3,0.2,0.2,0.231,,,,,,,,,,,,,,,
2024-05-05,745185,Strikeout,strikeout,True,665877,676979,José Fermín,Garrett Crochet,0,8cec5efb-ae90-4367-928a-32174c18fe9f,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,,,,105.0,103.0,103.0,138.0,99.0,103.0,,,,0.552,,0.114,,1.77,,-2.87,,97.0,,84.1,,0.188,0.274,0.31,0.227,0.614,0.372,,,,,,,69.0,103.0,103.0,,,,,0.061,,-0.38,90.8,,,,,0.179,0.321,0.279,92.0,107.0,104.0,0.273,2.05,91.4,0.213,0.283,0.351,,,,,,,,,,,,,,,
2024-05-05,745185,Pop Out,field_out,True,665877,676979,José Fermín,Garrett Crochet,0,1cfea9c2-839c-4e10-ad71-23811a940dbb,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.02,2.44,107.1,103.0,103.0,103.0,0.698,12.58,1.93,6.62,0.84,1.24,0.262,0.371,0.181,0.319,0.471,,,,105.0,103.0,103.0,138.0,99.0,103.0,,,,0.552,,0.114,,1.77,,-2.87,,97.0,,84.1,,0.188,0.274,0.31,0.227,0.614,0.372,,,,,,,69.0,103.0,103.0,,,,,0.061,,-0.38,90.8,,,,,0.179,0.321,0.279,92.0,107.0,104.0,0.273,2.05,91.4,0.213,0.283,0.351,,,,,,,,,,,,,,,
2024-05-05,745185,Strikeout,strikeout,True,665877,673929,José Fermín,Jordan Leasure,0,0a3c6c46-9a96-4841-b1cf-eee1c9257a65,673929.0,jordanleasure,Leasure,Right,Jordan Leasure,CHW,6.32,4.86,31.1,96.0,113.0,98.0,0.76,7.47,5.17,9.19,1.72,0.77,0.309,0.402,0.216,0.33,0.441,96.0,98.0,100.0,120.0,93.0,94.0,109.0,100.0,104.0,,,,0.598,,0.288,0.114,0.95,,-5.4,-1.88,96.1,,88.2,78.6,0.169,0.308,0.257,0.419,0.744,0.28,0.25,0.583,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06,745182,Single,single,False,665877,640455,José Fermín,Sean Manaea,0,b1fb4dca-bfb3-45ec-a64a-aed603977f13,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,,,,78.0,102.0,99.0,89.0,87.0,92.0,,,,0.1,,0.255,,0.32,,0.11,,92.5,,80.2,,0.227,0.295,0.213,0.143,0.429,0.328,,,,,,,92.0,99.0,96.0,82.0,100.0,97.0,0.397,0.128,1.2,-1.41,85.6,92.5,0.229,0.344,0.19,0.316,0.456,0.258,83.0,88.0,85.0,0.119,0.62,88.4,0.242,0.273,0.178,,,,,,,,,,,,,,,
2024-05-06,745182,Pop Out,field_out,True,665877,640455,José Fermín,Sean Manaea,0,ba9c54e2-abe8-45e2-885b-6f9e961ce91c,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,,,,78.0,102.0,99.0,89.0,87.0,92.0,,,,0.1,,0.255,,0.32,,0.11,,92.5,,80.2,,0.227,0.295,0.213,0.143,0.429,0.328,,,,,,,92.0,99.0,96.0,82.0,100.0,97.0,0.397,0.128,1.2,-1.41,85.6,92.5,0.229,0.344,0.19,0.316,0.456,0.258,83.0,88.0,85.0,0.119,0.62,88.4,0.242,0.273,0.178,,,,,,,,,,,,,,,
2024-05-06,745182,Single,single,False,665877,640455,José Fermín,Sean Manaea,0,04851aba-e344-46fc-aa5a-3e3af115228c,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,,,,78.0,102.0,99.0,89.0,87.0,92.0,,,,0.1,,0.255,,0.32,,0.11,,92.5,,80.2,,0.227,0.295,0.213,0.143,0.429,0.328,,,,,,,92.0,99.0,96.0,82.0,100.0,97.0,0.397,0.128,1.2,-1.41,85.6,92.5,0.229,0.344,0.19,0.316,0.456,0.258,83.0,88.0,85.0,0.119,0.62,88.4,0.242,0.273,0.178,,,,,,,,,,,,,,,
2024-05-06,745182,Flyout,field_out,True,665877,518617,José Fermín,Jake Diekman,0,fa2dc754-fd01-4519-9629-75419281ff5b,518617.0,jakediekman,Diekman,Left,Jake Diekman,NYM,5.53,4.33,27.2,90.0,132.0,95.0,0.752,10.73,7.16,6.18,1.63,1.83,0.294,0.309,0.191,0.265,0.417,,,,144.0,93.0,94.0,120.0,88.0,101.0,,,,0.601,,0.304,,-0.22,,0.18,,94.5,,82.8,,0.197,0.426,0.265,0.115,0.269,0.354,,,,,,,84.0,88.0,83.0,86.0,-132.0,-134.0,0.002,0.093,-19.0,-5.1,87.1,93.6,,,,0.364,0.727,0.286,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-07,745186,Groundout,field_out,True,665877,656887,José Fermín,Sean Reid-Foley,0,4cdf2e7f-1e98-4734-97bc-aeb3376daeed,656887.0,seanreidfoley,Reid-Foley,Right,Sean Reid-Foley,NYM,1.66,2.83,21.2,93.0,104.0,95.0,0.735,10.38,5.82,5.4,0.0,2.38,0.275,0.353,0.137,0.353,0.41,,,,89.0,95.0,93.0,106.0,74.0,80.0,,,,0.673,,0.125,,1.41,,-0.02,,94.9,,86.6,,0.149,0.191,0.217,0.143,0.143,0.688,,,,,,,153.0,99.0,107.0,153.0,95.0,93.0,0.005,0.197,-2.4,1.13,88.7,95.3,,,,0.238,0.238,0.342,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-10,745993,Pop Out,field_out,True,665877,688107,José Fermín,Robert Gasser,0,6855a946-482f-498d-94e8-ab6ebd6e1829,688107.0,robertgasser,Gasser,Left,Robert Gasser,MIL,2.57,2.88,28.0,102.0,97.0,99.0,0.793,5.14,0.32,9.0,0.64,1.25,0.245,0.362,0.191,0.234,0.524,,,,82.0,105.0,94.0,125.0,101.0,111.0,,,,0.198,,0.321,,1.74,,1.12,,93.3,,80.6,,0.219,0.219,0.149,0.19,0.333,0.345,,,,,,,75.0,95.0,84.0,101.0,103.0,96.0,0.246,0.143,2.42,1.35,87.9,92.5,0.214,0.214,0.173,0.333,0.4,0.172,66.0,105.0,97.0,0.093,-6.75,88.4,0.6,0.9,0.2,,,,,,,,,,,,,,,
