date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff,vKN (sc),EP%,KN%,wEP/C,wKN/C,vEP,KC_ba,KC_slg,KC_whiff
2024-03-31,746332,Pop Out,field_out,True,680118,663485,Dairon Blanco,Cole Sands,0,fd05baaa-0efb-4fc0-bd9b-62676e6011a7,663485.0,colesands,Sands,Right,Cole Sands,MIN,3.56,3.69,43.0,104.0,91.0,100.0,0.765,10.67,1.47,7.33,0.84,0.89,0.23,0.345,0.212,0.327,0.428,,,,77.0,102.0,96.0,74.0,95.0,93.0,,,,0.127,0.247,,,3.29,1.32,,,95.5,,94.6,,,,,0.273,0.409,0.049,0.125,0.2,0.315,,,,101.0,104.0,108.0,93.0,103.0,96.0,0.27,0.19,1.52,-2.43,90.8,82.6,0.212,0.394,0.3,108.0,110.0,106.0,0.166,0.18,87.7,0.212,0.242,0.218,0.313,0.438,0.293,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-06,746329,Walk,walk,False,680118,543766,Dairon Blanco,Bryan Shaw,0,efde493f-f911-42cc-90cb-93f2de8bef55,543766.0,bryanshaw,"Shaw, B",Right,Bryan Shaw,CHW,9.0,7.51,4.0,87.0,87.0,86.0,0.907,9.0,9.0,18.0,2.25,0.5,0.25,0.438,0.0,0.375,0.411,13.0,102.0,109.0,,,,92.0,88.0,77.0,110.0,80.0,82.0,0.063,,0.126,0.053,,-20.38,-19.15,-14.03,,81.4,92.6,83.1,0.667,1.667,0.0,0.667,1.0,0.0,,,,,,,105.0,76.0,70.0,84.0,89.0,89.0,0.642,0.116,1.93,-6.38,93.3,82.2,0.167,0.25,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-07,746330,Lineout,field_out,True,680118,608678,Dairon Blanco,Dominic Leone,0,2d1649eb-ec30-4b20-89f8-4f23234011c9,608678.0,dominicleone,Leone,Right,Dominic Leone,CHW,7.04,5.61,15.1,95.0,106.0,94.0,0.603,8.8,6.46,8.8,2.35,1.43,0.295,0.455,0.205,0.273,0.324,121.0,95.0,94.0,100.0,102.0,99.0,89.0,111.0,103.0,120.0,77.0,85.0,0.05,0.253,0.246,0.281,-0.93,-7.19,-0.96,-0.4,94.7,90.6,94.1,84.7,0.0,0.0,0.714,0.333,0.833,0.0,0.267,0.533,0.351,0.222,0.278,0.486,,,,88.0,94.0,92.0,0.171,,-3.23,,90.6,,0.25,1.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-10,746323,Flyout,field_out,True,680118,605463,Dairon Blanco,Tayler Scott,0,d6b50db7-209b-43cb-bdbc-026dcb7da5fc,605463.0,taylerscott,"Scott, Tay",Right,Tayler Scott,HOU,1.36,2.99,46.1,99.0,98.0,99.0,0.745,8.35,4.27,4.86,0.39,1.67,0.231,0.41,0.214,0.231,0.372,60.0,103.0,101.0,121.0,98.0,97.0,105.0,93.0,86.0,89.0,97.0,106.0,0.073,0.433,0.262,0.232,2.65,-0.27,0.86,0.69,92.7,85.5,92.6,84.0,0.212,0.288,0.276,0.375,0.375,0.211,0.089,0.107,0.287,0.143,0.214,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-11,746322,Flyout,field_out,True,680118,666197,Dairon Blanco,Grae Kessinger,0,cdbdcf5c-41e4-49ce-b46e-ec634dd18da5,666197.0,graekessinger,Kessinger,Right,Grae Kessinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13,745839,Walk,walk,False,680118,640455,Dairon Blanco,Sean Manaea,1,9a7febf2-dfeb-4ed4-b887-a515814daa69,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,0.397,0.1,0.255,0.128,0.32,1.2,0.11,-1.41,92.5,85.6,92.5,80.2,0.143,0.429,0.328,0.229,0.344,0.19,0.227,0.295,0.213,0.316,0.456,0.258,,,,83.0,88.0,85.0,0.119,,0.62,,88.4,,0.242,0.273,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13,745839,Flyout,field_out,True,680118,640455,Dairon Blanco,Sean Manaea,1,233c83f4-a8c2-4d5e-934a-bd98156c79c2,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.73,4.36,101.1,96.0,86.0,96.0,0.779,8.62,3.64,7.55,0.89,0.86,0.262,0.383,0.138,0.348,0.435,92.0,99.0,96.0,78.0,102.0,99.0,82.0,100.0,97.0,89.0,87.0,92.0,0.397,0.1,0.255,0.128,0.32,1.2,0.11,-1.41,92.5,85.6,92.5,80.2,0.143,0.429,0.328,0.229,0.344,0.19,0.227,0.295,0.213,0.316,0.456,0.258,,,,83.0,88.0,85.0,0.119,,0.62,,88.4,,0.242,0.273,0.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13,745839,Strikeout,strikeout,True,680118,642121,Dairon Blanco,Cole Sulser,0,3e6195f0-1b47-4800-9ae1-86c099353e4f,642121.0,colesulser,Sulser,Right,Cole Sulser,NYM,9.64,2.77,4.2,99.0,100.0,93.0,0.711,13.5,5.79,11.57,1.93,0.5,0.385,0.308,0.154,0.462,0.415,131.0,87.0,85.0,90.0,102.0,91.0,,,,107.0,101.0,105.0,,0.553,0.17,0.16,-1.33,,2.48,-17.38,91.9,85.0,,81.7,0.0,0.0,0.286,,,,0.375,0.5,0.333,0.5,1.333,0.143,,,,95.0,98.0,99.0,0.117,,5.41,,87.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-13,745839,Hit By Pitch,hit_by_pitch,False,680118,605347,Dairon Blanco,Jorge López,0,1ded7496-b3b4-4bfc-876f-2c01df2fe575,605347.0,jorgelopez,"López, Jo",Right,Jorge López,- - -,3.09,4.04,35.0,99.0,108.0,100.0,0.826,6.43,3.86,8.23,0.77,1.28,0.288,0.385,0.163,0.317,0.465,106.0,109.0,107.0,74.0,104.0,93.0,109.0,95.0,96.0,137.0,99.0,108.0,0.403,0.18,0.173,0.121,3.79,-1.1,1.14,2.89,95.4,87.2,95.2,86.2,0.158,0.211,0.2,0.4,0.556,0.12,0.167,0.3,0.207,0.1,0.1,0.278,,,,,,,,,,,,,,,,,,,,,,,,,0.267,0.6,0.19,,,,116.0,96.0,102.0,0.124,-2.64,82.8,,,,,,,,,,,,,,,
2024-04-13,745839,Bunt Groundout,field_out,True,680118,664079,Dairon Blanco,Tyler Jay,0,5ce3578a-429d-42c2-88a1-74a11bfe341a,664079.0,tylerjay,Jay,Left,Tyler Jay,NYM,7.71,4.04,4.2,92.0,81.0,84.0,0.8,5.79,5.79,13.5,0.0,3.0,0.333,0.278,0.111,0.333,0.438,,,,61.0,112.0,94.0,83.0,87.0,79.0,111.0,94.0,92.0,0.461,0.18,0.169,,3.08,-2.29,0.33,,91.8,,91.9,80.7,0.25,0.25,0.556,0.333,0.556,0.136,,,,,,,,,,63.0,83.0,82.0,0.191,,-6.77,,88.2,,0.5,0.667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
