date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,vKN (sc),KN%,wKN/C,FO%,wFO/C,vFO
2024-08-16,746189,Flyout,field_out,True,694359,680885,Niko Kavadas,Spencer Schwellenbach,0,479d6a2e-b4ef-4d56-8bc9-c76baa79fc47,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,,,,83.0,103.0,104.0,0.075,0.267,0.139,0.201,,0.12,1.84,0.46,0.83,,96.0,84.3,95.1,87.0,,0.25,0.35,0.103,0.227,0.432,0.444,0.25,0.45,0.247,0.145,0.255,0.466,0.198,0.296,0.299,99.0,101.0,105.0,95.0,100.0,98.0,0.166,0.151,-0.21,0.48,92.7,80.3,0.32,0.58,0.211,,,,,,,,,,,,,,,,,,,,,
2024-08-16,746189,Strikeout,strikeout,True,694359,680885,Niko Kavadas,Spencer Schwellenbach,0,0cd7e5b7-83f8-45bf-b663-beef68c10b4a,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,,,,83.0,103.0,104.0,0.075,0.267,0.139,0.201,,0.12,1.84,0.46,0.83,,96.0,84.3,95.1,87.0,,0.25,0.35,0.103,0.227,0.432,0.444,0.25,0.45,0.247,0.145,0.255,0.466,0.198,0.296,0.299,99.0,101.0,105.0,95.0,100.0,98.0,0.166,0.151,-0.21,0.48,92.7,80.3,0.32,0.58,0.211,,,,,,,,,,,,,,,,,,,,,
2024-08-16,746189,Walk,walk,False,694359,680885,Niko Kavadas,Spencer Schwellenbach,1,df8c26f0-cbca-40f2-a66a-88987c23b3de,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,,,,83.0,103.0,104.0,0.075,0.267,0.139,0.201,,0.12,1.84,0.46,0.83,,96.0,84.3,95.1,87.0,,0.25,0.35,0.103,0.227,0.432,0.444,0.25,0.45,0.247,0.145,0.255,0.466,0.198,0.296,0.299,99.0,101.0,105.0,95.0,100.0,98.0,0.166,0.151,-0.21,0.48,92.7,80.3,0.32,0.58,0.211,,,,,,,,,,,,,,,,,,,,,
2024-08-16,746189,Strikeout,strikeout,True,694359,592426,Niko Kavadas,Luke Jackson,0,16460dad-cea2-4b08-bc7d-bcf4a1b83144,592426.0,lukejackson,Jackson,Right,Luke Jackson,- - -,5.8,4.47,45.0,95.0,127.0,107.0,0.733,9.6,4.0,9.6,1.4,1.71,0.168,0.42,0.122,0.336,0.394,98.0,98.0,98.0,,,,142.0,91.0,110.0,,,,,,,,0.32,,0.519,,-0.42,,,-0.66,,94.7,,,87.3,,,,,0.267,0.367,0.267,0.255,0.383,0.245,,,,0.28,0.48,0.286,134.0,105.0,118.0,92.0,87.0,73.0,0.01,0.15,-3.27,0.61,90.6,84.5,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-18,746186,Strikeout,strikeout,True,694359,450203,Niko Kavadas,Charlie Morton,0,45b0b91d-e5b8-4f52-9154-464e87714de6,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.26,4.59,137.1,98.0,95.0,97.0,0.757,9.17,3.41,8.39,1.38,1.41,0.227,0.425,0.147,0.324,0.413,70.0,100.0,89.0,78.0,98.0,89.0,,,,,,,,,,0.097,0.282,,,,-1.49,,-0.05,,,94.0,,93.4,,,0.353,0.471,0.074,0.203,0.32,0.338,0.279,0.529,0.181,,,,,,,122.0,99.0,108.0,74.0,93.0,88.0,0.08,0.425,-1.21,0.67,88.5,81.5,0.333,0.667,0.145,87.0,95.0,93.0,0.116,-0.49,84.9,0.241,0.5,0.336,,,,,,,,,,,,
2024-08-18,746186,Strikeout,strikeout,True,694359,450203,Niko Kavadas,Charlie Morton,0,bc2baf70-4942-4edc-a067-aa8d03bb1d3e,450203.0,charliemorton,"Morton, C",Right,Charlie Morton,ATL,4.26,4.59,137.1,98.0,95.0,97.0,0.757,9.17,3.41,8.39,1.38,1.41,0.227,0.425,0.147,0.324,0.413,70.0,100.0,89.0,78.0,98.0,89.0,,,,,,,,,,0.097,0.282,,,,-1.49,,-0.05,,,94.0,,93.4,,,0.353,0.471,0.074,0.203,0.32,0.338,0.279,0.529,0.181,,,,,,,122.0,99.0,108.0,74.0,93.0,88.0,0.08,0.425,-1.21,0.67,88.5,81.5,0.333,0.667,0.145,87.0,95.0,93.0,0.116,-0.49,84.9,0.241,0.5,0.336,,,,,,,,,,,,
2024-08-19,746270,Walk,walk,False,694359,607625,Niko Kavadas,Seth Lugo,0,16a8c371-aa33-4aef-8d8e-fdfff83a5ab2,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.19,3.97,172.0,100.0,97.0,99.0,0.793,7.64,2.25,7.85,0.73,1.25,0.196,0.398,0.145,0.315,0.431,75.0,103.0,95.0,67.0,100.0,90.0,125.0,98.0,106.0,,,,87.0,102.0,100.0,0.194,0.254,0.031,0.134,,1.02,0.49,0.26,-0.94,,92.2,85.7,92.2,85.4,,0.29,0.414,0.134,0.188,0.302,0.34,0.22,0.353,0.157,0.1,0.4,0.342,0.227,0.424,0.206,127.0,101.0,111.0,101.0,97.0,98.0,0.063,0.263,1.03,1.37,90.6,79.3,0.333,0.333,0.184,97.0,99.0,97.0,0.062,1.26,87.4,0.152,0.182,0.347,0.318,0.682,0.135,0.21,0.284,0.293,,,,,,
2024-08-19,746270,Strikeout,strikeout,True,694359,607625,Niko Kavadas,Seth Lugo,0,3156598b-2e89-4dbd-9848-0fa03950b207,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.19,3.97,172.0,100.0,97.0,99.0,0.793,7.64,2.25,7.85,0.73,1.25,0.196,0.398,0.145,0.315,0.431,75.0,103.0,95.0,67.0,100.0,90.0,125.0,98.0,106.0,,,,87.0,102.0,100.0,0.194,0.254,0.031,0.134,,1.02,0.49,0.26,-0.94,,92.2,85.7,92.2,85.4,,0.29,0.414,0.134,0.188,0.302,0.34,0.22,0.353,0.157,0.1,0.4,0.342,0.227,0.424,0.206,127.0,101.0,111.0,101.0,97.0,98.0,0.063,0.263,1.03,1.37,90.6,79.3,0.333,0.333,0.184,97.0,99.0,97.0,0.062,1.26,87.4,0.152,0.182,0.347,0.318,0.682,0.135,0.21,0.284,0.293,,,,,,
2024-08-19,746270,Strikeout,strikeout,True,694359,607625,Niko Kavadas,Seth Lugo,0,41086b2f-033b-4448-a639-09463df77e04,607625.0,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.19,3.97,172.0,100.0,97.0,99.0,0.793,7.64,2.25,7.85,0.73,1.25,0.196,0.398,0.145,0.315,0.431,75.0,103.0,95.0,67.0,100.0,90.0,125.0,98.0,106.0,,,,87.0,102.0,100.0,0.194,0.254,0.031,0.134,,1.02,0.49,0.26,-0.94,,92.2,85.7,92.2,85.4,,0.29,0.414,0.134,0.188,0.302,0.34,0.22,0.353,0.157,0.1,0.4,0.342,0.227,0.424,0.206,127.0,101.0,111.0,101.0,97.0,98.0,0.063,0.263,1.03,1.37,90.6,79.3,0.333,0.333,0.184,97.0,99.0,97.0,0.062,1.26,87.4,0.152,0.182,0.347,0.318,0.682,0.135,0.21,0.284,0.293,,,,,,
2024-08-21,746267,Strikeout,strikeout,True,694359,547179,Niko Kavadas,Michael Lorenzen,0,fabfb719-2d38-4456-85c1-45935863f3b2,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.43,4.62,126.0,97.0,94.0,95.0,0.798,6.57,4.14,7.14,1.21,1.02,0.248,0.38,0.187,0.314,0.412,85.0,95.0,89.0,81.0,102.0,94.0,125.0,97.0,107.0,,,,,,,0.211,0.271,,0.148,,0.86,,-0.37,-1.31,,93.8,,93.6,83.9,,0.303,0.459,0.064,0.263,0.421,0.327,0.162,0.324,0.179,,,,0.368,0.632,0.24,102.0,92.0,96.0,94.0,93.0,91.0,0.101,0.077,0.14,-0.51,90.1,81.6,0.235,0.51,0.236,94.0,101.0,98.0,0.193,1.96,84.6,0.122,0.173,0.369,0.15,0.35,0.26,,,,,,,,,
