date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff,SV_ba,SV_slg,SV_whiff
2024-08-13,747004,Pickoff Caught Stealing 2B,pickoff_caught_stealing_2b,True,665953,669432,Andrés Chaparro,Trevor Rogers,1,fd498bfc-1f18-4eee-8680-f155eef5f470,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.14,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.356,0.392,111.0,108.0,115.0,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,0.24,0.316,0.206,0.238,-0.23,-0.35,-1.98,-1.28,91.9,85.6,91.5,82.4,0.252,0.467,0.234,0.295,0.396,0.238,0.292,0.492,0.1,0.312,0.506,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,747004,Flyout,field_out,True,665953,669432,Andrés Chaparro,Trevor Rogers,0,083f98ae-186d-4b2f-89bc-9c650064729e,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.14,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.356,0.392,111.0,108.0,115.0,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,0.24,0.316,0.206,0.238,-0.23,-0.35,-1.98,-1.28,91.9,85.6,91.5,82.4,0.252,0.467,0.234,0.295,0.396,0.238,0.292,0.492,0.1,0.312,0.506,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,747004,Double,double,False,665953,669432,Andrés Chaparro,Trevor Rogers,1,a59db660-7cad-4e21-a91f-d9c0ecbe3b20,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,- - -,4.92,5.14,124.1,100.0,83.0,98.0,0.811,7.02,4.05,10.13,1.01,1.38,0.215,0.422,0.131,0.356,0.392,111.0,108.0,115.0,66.0,101.0,93.0,86.0,97.0,92.0,74.0,93.0,91.0,0.24,0.316,0.206,0.238,-0.23,-0.35,-1.98,-1.28,91.9,85.6,91.5,82.4,0.252,0.467,0.234,0.295,0.396,0.238,0.292,0.492,0.1,0.312,0.506,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,747004,Double,double,False,665953,641329,Andrés Chaparro,Bryan Baker,1,1e68e856-2845-49b1-b68b-745fee448e6c,641329.0,bryanbaker,Baker,Right,Bryan Baker,BAL,4.71,3.73,21.0,101.0,111.0,104.0,0.788,7.71,2.57,7.71,0.86,1.0,0.293,0.379,0.19,0.362,0.438,106.0,99.0,107.0,97.0,97.0,95.0,,,,126.0,106.0,113.0,,0.488,0.294,0.136,-1.29,,3.77,-1.47,96.3,82.8,,87.3,0.297,0.541,0.271,0.25,0.25,0.214,,,,0.167,0.333,0.154,145.0,110.0,117.0,,,,,0.082,,2.8,,79.0,0.167,0.333,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-13,747004,Double,double,False,665953,669211,Andrés Chaparro,Keegan Akin,1,ad78283f-94ce-4a29-ae04-a6d9eccff9fc,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.38,2.6,66.2,103.0,112.0,106.0,0.72,10.8,2.16,6.21,0.95,0.76,0.269,0.407,0.162,0.293,0.462,99.0,101.0,101.0,112.0,103.0,105.0,,,,117.0,105.0,109.0,,0.569,0.323,0.109,1.06,,1.08,1.5,93.8,85.4,,85.3,0.209,0.396,0.286,0.167,0.194,0.259,,,,0.167,0.303,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-14,747000,Flyout,field_out,True,665953,665152,Andrés Chaparro,Dean Kremer,0,72529766-a1a5-45d7-81b0-d8a110d4c1d6,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.31,4.97,102.1,101.0,87.0,98.0,0.816,8.44,3.78,7.65,1.32,0.94,0.25,0.387,0.237,0.293,0.418,,,,91.0,99.0,98.0,79.0,104.0,96.0,,,,0.155,0.308,,,-0.53,0.5,,,93.4,,92.3,,0.252,0.561,0.202,,,,0.23,0.351,0.079,,,,89.0,100.0,97.0,99.0,103.0,99.0,0.242,0.114,0.3,0.74,86.9,77.1,0.194,0.226,0.159,0.26,0.356,0.223,,,,72.0,99.0,98.0,0.18,0.25,84.0,0.135,0.243,0.342,,,,,,,,,,,,,,,
2024-08-14,747000,Groundout,field_out,True,665953,665152,Andrés Chaparro,Dean Kremer,0,1d4aa519-2e92-4ae4-89af-ed084da12256,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.31,4.97,102.1,101.0,87.0,98.0,0.816,8.44,3.78,7.65,1.32,0.94,0.25,0.387,0.237,0.293,0.418,,,,91.0,99.0,98.0,79.0,104.0,96.0,,,,0.155,0.308,,,-0.53,0.5,,,93.4,,92.3,,0.252,0.561,0.202,,,,0.23,0.351,0.079,,,,89.0,100.0,97.0,99.0,103.0,99.0,0.242,0.114,0.3,0.74,86.9,77.1,0.194,0.226,0.159,0.26,0.356,0.223,,,,72.0,99.0,98.0,0.18,0.25,84.0,0.135,0.243,0.342,,,,,,,,,,,,,,,
2024-08-14,747000,Walk,walk,False,665953,665152,Andrés Chaparro,Dean Kremer,0,ba258212-d907-4518-bdb5-86bdfcdd9927,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.31,4.97,102.1,101.0,87.0,98.0,0.816,8.44,3.78,7.65,1.32,0.94,0.25,0.387,0.237,0.293,0.418,,,,91.0,99.0,98.0,79.0,104.0,96.0,,,,0.155,0.308,,,-0.53,0.5,,,93.4,,92.3,,0.252,0.561,0.202,,,,0.23,0.351,0.079,,,,89.0,100.0,97.0,99.0,103.0,99.0,0.242,0.114,0.3,0.74,86.9,77.1,0.194,0.226,0.159,0.26,0.356,0.223,,,,72.0,99.0,98.0,0.18,0.25,84.0,0.135,0.243,0.342,,,,,,,,,,,,,,,
2024-08-14,747000,Walk,walk,False,665953,622554,Andrés Chaparro,Seranthony Domínguez,0,365fec48-7837-4ad8-927f-416a649133a0,622554.0,seranthonydominguez,Domínguez,Right,Seranthony Domínguez,- - -,4.14,3.32,50.0,98.0,129.0,103.0,0.751,10.26,2.88,7.2,1.8,0.7,0.274,0.363,0.207,0.267,0.437,19.0,104.0,97.0,129.0,96.0,98.0,103.0,100.0,104.0,143.0,99.0,108.0,0.186,0.402,0.401,0.011,-0.14,0.04,0.68,-8.65,97.6,91.5,98.0,88.5,0.224,0.463,0.223,,,,0.282,0.359,0.074,0.153,0.388,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-15,745545,Flyout,field_out,True,665953,554430,Andrés Chaparro,Zack Wheeler,0,f2748764-7b9c-4aae-8607-7d212c97df8a,554430.0,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.74,3.04,160.2,104.0,105.0,108.0,0.753,9.86,2.52,6.44,0.95,1.06,0.263,0.339,0.21,0.29,0.428,,,,100.0,107.0,110.0,110.0,104.0,108.0,126.0,107.0,115.0,0.187,0.408,0.116,,0.76,2.63,1.84,,95.2,,94.5,84.6,0.214,0.408,0.286,,,,0.189,0.259,0.153,,,,111.0,100.0,106.0,92.0,97.0,95.0,0.106,0.106,-0.08,-1.22,91.0,81.7,0.22,0.458,0.38,0.25,0.393,0.182,0.133,0.227,0.302,95.0,106.0,106.0,0.078,0.68,86.0,0.167,0.238,0.41,,,,,,,,,,,,,,,
