date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SV_ba,SV_slg,SV_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
2024-03-30,746333,Pop Out,field_out,True,679845,657746,Nick Loftin,Joe Ryan,0,f14edb4e-8b8f-46c1-b0ea-31e072bd06ea,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,,,,,,,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,,,,0.051,0.485,,0.229,0.235,,,1.28,,0.01,-1.2,0.03,,,94.1,,88.6,,93.2,83.6,,0.198,0.381,0.275,0.348,0.478,0.096,,,,0.333,0.606,0.222,,,,,,,,,,0.211,0.413,0.26,103.0,104.0,95.0,,,,,,,,,
2024-03-30,746333,Groundout,field_out,True,679845,657746,Nick Loftin,Joe Ryan,1,1b7e00c7-3481-4062-90a1-d9c753850b38,657746.0,joeryan,Ryan,Right,Joe Ryan,MIN,3.53,3.08,114.2,107.0,100.0,105.0,0.757,9.73,1.49,7.53,1.26,0.74,0.244,0.431,0.203,0.283,0.481,,,,,,,96.0,110.0,106.0,114.0,106.0,104.0,105.0,104.0,113.0,,,,0.051,0.485,,0.229,0.235,,,1.28,,0.01,-1.2,0.03,,,94.1,,88.6,,93.2,83.6,,0.198,0.381,0.275,0.348,0.478,0.096,,,,0.333,0.606,0.222,,,,,,,,,,0.211,0.413,0.26,103.0,104.0,95.0,,,,,,,,,
2024-03-30,746333,Flyout,field_out,True,679845,660896,Nick Loftin,Jorge Alcala,0,27a073bb-2615-47c6-9a20-1e902c1e6f62,660896.0,jorgealcala,Alcala,Right,Jorge Alcala,MIN,1.56,2.62,34.2,96.0,119.0,101.0,0.718,8.57,3.89,4.67,0.0,0.64,0.244,0.43,0.244,0.302,0.413,107.0,77.0,75.0,,,,108.0,89.0,93.0,117.0,108.0,109.0,136.0,104.0,111.0,,,,0.059,0.438,,,0.431,,0.072,1.75,,,2.92,0.67,,4.49,97.7,,,90.1,96.7,89.6,,0.098,0.171,0.339,0.143,0.143,0.222,,,,0.207,0.259,0.324,,,,,,,0.083,0.083,0.125,,,,,,,,,,,,,,,
2024-03-31,746332,Lineout,field_out,True,679845,663485,Nick Loftin,Cole Sands,0,6b10468f-d714-474d-8d91-39394c760fe8,663485.0,colesands,Sands,Right,Cole Sands,MIN,3.56,3.69,43.0,104.0,91.0,100.0,0.765,10.67,1.47,7.33,0.84,0.89,0.23,0.345,0.212,0.327,0.428,,,,101.0,104.0,108.0,77.0,102.0,96.0,74.0,95.0,93.0,,,,93.0,103.0,96.0,0.127,0.247,0.27,0.166,,0.19,,3.29,1.52,0.18,1.32,,-2.43,,95.5,90.8,87.7,,94.6,,82.6,0.125,0.2,0.315,0.273,0.409,0.049,0.313,0.438,0.293,,,,,,,0.212,0.394,0.3,,,,0.212,0.242,0.218,108.0,110.0,106.0,,,,,,,,,
2024-04-01,747058,Strikeout,strikeout,True,679845,669211,Nick Loftin,Keegan Akin,0,7416456c-3068-4af5-8f42-34298bb8bfdb,669211.0,keeganakin,Akin,Left,Keegan Akin,BAL,3.55,2.72,50.2,102.0,111.0,105.0,0.703,10.84,2.84,6.39,1.07,0.75,0.278,0.397,0.183,0.294,0.461,106.0,98.0,99.0,,,,110.0,101.0,104.0,,,,115.0,105.0,110.0,,,,,0.572,,,0.331,,0.097,0.72,,,,0.67,,1.7,93.8,,,85.1,,85.2,,0.216,0.414,0.308,,,,,,,0.163,0.306,0.324,,,,,,,0.174,0.174,0.314,,,,,,,,,,,,,,,
2024-04-01,747058,Strikeout,strikeout,True,679845,666974,Nick Loftin,Yennier Cano,0,7929184a-ed7a-45c1-a75a-282d18337a15,666974.0,yenniercano,Cano,Right,Yennier Cano,BAL,2.79,3.91,38.2,106.0,116.0,106.0,0.723,8.84,4.42,7.45,1.16,3.45,0.137,0.48,0.167,0.363,0.393,137.0,115.0,108.0,,,,59.0,107.0,97.0,112.0,103.0,106.0,145.0,96.0,111.0,,,,0.498,0.115,,,0.107,,0.279,2.39,,,0.62,-3.54,,0.32,96.5,,,90.7,95.8,87.0,,0.077,0.077,0.406,0.288,0.409,0.244,,,,0.3,0.9,0.526,,,,,,,0.176,0.294,0.317,,,,,,,,,,,,,,,
2024-04-02,747057,Single,single,False,679845,608344,Nick Loftin,Cole Irvin,1,d9bd4a1c-bfa7-43b7-b029-71f045e3e2c7,608344.0,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.67,5.72,88.2,102.0,79.0,95.0,0.847,6.19,2.03,10.45,1.22,0.94,0.252,0.424,0.116,0.358,0.484,68.0,109.0,102.0,99.0,98.0,102.0,62.0,101.0,86.0,81.0,103.0,92.0,85.0,120.0,120.0,83.0,102.0,91.0,0.145,0.326,0.101,,0.046,0.247,0.135,-1.6,-0.22,,0.1,-5.55,0.21,1.08,91.9,86.0,,85.0,91.8,77.9,77.3,0.31,0.66,0.151,0.304,0.446,0.084,0.27,0.365,0.203,0.308,0.538,0.15,,,,0.326,0.512,0.187,0.217,0.283,0.25,,,,,,,,,,,,,,,
2024-04-02,747057,Walk,walk,False,679845,608344,Nick Loftin,Cole Irvin,0,a4b748a7-3814-4a6e-ae88-103be7889a3d,608344.0,coleirvin,"Irvin, C",Left,Cole Irvin,BAL,4.67,5.72,88.2,102.0,79.0,95.0,0.847,6.19,2.03,10.45,1.22,0.94,0.252,0.424,0.116,0.358,0.484,68.0,109.0,102.0,99.0,98.0,102.0,62.0,101.0,86.0,81.0,103.0,92.0,85.0,120.0,120.0,83.0,102.0,91.0,0.145,0.326,0.101,,0.046,0.247,0.135,-1.6,-0.22,,0.1,-5.55,0.21,1.08,91.9,86.0,,85.0,91.8,77.9,77.3,0.31,0.66,0.151,0.304,0.446,0.084,0.27,0.365,0.203,0.308,0.538,0.15,,,,0.326,0.512,0.187,0.217,0.283,0.25,,,,,,,,,,,,,,,
2024-04-02,747057,Single,single,False,679845,622253,Nick Loftin,Dillon Tate,0,29c3e2f6-fcf6-4b50-9639-be1d37af2c60,622253.0,dillontate,Tate,Right,Dillon Tate,BAL,4.59,3.91,33.1,97.0,101.0,98.0,0.826,6.21,2.43,10.26,0.54,1.84,0.205,0.473,0.179,0.125,0.453,87.0,95.0,99.0,,,,,,,88.0,99.0,95.0,129.0,94.0,102.0,,,,0.56,0.002,,,0.319,,0.119,-3.42,,,0.02,0.18,,-2.74,94.0,,,83.9,92.6,79.4,,,,,0.318,0.435,0.062,,,,0.194,0.226,0.387,,,,,,,0.278,0.389,0.278,,,,,,,,,,,,,,,
2024-04-04,746327,Grounded Into DP,grounded_into_double_play,True,679845,647336,Nick Loftin,Michael Soroka,1,6ba22f39-77cd-4d64-a28f-78bf03f500ac,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,CHW,5.23,4.92,72.1,95.0,95.0,94.0,0.792,8.83,5.23,7.96,1.62,0.99,0.268,0.478,0.176,0.298,0.402,112.0,84.0,92.0,,,,93.0,97.0,94.0,77.0,93.0,89.0,102.0,99.0,97.0,,,,0.229,0.306,,,0.36,,0.105,-0.14,,,-1.48,0.1,,-3.67,93.3,,,82.1,92.3,81.9,,0.206,0.382,0.177,0.289,0.518,0.08,,,,0.185,0.348,0.408,,,,,,,0.333,0.667,0.132,,,,,,,,,,,,,,,
