date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,wFC/C,wSI/C,wKC/C,vFC,vSI,vKC,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,vSC (sc),SC%,wSC/C,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC
2024-09-08,745453,Double,double,False,695257,571578,Billy Cook,Patrick Corbin,1,aba6d24b-dc1b-49ef-b9e3-8b20912d71b1,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.6,5.7,159.0,101.0,76.0,95.0,0.79,7.13,2.89,10.81,1.3,1.48,0.219,0.377,0.135,0.333,0.397,88.0,96.0,96.0,72.0,102.0,97.0,54.0,97.0,84.0,87.0,97.0,96.0,0.081,0.335,0.016,0.037,-1.39,-0.04,-2.88,-5.53,91.3,81.0,80.0,70.2,0.311,0.578,0.133,0.232,0.369,0.357,0.409,0.773,0.279,0.667,1.667,0.556,71.0,104.0,92.0,77.0,107.0,99.0,0.344,0.187,0.001,-0.34,-1.6,4.68,85.5,91.5,63.2,0.335,0.551,0.092,0.293,0.447,0.223,,,,,,,,,,,,,,,,,,,,,
2024-09-08,745453,Strikeout,strikeout,True,695257,571578,Billy Cook,Patrick Corbin,0,c9409425-7df2-438b-8e22-80c2a6754059,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.6,5.7,159.0,101.0,76.0,95.0,0.79,7.13,2.89,10.81,1.3,1.48,0.219,0.377,0.135,0.333,0.397,88.0,96.0,96.0,72.0,102.0,97.0,54.0,97.0,84.0,87.0,97.0,96.0,0.081,0.335,0.016,0.037,-1.39,-0.04,-2.88,-5.53,91.3,81.0,80.0,70.2,0.311,0.578,0.133,0.232,0.369,0.357,0.409,0.773,0.279,0.667,1.667,0.556,71.0,104.0,92.0,77.0,107.0,99.0,0.344,0.187,0.001,-0.34,-1.6,4.68,85.5,91.5,63.2,0.335,0.551,0.092,0.293,0.447,0.223,,,,,,,,,,,,,,,,,,,,,
2024-09-08,745453,Groundout,field_out,True,695257,571578,Billy Cook,Patrick Corbin,0,938fcbcd-8bba-479e-8554-98935209e076,571578.0,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.6,5.7,159.0,101.0,76.0,95.0,0.79,7.13,2.89,10.81,1.3,1.48,0.219,0.377,0.135,0.333,0.397,88.0,96.0,96.0,72.0,102.0,97.0,54.0,97.0,84.0,87.0,97.0,96.0,0.081,0.335,0.016,0.037,-1.39,-0.04,-2.88,-5.53,91.3,81.0,80.0,70.2,0.311,0.578,0.133,0.232,0.369,0.357,0.409,0.773,0.279,0.667,1.667,0.556,71.0,104.0,92.0,77.0,107.0,99.0,0.344,0.187,0.001,-0.34,-1.6,4.68,85.5,91.5,63.2,0.335,0.551,0.092,0.293,0.447,0.223,,,,,,,,,,,,,,,,,,,,,
2024-09-08,745453,Single,single,False,695257,674285,Billy Cook,Eduardo Salazar,0,775171ab-fa11-431c-8fa9-d363368f2704,674285.0,eduardosalazar,Salazar,Right,Eduardo Salazar,- - -,1.13,4.52,24.0,95.0,102.0,95.0,0.777,8.63,4.88,8.25,0.38,2.12,0.188,0.42,0.188,0.275,0.39,,,,,,,77.0,103.0,95.0,118.0,94.0,102.0,0.061,0.444,0.003,0.005,0.32,0.64,-3.47,-26.52,95.4,90.7,87.9,81.6,0.25,0.25,0.25,0.163,0.256,0.405,,,,,,,92.0,94.0,89.0,,,,0.487,,,,0.53,,,94.4,,0.295,0.341,0.071,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,745446,Flyout,field_out,True,695257,670124,Billy Cook,Adam Oller,0,5e36a6cb-ab92-442c-8f27-77d212ce8865,670124.0,adamoller,Oller,Right,Adam Oller,MIA,5.4,5.09,31.2,95.0,100.0,95.0,0.808,7.39,5.12,7.67,1.42,0.93,0.264,0.374,0.077,0.33,0.386,53.0,90.0,80.0,113.0,97.0,99.0,96.0,92.0,92.0,111.0,134.0,131.0,0.514,0.004,0.402,0.08,-1.5,13.67,2.24,-3.15,93.8,86.8,86.1,84.1,0.274,0.597,0.153,,,,0.5,0.5,0.333,0.154,0.231,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,0.152,0.309,,,,,,,,,,,,
2024-09-10,745446,Pop Out,field_out,True,695257,670124,Billy Cook,Adam Oller,0,5018f458-91cd-4187-910c-158b25a6394c,670124.0,adamoller,Oller,Right,Adam Oller,MIA,5.4,5.09,31.2,95.0,100.0,95.0,0.808,7.39,5.12,7.67,1.42,0.93,0.264,0.374,0.077,0.33,0.386,53.0,90.0,80.0,113.0,97.0,99.0,96.0,92.0,92.0,111.0,134.0,131.0,0.514,0.004,0.402,0.08,-1.5,13.67,2.24,-3.15,93.8,86.8,86.1,84.1,0.274,0.597,0.153,,,,0.5,0.5,0.333,0.154,0.231,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,0.152,0.309,,,,,,,,,,,,
2024-09-10,745446,Lineout,field_out,True,695257,666277,Billy Cook,George Soriano,0,74b43d57-4567-41c0-bcc0-b1c4ac7d2050,666277.0,georgesoriano,"Soriano, G",Right,George Soriano,MIA,5.67,6.3,27.0,95.0,92.0,93.0,0.729,9.67,3.67,8.0,2.0,0.63,0.187,0.44,0.107,0.373,0.433,108.0,96.0,93.0,,,,76.0,94.0,85.0,104.0,96.0,102.0,0.425,0.399,,0.176,0.96,-2.8,,-0.44,94.2,88.4,83.9,,0.139,0.278,0.228,0.313,0.75,0.347,0.235,0.294,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-10,745446,Flyout,field_out,True,695257,666277,Billy Cook,George Soriano,0,f6822908-8be7-46f7-9c97-240908187f1c,666277.0,georgesoriano,"Soriano, G",Right,George Soriano,MIA,5.67,6.3,27.0,95.0,92.0,93.0,0.729,9.67,3.67,8.0,2.0,0.63,0.187,0.44,0.107,0.373,0.433,108.0,96.0,93.0,,,,76.0,94.0,85.0,104.0,96.0,102.0,0.425,0.399,,0.176,0.96,-2.8,,-0.44,94.2,88.4,83.9,,0.139,0.278,0.228,0.313,0.75,0.347,0.235,0.294,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-11,745450,Pop Out,field_out,True,695257,642834,Billy Cook,Jonathan Bermúdez,0,8129fbcc-e7b5-48fe-99fe-1627491d30a8,642834.0,jonathanbermudez,Bermúdez,Left,Jonathan Bermúdez,MIA,8.1,5.33,6.2,82.0,74.0,75.0,0.885,5.4,2.7,14.85,2.7,0.83,0.2,0.44,0.08,0.28,0.438,61.0,70.0,75.0,,,,43.0,87.0,72.0,98.0,68.0,71.0,0.496,0.388,,0.116,-6.62,-2.05,,0.12,89.1,82.2,76.6,,0.538,0.923,0.107,0.5,0.5,0.0,0.25,0.5,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,0.556,0.333,,,,,,,,,,,,,,,
2024-09-11,745450,Strikeout,strikeout,True,695257,675540,Billy Cook,Xzavion Curry,0,aa52d9c1-324b-4ce9-a2b0-e57f86d3fc1f,675540.0,xzavioncurry,Curry,Right,Xzavion Curry,- - -,5.35,5.58,33.2,104.0,84.0,101.0,0.833,6.15,1.6,9.36,1.6,0.36,0.257,0.301,0.124,0.398,0.464,76.0,103.0,98.0,75.0,98.0,100.0,75.0,102.0,97.0,101.0,107.0,108.0,0.494,0.36,0.123,0.013,-0.08,-0.11,-3.79,7.51,92.1,88.0,84.7,74.1,0.275,0.49,0.209,0.262,0.459,0.216,,,,0.263,0.842,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,81.0,85.0,0.009,4.64,83.8,,,,,,
