date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CH%,wFC/C,wSI/C,wCH/C,vFC,vCH,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,EP%,wEP/C,vEP,SV_ba,SV_slg,SV_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff,vKN (sc),KN%,wKN/C
2024-04-22,746723,Lineout,field_out,True,665019,668881,Kody Clemens,Hunter Greene,0,43e604b2-c309-4122-8568-e4f57acc28b9,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,117.0,97.0,101.0,124.0,100.0,103.0,127.0,95.0,103.0,118.0,91.0,104.0,0.556,0.083,0.34,0.021,1.2,-0.91,0.09,-1.96,97.7,86.8,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,0.267,0.433,0.309,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22,746723,Double,double,False,665019,668881,Kody Clemens,Hunter Greene,1,785c35b6-e734-4d49-b0e7-5a1c45c8be2f,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,117.0,97.0,101.0,124.0,100.0,103.0,127.0,95.0,103.0,118.0,91.0,104.0,0.556,0.083,0.34,0.021,1.2,-0.91,0.09,-1.96,97.7,86.8,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,0.267,0.433,0.309,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22,746723,Strikeout,strikeout,True,665019,668881,Kody Clemens,Hunter Greene,0,18116a06-ef43-486d-8350-3854c90639f5,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,117.0,97.0,101.0,124.0,100.0,103.0,127.0,95.0,103.0,118.0,91.0,104.0,0.556,0.083,0.34,0.021,1.2,-0.91,0.09,-1.96,97.7,86.8,86.6,80.6,0.196,0.293,0.256,0.191,0.359,0.389,0.267,0.433,0.309,0.25,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-22,746723,Home Run,home_run,False,665019,668984,Kody Clemens,Casey Legumina,1,137a4165-92d7-4458-96de-ce8f6b5f7312,668984.0,caseylegumina,Legumina,Right,Casey Legumina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-04,745583,Groundout,field_out,True,665019,666149,Kody Clemens,Tyler Fitzgerald,0,37470035-f7bb-4b67-9336-e58f89b4da43,666149.0,tylerfitzgerald,Fitzgerald,Right,Tyler Fitzgerald,SFG,9.0,4.48,3.0,92.0,-88.0,94.0,1.0,0.0,0.0,18.0,0.0,0.43,0.214,0.286,0.143,0.286,0.528,,,,,,,,,,,,,0.917,,,,0.71,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,-27.68,49.6,,,,,,,,,,,,,,,,,,
2024-05-07,745586,Home Run,home_run,False,665019,621244,Kody Clemens,José Berríos,1,4322a4f4-7899-4101-ae4b-3f7f4760a34c,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,107.0,101.0,105.0,82.0,100.0,92.0,,,,,,,0.175,,,0.301,-1.98,,,0.16,94.0,,,83.0,0.333,0.648,0.183,,,,,,,,,,89.0,103.0,101.0,85.0,102.0,95.0,80.0,100.0,94.0,0.329,0.031,0.163,-2.81,0.53,1.45,91.7,84.5,93.5,0.288,0.378,0.124,0.153,0.376,0.241,0.375,0.438,0.03,,,,0.202,0.403,0.286,,,,,,,,,,,,,,,
2024-05-07,745586,Triple,triple,False,665019,621244,Kody Clemens,José Berríos,1,6e0c6a93-436c-44c5-8997-44397f5e89cc,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,107.0,101.0,105.0,82.0,100.0,92.0,,,,,,,0.175,,,0.301,-1.98,,,0.16,94.0,,,83.0,0.333,0.648,0.183,,,,,,,,,,89.0,103.0,101.0,85.0,102.0,95.0,80.0,100.0,94.0,0.329,0.031,0.163,-2.81,0.53,1.45,91.7,84.5,93.5,0.288,0.378,0.124,0.153,0.376,0.241,0.375,0.438,0.03,,,,0.202,0.403,0.286,,,,,,,,,,,,,,,
2024-05-07,745586,Lineout,field_out,True,665019,650893,Kody Clemens,Génesis Cabrera,0,8746f8ea-f2f4-465d-823b-7320aced8b49,650893.0,genesiscabrera,"Cabrera, G",Left,Génesis Cabrera,TOR,3.62,3.8,37.1,95.0,87.0,91.0,0.777,6.27,3.86,8.68,1.21,1.19,0.222,0.453,0.137,0.325,0.415,91.0,91.0,93.0,108.0,101.0,105.0,,,,,,,0.204,,,0.142,-6.56,,,1.75,95.6,,,78.9,0.429,0.829,0.13,,,,,,,0.111,0.111,0.24,43.0,86.0,73.0,89.0,85.0,81.0,82.0,100.0,92.0,0.199,0.375,0.08,3.47,-3.97,3.0,88.4,88.1,95.4,0.429,0.643,0.094,0.091,0.091,0.5,0.123,0.175,0.351,,,,,,,,,,,,,,,,,,,,,
2024-05-07,745586,Groundout,field_out,True,665019,641835,Kody Clemens,Tim Mayza,1,2e6e9cf0-de42-478c-84b6-f04e038123bf,641835.0,timmayza,Mayza,Left,Tim Mayza,TOR,8.03,6.84,24.2,97.0,103.0,95.0,0.843,5.84,4.38,13.14,1.09,1.16,0.258,0.344,0.14,0.29,0.423,,,,29.0,90.0,120.0,146.0,92.0,98.0,,,,0.006,,0.292,,2.09,,-3.0,,91.5,,86.4,,,,,0.321,0.536,0.203,,,,,,,,,,86.0,99.0,94.0,,,,0.702,,,,-1.23,,,,91.9,0.346,0.526,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-08,745584,Strikeout,strikeout,True,665019,647315,Kody Clemens,Zach Pop,0,659dad26-3bd8-47c0-8183-ed90b8d72918,647315.0,zachpop,Pop,Right,Zach Pop,TOR,5.9,4.57,29.0,98.0,101.0,100.0,0.811,5.9,3.72,9.0,2.17,1.69,0.221,0.484,0.2,0.347,0.37,,,,,,,140.0,93.0,103.0,,,,,,0.145,0.002,,,0.31,3.88,,,86.3,82.8,,,,0.143,0.214,0.24,,,,,,,,,,95.0,100.0,101.0,95.0,92.0,94.0,0.731,0.119,0.002,-3.48,-0.94,-3.7,93.7,87.4,96.3,0.279,0.5,0.207,,,,0.273,0.818,0.25,,,,,,,,,,,,,,,,,,,,,
