date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,FO%,wFO/C,vFO,ST_ba,ST_slg,ST_whiff,EP%,wEP/C,vEP
2024-04-23,746246,Strikeout,strikeout,True,677008,656288,Heston Kjerstad,Griffin Canning,0,65d0cae7-f131-4992-8e16-6b640cfdfb06,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.2,4.92,105.2,98.0,86.0,97.0,0.795,6.22,3.24,9.54,1.62,1.06,0.236,0.421,0.127,0.349,0.401,98.0,102.0,103.0,73.0,96.0,95.0,72.0,93.0,86.0,77.0,92.0,80.0,103.0,101.0,111.0,0.024,0.354,0.228,0.123,0.271,-0.83,-8.35,-1.29,-1.15,0.71,93.6,88.7,93.0,88.0,80.7,0.243,0.521,0.158,0.254,0.377,0.253,0.303,0.449,0.292,0.297,0.432,0.21,0.5,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,746246,Lineout,field_out,True,677008,656288,Heston Kjerstad,Griffin Canning,0,a2367e50-a3dd-4567-8e76-228cb3f7049f,656288.0,griffincanning,Canning,Right,Griffin Canning,LAA,5.2,4.92,105.2,98.0,86.0,97.0,0.795,6.22,3.24,9.54,1.62,1.06,0.236,0.421,0.127,0.349,0.401,98.0,102.0,103.0,73.0,96.0,95.0,72.0,93.0,86.0,77.0,92.0,80.0,103.0,101.0,111.0,0.024,0.354,0.228,0.123,0.271,-0.83,-8.35,-1.29,-1.15,0.71,93.6,88.7,93.0,88.0,80.7,0.243,0.521,0.158,0.254,0.377,0.253,0.303,0.449,0.292,0.297,0.432,0.21,0.5,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,746246,Strikeout,strikeout,True,677008,643256,Heston Kjerstad,Adam Cimber,0,2a814f38-a057-4479-a4b8-91b0a9f4b44a,643256.0,adamcimber,Cimber,Right,Adam Cimber,LAA,7.03,5.47,24.1,92.0,88.0,97.0,0.853,7.03,5.18,7.4,0.37,1.43,0.176,0.412,0.132,0.353,0.438,,,,,,,109.0,97.0,102.0,110.0,98.0,95.0,44.0,84.0,95.0,0.358,0.315,0.327,,,-0.71,-0.13,1.56,,,85.0,,85.3,73.4,,0.292,0.375,0.127,,,,0.071,0.071,0.192,,,,0.333,0.455,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,746246,Strikeout,strikeout,True,677008,472610,Heston Kjerstad,Luis García,0,276db538-02e0-416e-b4c7-d5774a526784,472610.0,luisgarcia,"García, L",Right,Luis García,LAA,4.08,3.99,39.2,98.0,104.0,102.0,0.762,8.39,3.18,7.94,0.91,2.07,0.184,0.5,0.105,0.351,0.408,,,,,,,99.0,91.0,88.0,95.0,100.0,101.0,121.0,93.0,100.0,0.504,0.077,0.212,,,-1.93,0.93,-0.04,,,95.8,,96.4,81.3,,0.364,0.545,0.217,,,,0.2,0.5,0.538,,,,0.231,0.385,0.122,,,,,,,90.0,70.0,85.0,112.0,101.0,115.0,0.019,0.188,0.39,0.98,88.0,86.7,0.206,0.206,0.362,,,,,,,,,,,,,,,
2024-04-26,747050,Groundout,field_out,True,677008,695243,Heston Kjerstad,Mason Miller,1,1ff2c0fc-232d-4bd4-b2a9-7a9904578c15,695243.0,masonmiller,"Miller, M",Right,Mason Miller,OAK,2.27,1.51,39.2,102.0,150.0,108.0,0.599,15.88,3.18,4.54,0.68,0.9,0.318,0.288,0.242,0.318,0.432,108.0,105.0,109.0,,,,141.0,101.0,106.0,,,,163.0,107.0,113.0,,0.612,0.376,,0.008,2.21,,2.1,,5.68,100.9,92.7,,87.4,,0.158,0.289,0.415,,,,0.14,0.193,0.461,,,,,,,,,,,,,,,,,,,,0.003,,-1.0,,97.6,,,,,,,,,,,,,,,,,,
2024-05-01,747048,Single,single,False,677008,661563,Heston Kjerstad,Luis Gil,0,f5aef9e0-42e4-40c1-b033-46d4ccba7250,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,,,,128.0,97.0,104.0,,,,108.0,91.0,100.0,,0.519,0.194,,0.287,0.69,,2.08,,0.38,96.7,91.7,,87.6,,0.184,0.337,0.294,0.182,0.284,0.263,0.131,0.262,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,747048,Pop Out,field_out,True,677008,661563,Heston Kjerstad,Luis Gil,0,e2fa7853-868c-4a09-930b-197f2b5e01a5,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.17,3.36,102.1,95.0,110.0,101.0,0.744,10.38,4.31,5.45,0.79,0.85,0.233,0.449,0.18,0.327,0.403,82.0,94.0,95.0,,,,128.0,97.0,104.0,,,,108.0,91.0,100.0,,0.519,0.194,,0.287,0.69,,2.08,,0.38,96.7,91.7,,87.6,,0.184,0.337,0.294,0.182,0.284,0.263,0.131,0.262,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-01,747048,Hit By Pitch,hit_by_pitch,False,677008,641656,Heston Kjerstad,Ian Hamilton,1,ad4f35d5-91ff-428b-a151-249d8806ff18,641656.0,ianhamilton,"Hamilton, I",Right,Ian Hamilton,NYY,4.55,4.1,29.2,101.0,117.0,101.0,0.668,9.1,4.25,10.01,0.3,1.39,0.281,0.371,0.135,0.202,0.401,,,,,,,86.0,98.0,96.0,90.0,96.0,93.0,144.0,108.0,109.0,0.247,0.224,0.53,,,1.11,-3.02,-0.09,,,96.3,,95.6,88.4,,0.136,0.273,0.24,,,,0.254,0.343,0.454,,,,0.5,0.615,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-03,746721,Walk,walk,False,677008,668881,Heston Kjerstad,Hunter Greene,0,c89e7998-9772-43fb-81e0-c85b09e21e43,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,,,,117.0,97.0,101.0,124.0,100.0,103.0,,,,127.0,95.0,103.0,,0.556,0.34,0.021,,1.2,,0.09,-1.96,,97.7,,,86.6,80.6,0.196,0.293,0.256,,,,0.191,0.359,0.389,0.25,1.0,0.125,,,,,,,,,,,,,118.0,91.0,104.0,,0.083,,-0.91,,86.8,0.267,0.433,0.309,,,,,,,,,,,,,,,
2024-05-03,746721,Single,single,False,677008,668881,Heston Kjerstad,Hunter Greene,0,c0d1b20d-d157-4bab-aa9b-af98081a4265,668881.0,huntergreene,"Greene, H",Right,Hunter Greene,CIN,3.34,3.1,110.1,98.0,124.0,103.0,0.742,10.28,3.67,6.36,0.82,0.72,0.272,0.412,0.184,0.272,0.421,,,,117.0,97.0,101.0,124.0,100.0,103.0,,,,127.0,95.0,103.0,,0.556,0.34,0.021,,1.2,,0.09,-1.96,,97.7,,,86.6,80.6,0.196,0.293,0.256,,,,0.191,0.359,0.389,0.25,1.0,0.125,,,,,,,,,,,,,118.0,91.0,104.0,,0.083,,-0.91,,86.8,0.267,0.433,0.309,,,,,,,,,,,,,,,
2024-05-03,746721,Strikeout,strikeout,True,677008,518585,Heston Kjerstad,Fernando Cruz,0,a7413039-8f22-4556-9cac-7bd568330944,518585.0,fernandocruz,"Cruz, F",Right,Fernando Cruz,CIN,4.65,3.82,40.2,95.0,118.0,101.0,0.618,14.39,4.65,6.64,0.89,0.81,0.188,0.412,0.165,0.365,0.375,,,,,,,90.0,95.0,89.0,,,,,,,,0.301,,,,-0.28,,,,,94.7,,,,,0.316,0.553,0.178,,,,,,,,,,,,,,,,,,,82.0,94.0,95.0,159.0,95.0,113.0,0.268,0.431,-1.25,2.35,88.8,81.7,0.09,0.128,0.573,0.344,0.719,0.317,,,,,,,,,,,,
2024-05-03,746721,Walk,walk,False,677008,571656,Heston Kjerstad,Buck Farmer,0,4fef7bd2-fe19-45d6-ac84-8a8c5991a70b,571656.0,buckfarmer,"Farmer, B",Right,Buck Farmer,CIN,2.8,4.36,45.0,97.0,90.0,98.0,0.777,7.8,3.6,7.2,0.8,0.81,0.24,0.388,0.178,0.279,0.387,110.0,102.0,106.0,,,,53.0,94.0,81.0,70.0,90.0,89.0,117.0,100.0,111.0,0.21,0.244,0.33,,0.216,0.58,0.81,1.87,,-0.98,92.7,86.6,92.3,82.1,,0.2,0.4,0.153,0.297,0.351,0.259,0.125,0.271,0.374,,,,0.282,0.436,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-07,744859,Strikeout,strikeout,True,677008,640451,Heston Kjerstad,Hunter Harvey,0,96cde372-ef88-4350-82b5-d5f13eb796af,640451.0,hunterharvey,"Harvey, H",Right,Hunter Harvey,WSN,4.2,4.19,45.0,105.0,110.0,107.0,0.745,10.0,2.4,8.6,0.8,1.51,0.258,0.452,0.161,0.363,0.463,,,,101.0,96.0,101.0,117.0,107.0,108.0,,,,119.0,96.0,108.0,,0.632,0.043,0.098,,0.4,,-7.36,1.44,,97.8,,,85.5,82.3,0.245,0.388,0.23,,,,0.429,1.0,0.357,0.158,0.263,0.303,,,,,,,,,,,,,95.0,107.0,110.0,,0.226,,-0.54,,89.1,0.265,0.449,0.374,,,,,,,,,,,,,,,
2024-05-08,744858,Groundout,field_out,True,677008,607179,Heston Kjerstad,Jordan Weems,0,35d3f191-7f1d-4da2-bbb2-e5b6c9a9f679,607179.0,jordanweems,Weems,Right,Jordan Weems,WSN,5.54,4.36,39.0,96.0,108.0,95.0,0.814,7.62,4.38,9.46,1.15,0.98,0.281,0.306,0.207,0.355,0.432,104.0,82.0,96.0,144.0,94.0,115.0,100.0,94.0,90.0,,,,122.0,99.0,103.0,,0.605,0.358,0.009,0.028,0.22,,-0.74,-8.86,-14.18,96.1,87.4,,87.7,79.7,0.247,0.371,0.173,0.8,1.0,0.333,0.241,0.466,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-11,747041,Strikeout,strikeout,True,677008,669194,Heston Kjerstad,Ryne Nelson,0,81a815ce-0d7e-4d8f-ad33-45fadc18da15,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,,,,108.0,112.0,110.0,,0.531,0.107,0.064,0.094,0.45,,-1.78,2.02,-4.16,95.0,83.4,,84.5,77.5,0.261,0.415,0.217,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,,,,,,,,,,76.0,103.0,92.0,,,,0.203,,-1.15,,91.4,,,,,0.341,0.518,0.124,,,,,,,,,,,,
2024-05-11,747041,Fielders Choice Out,fielders_choice_out,True,677008,669194,Heston Kjerstad,Ryne Nelson,1,1d21734a-0f34-4cca-9d74-cb08bd6d7df0,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.78,4.39,92.1,105.0,97.0,103.0,0.842,6.63,2.14,10.33,0.97,1.13,0.27,0.375,0.14,0.358,0.471,105.0,100.0,109.0,91.0,98.0,96.0,101.0,107.0,105.0,,,,108.0,112.0,110.0,,0.531,0.107,0.064,0.094,0.45,,-1.78,2.02,-4.16,95.0,83.4,,84.5,77.5,0.261,0.415,0.217,0.368,0.737,0.208,0.4,0.733,0.167,0.16,0.24,0.116,,,,,,,,,,76.0,103.0,92.0,,,,0.203,,-1.15,,91.4,,,,,0.341,0.518,0.124,,,,,,,,,,,,
