date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff,ST_ba,ST_slg,ST_whiff,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff,vKN (sc),KN%,wKN/C
2024-03-30,746410,Groundout,field_out,True,605170,573186,Victor Caratini,Marcus Stroman,0,cf444ff4-431b-4429-98f7-864f0a597ed0,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,3.51,4.45,105.0,95.0,93.0,93.0,0.806,6.69,4.03,7.89,1.29,1.44,0.226,0.395,0.166,0.318,0.345,,,,49.0,95.0,83.0,94.0,92.0,88.0,91.0,100.0,99.0,,,,107.0,98.0,97.0,0.363,0.034,0.192,0.177,,,-4.6,0.65,-0.02,-0.84,,,89.9,88.0,,89.9,85.5,,0.5,0.7,0.333,0.222,0.472,0.192,0.285,0.469,0.14,,,,0.0,0.0,0.429,0.204,0.296,0.292,92.0,80.0,90.0,82.0,99.0,94.0,0.105,0.128,1.17,-0.91,83.1,81.8,0.108,0.216,0.271,0.27,0.514,0.306,,,,,,,,,,,,
2024-03-30,746410,Single,single,False,605170,573186,Victor Caratini,Marcus Stroman,0,f80c2540-c659-4d90-a0ab-2f82b67816ac,573186.0,marcusstroman,Stroman,Right,Marcus Stroman,NYY,3.51,4.45,105.0,95.0,93.0,93.0,0.806,6.69,4.03,7.89,1.29,1.44,0.226,0.395,0.166,0.318,0.345,,,,49.0,95.0,83.0,94.0,92.0,88.0,91.0,100.0,99.0,,,,107.0,98.0,97.0,0.363,0.034,0.192,0.177,,,-4.6,0.65,-0.02,-0.84,,,89.9,88.0,,89.9,85.5,,0.5,0.7,0.333,0.222,0.472,0.192,0.285,0.469,0.14,,,,0.0,0.0,0.429,0.204,0.296,0.292,92.0,80.0,90.0,82.0,99.0,94.0,0.105,0.128,1.17,-0.91,83.1,81.8,0.108,0.216,0.271,0.27,0.514,0.306,,,,,,,,,,,,
2024-03-30,746410,Strikeout,strikeout,True,605170,641656,Victor Caratini,Ian Hamilton,0,0b2c983e-c525-4a32-b9ef-c8cfbe2becc9,641656.0,ianhamilton,"Hamilton, I",Right,Ian Hamilton,NYY,4.55,4.1,29.2,101.0,117.0,101.0,0.668,9.1,4.25,10.01,0.3,1.39,0.281,0.371,0.135,0.202,0.401,,,,86.0,98.0,96.0,90.0,96.0,93.0,144.0,108.0,109.0,,,,,,,0.247,0.224,,0.53,,,1.11,,-3.02,-0.09,,,96.3,,,95.6,88.4,,0.136,0.273,0.24,,,,0.5,0.615,0.122,,,,,,,0.254,0.343,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,746413,Single,single,False,605170,605280,Victor Caratini,Clay Holmes,1,62782bfb-dc90-4dc5-9b33-77473f761adf,605280.0,clayholmes,"Holmes, C",Right,Clay Holmes,NYY,2.77,2.96,39.0,99.0,127.0,107.0,0.758,9.46,2.31,9.46,0.46,3.55,0.216,0.379,0.207,0.259,0.425,,,,,,,104.0,97.0,102.0,180.0,103.0,114.0,,,,,,,0.617,,,0.383,,,,,-0.78,1.82,,,,,,96.5,85.8,,,,,,,,0.327,0.433,0.181,,,,,,,0.25,0.3,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-02,746411,Strikeout,strikeout,True,605170,621244,Victor Caratini,José Berríos,0,6cc8d6bc-02cd-456f-8f7f-78f2493f99bd,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,89.0,103.0,101.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,,,,80.0,100.0,94.0,0.329,0.175,0.031,,,0.163,-1.98,-2.81,0.53,,,1.45,94.0,91.7,84.5,93.5,,,0.333,0.648,0.183,0.375,0.438,0.03,0.288,0.378,0.124,0.153,0.376,0.241,,,,,,,107.0,101.0,105.0,,,,,0.301,,0.16,,83.0,,,,0.202,0.403,0.286,,,,,,,,,,,,
2024-04-02,746411,Groundout,field_out,True,605170,621244,Victor Caratini,José Berríos,0,f9cbdceb-95a2-4cfd-8819-30c098292683,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,89.0,103.0,101.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,,,,80.0,100.0,94.0,0.329,0.175,0.031,,,0.163,-1.98,-2.81,0.53,,,1.45,94.0,91.7,84.5,93.5,,,0.333,0.648,0.183,0.375,0.438,0.03,0.288,0.378,0.124,0.153,0.376,0.241,,,,,,,107.0,101.0,105.0,,,,,0.301,,0.16,,83.0,,,,0.202,0.403,0.286,,,,,,,,,,,,
2024-04-02,746411,Strikeout,strikeout,True,605170,554340,Victor Caratini,Yimi García,0,fac073ea-fe07-4739-b9e4-161ab9c07419,554340.0,yimigarcia,"García, Y",Right,Yimi García,TOR,2.57,2.32,28.0,105.0,119.0,112.0,0.726,11.89,2.25,4.82,0.96,0.41,0.361,0.311,0.164,0.279,0.407,107.0,84.0,80.0,111.0,115.0,123.0,94.0,97.0,97.0,174.0,107.0,124.0,,,,,,,0.191,0.335,,0.175,,0.09,2.91,,2.05,2.46,,0.7,96.7,,88.7,95.9,86.7,,0.116,0.279,0.356,,,,0.188,0.25,0.2,0.143,0.286,0.529,0.308,0.538,0.25,0.0,0.0,0.0,111.0,104.0,109.0,,,,,0.21,,0.28,,84.2,,,,,,,,,,,,,,,,,,
2024-04-08,745034,Single,single,False,605170,571760,Victor Caratini,Andrew Heaney,0,3c12d3e9-a02f-4c14-b0ee-df3d1c8cd576,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,76.0,101.0,98.0,,,,89.0,98.0,100.0,,,,20.0,51.0,51.0,,0.522,0.002,0.29,,0.154,-0.05,-19.18,,-0.02,,1.0,91.5,86.6,83.8,,82.0,,0.22,0.422,0.224,,,,,,,0.256,0.329,0.229,0.8,2.0,0.125,0.252,0.383,0.382,126.0,105.0,102.0,,,,,0.032,,-7.71,,75.5,,,,,,,,,,,,,,,,,,
2024-04-08,745034,Strikeout,strikeout,True,605170,571760,Victor Caratini,Andrew Heaney,0,6f2ba326-7759-4b87-aa5a-482d11a24c4a,571760.0,andrewheaney,Heaney,Left,Andrew Heaney,TEX,3.79,3.93,95.0,101.0,82.0,99.0,0.751,9.19,2.46,8.81,1.33,0.77,0.26,0.409,0.149,0.285,0.415,85.0,105.0,99.0,76.0,101.0,98.0,,,,89.0,98.0,100.0,,,,20.0,51.0,51.0,,0.522,0.002,0.29,,0.154,-0.05,-19.18,,-0.02,,1.0,91.5,86.6,83.8,,82.0,,0.22,0.422,0.224,,,,,,,0.256,0.329,0.229,0.8,2.0,0.125,0.252,0.383,0.382,126.0,105.0,102.0,,,,,0.032,,-7.71,,75.5,,,,,,,,,,,,,,,,,,
2024-04-08,745034,Home Run,home_run,False,605170,681982,Victor Caratini,Grant Anderson,1,9f34520e-f73f-41b2-b48b-65b61ef64615,681982.0,grantanderson,"Anderson, G",Right,Grant Anderson,TEX,8.53,5.09,19.0,99.0,101.0,102.0,0.764,9.47,3.79,10.89,2.84,1.3,0.25,0.411,0.143,0.304,0.454,61.0,80.0,83.0,83.0,97.0,95.0,102.0,107.0,105.0,120.0,98.0,109.0,,,,,,,0.274,0.268,,0.385,,0.073,-2.69,,2.3,-3.52,,3.36,92.5,,85.8,92.1,82.4,,0.25,0.85,0.409,,,,0.259,0.259,0.1,0.0,0.0,0.111,,,,0.458,0.75,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
