date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,FS%,SL%,CU%,CH%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFS,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FS_ba,FS_slg,FS_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,SV_ba,SV_slg,SV_whiff
2024/09/17,6:45 PM.,PIT,STL,home,Clear.,85,663559,RF,0,0,0,0,0,0,0,0,0,0,0,.245,.336,.403,.739,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,100.0,99.0,98.0,85.0,100.0,97.0,99.0,101.0,99.0,91.0,96.0,96.0,0.142,0.484,0.006,0.216,0.152,,0.38,-7.04,1.23,0.27,-1.24,,91.8,86.9,,92.0,86.1,77.7,0.255,0.41,0.166,,,,0.26,0.448,0.157,,,,0.305,0.61,0.207,0.333,1.333,0.125,,,,,,,,,,0.245,0.304,0.287,,,,,,,43.0,95.0,70.0,,,
2024/09/16,6:45 PM.,PIT,STL,home,Partly Cloudy.,80,694973,RF,3,0,0,0,0,0,1,0,0,1,1,.245,.336,.403,.739,694973,paulskenes,Skenes,Right,Paul Skenes,PIT,1.96,2.53,133.0,103.0,102.0,103.0,0.736,11.5,2.17,6.36,0.68,1.66,0.216,0.464,0.193,0.235,0.427,82.0,108.0,107.0,105.0,100.0,104.0,98.0,107.0,103.0,80.0,95.0,86.0,131.0,101.0,113.0,0.284,0.392,,0.162,0.108,0.054,0.64,,3.52,0.8,-0.18,2.34,98.8,,87.3,94.0,85.4,83.0,0.23,0.351,0.242,0.104,0.188,0.226,0.184,0.234,0.293,0.088,0.118,0.548,0.25,0.375,0.337,,,,,,,,,,,,,0.286,0.571,0.328,,,,,,,,,,,,
2024/09/15,1:40 PM.,TOR,STL,away,Sunny.,74,684320,LF,4,1,2,0,0,1,1,0,0,1,1,.248,.340,.406,.746,684320,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.47,4.0,86.2,97.0,97.0,97.0,0.765,8.83,4.15,7.68,1.14,0.9,0.268,0.393,0.184,0.272,0.392,,,,97.0,95.0,100.0,86.0,93.0,87.0,84.0,94.0,92.0,120.0,104.0,111.0,0.108,0.409,0.096,0.282,0.105,,-0.12,-1.17,2.98,0.67,-2.85,,93.9,88.9,,93.4,84.6,78.3,0.255,0.439,0.22,,,,0.167,0.167,0.149,,,,0.348,0.739,0.25,0.194,0.306,0.215,,,,,,,,,,0.213,0.36,0.335,,,,,,,85.0,102.0,102.0,,,
2024/09/14,3:09 PM.,TOR,STL,away,Sunny.,68,621244,CF,3,0,0,0,0,0,0,0,0,1,0,.244,.338,.395,.733,621244,joseberrios,Berríos,Right,José Berríos,TOR,3.6,4.74,192.1,103.0,92.0,99.0,0.808,7.16,2.53,7.86,1.45,1.17,0.257,0.421,0.15,0.352,0.414,86.0,104.0,101.0,111.0,102.0,106.0,82.0,99.0,92.0,85.0,103.0,95.0,,,,0.337,0.183,,,0.286,0.16,-1.26,,1.02,,0.28,0.88,94.1,,84.8,93.4,,83.2,0.305,0.558,0.189,,,,0.268,0.366,0.125,0.171,0.364,0.269,,,,,,,84.0,108.0,99.0,0.035,-1.83,91.4,0.36,0.48,0.123,,,,,,,,,,,,,0.188,0.404,0.31
2024/09/13,7:10 PM.,TOR,STL,away,Partly Cloudy.,67,592332,RF,3,0,1,0,0,0,0,0,1,1,2,.247,.341,.399,.740,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.83,4.71,181.0,105.0,94.0,104.0,0.791,8.06,2.78,8.2,0.99,0.91,0.262,0.417,0.136,0.363,0.417,,,,,,,99.0,105.0,105.0,90.0,102.0,94.0,88.0,90.0,95.0,0.054,0.528,0.334,0.084,,,0.43,0.51,-3.21,-1.21,,,93.9,86.0,,93.3,82.7,,0.277,0.466,0.175,,,,0.316,0.579,0.117,,,,,,,0.169,0.262,0.335,,,,,,,,,,0.268,0.439,0.266,,,,,,,88.0,108.0,106.0,,,
2024/09/12,12:15 PM.,CIN,STL,home,Cloudy.,82,596001,RF,3,1,2,1,0,0,1,0,0,0,0,.246,.339,.400,.739,596001,jakobjunis,Junis,Right,Jakob Junis,- - -,2.69,3.8,67.0,108.0,99.0,108.0,0.779,6.85,1.07,6.58,1.07,0.96,0.257,0.408,0.105,0.288,0.502,89.0,102.0,106.0,,,,73.0,112.0,101.0,79.0,109.0,102.0,123.0,107.0,116.0,0.362,0.1,,0.453,,0.084,3.97,,1.95,1.3,,-2.62,92.5,,86.6,91.9,83.0,,0.1,0.1,0.235,,,,0.25,0.381,0.19,0.238,0.714,0.265,,,,,,,97.0,119.0,106.0,0.002,-12.89,88.2,,,,0.183,0.346,0.296,,,,,,,,,,,,
2024/09/11,6:45 PM.,CIN,STL,home,Partly Cloudy.,86,682227,RF,0,0,0,0,0,0,0,0,0,0,0,.242,.337,.394,.731,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,3.77,4.81,14.1,92.0,69.0,85.0,0.827,7.53,3.14,6.28,2.51,0.68,0.25,0.375,0.075,0.425,0.42,96.0,90.0,94.0,85.0,65.0,67.0,55.0,106.0,91.0,,,,138.0,128.0,121.0,,0.242,,0.004,0.071,0.218,-1.44,,,-2.42,-4.16,2.09,92.7,,83.9,,82.2,75.7,0.313,0.563,0.167,,,,,,,0.0,0.0,0.316,,,,,,,59.0,89.0,78.0,0.464,0.38,90.1,0.179,0.5,0.154,,,,,,,,,,,,,,,
2024/09/10,6:46 PM.,CIN,STL,home,Clear.,82,695076,CF,3,0,0,0,0,0,0,0,1,1,3,.242,.337,.394,.731,695076,rhettlowder,Lowder,Right,Rhett Lowder,CIN,1.17,4.34,30.2,101.0,92.0,99.0,0.815,6.46,4.11,7.34,0.0,1.06,0.228,0.446,0.141,0.315,0.43,108.0,112.0,111.0,,,,80.0,90.0,84.0,80.0,105.0,100.0,104.0,100.0,104.0,0.259,0.273,,0.273,,0.195,-0.25,,3.18,0.48,,1.33,93.5,,86.2,92.3,85.0,,0.222,0.222,0.278,,,,0.263,0.263,0.063,0.095,0.095,0.19,,,,,,,,,,,,,,,,0.243,0.297,0.267,,,,,,,,,,,,
2024/09/08,1:16 PM.,SEA,STL,home,Sunny.,72,622491,LF,2,0,0,0,0,0,0,0,2,1,3,.244,.338,.398,.736,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,,,,120.0,105.0,103.0,100.0,102.0,98.0,72.0,106.0,108.0,0.179,0.454,,0.224,,0.143,0.97,,-0.41,0.65,,-1.63,95.6,,88.1,95.6,85.7,,0.203,0.365,0.273,,,,0.298,0.457,0.105,0.287,0.545,0.265,,,,,,,,,,,,,,,,0.207,0.357,0.358,,,,,,,,,,,,
2024/09/07,6:17 PM.,SEA,STL,home,Clear.,73,669302,LF,3,0,1,1,0,0,0,0,0,1,0,.246,.336,.401,.737,669302,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.23,3.14,208.2,101.0,121.0,106.0,0.705,9.49,1.6,6.38,1.12,1.2,0.236,0.45,0.135,0.325,0.429,,,,124.0,99.0,107.0,106.0,101.0,97.0,91.0,102.0,97.0,146.0,102.0,115.0,0.015,0.308,0.134,0.32,0.118,,1.41,1.18,0.32,1.72,0.81,,96.6,84.5,,95.5,88.4,83.2,0.204,0.383,0.193,,,,0.286,0.286,0.05,,,,0.181,0.301,0.354,0.101,0.162,0.506,116.0,104.0,103.0,0.106,0.14,92.3,0.247,0.483,0.272,0.21,0.375,0.368,,,,,,,99.0,96.0,104.0,,,
2024/09/06,7:15 PM.,SEA,STL,home,Partly Cloudy.,76,682243,LF,2,0,0,0,0,0,0,0,2,1,0,.245,.336,.398,.734,682243,brycemiller,"Miller, B",Right,Bryce Miller,SEA,2.94,3.72,180.1,101.0,112.0,105.0,0.774,8.53,2.25,6.54,1.05,0.86,0.249,0.404,0.14,0.318,0.442,,,,,,,124.0,102.0,106.0,100.0,102.0,99.0,122.0,96.0,101.0,0.171,0.423,0.171,0.168,,,1.53,1.51,1.55,-0.21,,,95.2,84.4,,94.7,84.5,,0.184,0.348,0.266,0.24,0.4,0.188,0.248,0.358,0.092,,,,0.231,0.308,0.378,0.148,0.225,0.29,93.0,80.0,85.0,0.023,0.14,92.1,0.25,0.333,0.207,0.243,0.568,0.261,92.0,104.0,111.0,0.044,-0.4,85.0,95.0,107.0,111.0,,,
2024/09/04,6:40 PM.,MIL,STL,away,Clear.,76,607067,LF,2,0,1,0,0,0,1,1,2,1,1,.247,.334,.401,.735,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,82.0,103.0,96.0,109.0,106.0,108.0,0.311,0.193,0.088,0.172,0.042,,0.49,-2.02,-0.28,1.41,-3.64,,92.9,86.5,,92.3,82.0,78.7,0.207,0.314,0.248,0.159,0.234,0.227,0.298,0.482,0.115,,,,0.394,0.636,0.18,0.286,0.492,0.277,76.0,94.0,88.0,0.194,-1.34,87.6,0.287,0.656,0.168,,,,,,,,,,78.0,98.0,96.0,,,
2024/09/03,6:41 PM.,MIL,STL,away,Clear.,73,650644,LF,5,0,2,0,0,0,0,1,0,1,2,.245,.329,.400,.729,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,71.0,93.0,83.0,152.0,101.0,112.0,0.24,0.099,0.02,0.163,0.156,,-1.7,-4.86,0.06,-1.03,-1.36,,92.0,85.6,,92.6,80.5,77.1,0.294,0.49,0.095,0.267,0.467,0.272,0.241,0.421,0.158,,,,0.25,0.479,0.275,0.375,0.625,0.261,91.0,100.0,101.0,0.322,1.08,88.1,0.232,0.394,0.233,0.25,0.375,0.438,,,,,,,57.0,96.0,102.0,,,
2024/09/02,1:10 PM.,MIL,STL,away,Partly Cloudy.,72,642547,LF,1,0,1,0,0,0,0,0,1,0,0,.242,.328,.400,.728,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.197,0.318,0.373,84.0,92.0,88.0,104.0,106.0,110.0,112.0,99.0,101.0,,,,98.0,99.0,105.0,,0.539,,0.217,0.07,0.175,0.05,,,-0.09,0.36,0.84,94.3,,87.7,,81.4,78.1,0.239,0.424,0.252,,,,,,,0.218,0.291,0.369,0.182,0.341,0.372,,,,,,,,,,,,,0.203,0.384,0.41,,,,,,,,,,,,
2024/09/01,1:39 PM.,NYY,STL,away,Cloudy.,78,641482,LF,5,2,3,1,0,1,5,0,0,1,2,.239,.324,.398,.722,641482,nestorcortes,Cortes,Left,Nestor Cortes,NYY,3.77,3.62,174.1,101.0,101.0,101.0,0.79,8.36,2.01,8.36,1.24,0.64,0.253,0.37,0.164,0.317,0.432,86.0,102.0,94.0,,,,99.0,103.0,100.0,86.0,116.0,113.0,99.0,98.0,101.0,0.014,0.442,,0.168,,0.097,0.25,,1.37,-1.27,,-0.89,92.1,,83.6,90.3,78.2,,0.235,0.443,0.215,0.284,0.511,0.25,0.143,0.143,0.316,0.226,0.369,0.326,,,,,,,109.0,100.0,102.0,0.28,1.32,87.5,0.249,0.378,0.251,0.364,0.727,0.167,,,,,,,,,,,,
2024/08/31,1:08 PM.,NYY,STL,away,Cloudy.,74,701542,LF,4,1,1,1,0,0,0,0,0,0,1,.233,.320,.380,.700,701542,willwarren,"Warren, W",Right,Will Warren,NYY,10.32,4.52,22.2,99.0,102.0,104.0,0.756,11.51,3.97,13.1,1.99,0.86,0.174,0.406,0.116,0.362,0.376,90.0,101.0,107.0,,,,92.0,102.0,101.0,93.0,104.0,108.0,126.0,88.0,98.0,0.264,0.306,,0.264,,0.122,1.94,,-4.69,-2.61,,-6.86,93.8,,86.3,93.1,83.1,,0.074,0.222,0.246,0.3,0.6,0.371,0.485,0.818,0.164,0.545,1.0,0.32,,,,,,,112.0,117.0,129.0,0.044,-5.11,86.4,0.5,0.5,0.333,,,,,,,,,,,,,,,
2024/08/30,7:09 PM.,NYY,STL,away,Cloudy.,71,573186,LF,4,0,1,0,0,0,0,0,0,0,4,.233,.321,.378,.699,573186,marcusstroman,Stroman,Right,Marcus Stroman,NYY,4.31,4.94,154.2,96.0,92.0,94.0,0.82,6.58,3.49,9.72,1.11,1.6,0.207,0.4,0.148,0.325,0.359,,,,94.0,89.0,94.0,48.0,88.0,79.0,90.0,94.0,90.0,93.0,102.0,102.0,0.351,0.032,0.111,0.16,0.165,,-4.01,-0.31,-0.03,-2.37,-0.03,,89.9,83.3,,90.0,85.3,81.3,0.455,0.636,0.259,,,,0.306,0.466,0.12,,,,0.0,0.0,0.265,0.235,0.309,0.241,106.0,101.0,99.0,0.182,-0.26,88.1,0.296,0.519,0.187,0.258,0.386,0.272,,,,,,,82.0,99.0,93.0,0.309,0.515,0.313
2024/08/29,1:17 PM.,SD,STL,home,Sunny.,92,650633,RF,4,1,1,0,1,0,0,0,0,0,4,.232,.321,.380,.701,650633,michaelking,"King, M",Right,Michael King,SDP,2.95,3.59,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,,,,86.0,103.0,101.0,88.0,105.0,98.0,115.0,97.0,102.0,0.279,0.241,,0.234,,0.246,-0.15,,0.68,-0.19,,1.61,93.7,,86.7,92.9,82.9,,0.265,0.402,0.261,0.206,0.304,0.345,0.2,0.376,0.189,0.207,0.286,0.362,,,,,,,,,,,,,,,,0.281,0.5,0.284,,,,,,,,,,,,
2024/08/28,6:46 PM.,SD,STL,home,Cloudy.,87,605397,RF,4,0,1,0,0,0,0,0,0,0,2,.232,.322,.375,.697,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,168.0,98.0,103.0,95.0,100.0,95.0,69.0,111.0,96.0,145.0,98.0,106.0,0.044,0.246,,0.203,0.225,0.078,-0.74,,0.44,1.05,-0.1,-3.1,93.0,,87.1,92.6,82.2,81.6,0.253,0.494,0.231,0.169,0.351,0.338,0.348,0.435,0.146,0.353,0.618,0.379,0.203,0.319,0.328,,,,110.0,108.0,104.0,0.204,1.35,89.7,0.298,0.405,0.25,,,,,,,,,,,,,,,
2024/08/27,6:45 PM.,SD,STL,home,Clear.,98,656302,RF,4,1,1,0,0,0,1,0,0,1,2,.232,.323,.376,.699,656302,dylancease,Cease,Right,Dylan Cease,SDP,3.47,3.31,189.1,100.0,121.0,107.0,0.693,10.65,3.09,6.51,0.86,0.94,0.203,0.433,0.147,0.307,0.389,54.0,72.0,68.0,,,,123.0,95.0,102.0,,,,112.0,100.0,105.0,,0.435,,0.471,,0.009,0.22,,,1.98,,-4.13,96.9,,69.7,,87.2,,0.235,0.39,0.203,0.2,0.267,0.385,,,,0.25,1.0,0.2,0.28,0.44,0.286,,,,113.0,89.0,90.0,0.006,-5.11,91.8,0.25,1.0,0.0,0.159,0.257,0.447,105.0,95.0,102.0,0.079,-0.95,82.3,,,,,,
2024/08/26,6:45 PM.,SD,STL,home,Clear.,92,681190,RF,3,0,0,0,0,0,0,0,0,0,3,.232,.324,.378,.702,681190,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.87,5.94,98.0,101.0,106.0,100.0,0.837,5.69,2.66,10.93,1.19,1.02,0.21,0.378,0.177,0.333,0.434,96.0,99.0,96.0,124.0,101.0,106.0,92.0,103.0,100.0,103.0,103.0,98.0,132.0,101.0,109.0,0.157,0.285,,0.1,0.197,0.124,-0.56,,-1.91,-0.16,-0.45,-3.49,94.3,,88.6,94.2,82.4,82.2,0.301,0.462,0.222,0.229,0.396,0.247,0.429,0.571,0.106,0.365,0.615,0.122,0.234,0.422,0.239,,,,107.0,99.0,97.0,0.137,2.22,90.2,0.228,0.351,0.169,,,,,,,,,,,,,,,
2024/08/25,1:11 PM.,MIN,STL,away,Partly Cloudy.,82,805673,RF,4,0,1,0,0,0,2,0,0,2,2,.234,.328,.383,.711,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,88.0,87.0,93.0,107.0,117.0,117.0,95.0,99.0,97.0,,,,114.0,100.0,105.0,,0.428,,0.259,0.071,0.079,-1.19,,,-1.68,-5.76,-3.13,94.9,,85.8,,87.2,81.7,0.288,0.627,0.178,,,,,,,0.222,0.333,0.313,0.4,0.667,0.174,,,,96.0,101.0,95.0,0.162,-1.3,90.9,0.345,0.655,0.182,0.308,0.462,0.376,,,,,,,,,,,,
