date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2024/06/30,7:10 PM.,BAL,TEX,away,Partly Cloudy.,93,608344,3B,4,0,0,0,0,0,0,0,0,3,3,.128,.163,.234,.397,608344,coleirvin,"Irvin, C",Left,Cole Irvin,- - -,5.11,5.78,111.0,101.0,79.0,94.0,0.849,6.32,2.35,10.7,1.46,0.96,0.251,0.414,0.121,0.34,0.478,65.0,108.0,100.0,75.0,101.0,89.0,85.0,121.0,119.0,0.2,0.041,0.134,-0.49,-3.18,-1.52,84.9,91.5,78.1,0.307,0.485,0.088,0.25,0.438,0.196,0.282,0.474,0.243,62.0,99.0,85.0,0.264,-1.16,91.9,0.296,0.592,0.163,,,,102.0,98.0,102.0,86.0,102.0,91.0,0.109,0.252,-0.64,-0.38,85.9,77.3,0.327,0.551,0.181,0.283,0.424,0.189,,,,,,,,,,,,,,,
2024/06/29,7:16 PM.,BAL,TEX,away,Partly Cloudy.,90,700249,3B,2,0,0,0,0,0,0,0,0,1,1,.140,.159,.256,.415,700249,cadepovich,Povich,Left,Cade Povich,BAL,5.2,4.11,79.2,99.0,87.0,97.0,0.788,7.79,3.84,9.04,1.36,0.75,0.22,0.447,0.179,0.289,0.454,63.0,101.0,95.0,80.0,98.0,90.0,113.0,107.0,108.0,0.084,0.13,0.109,0.86,-0.43,-2.05,86.1,91.5,82.6,0.2,0.24,0.103,,,,0.25,0.542,0.235,81.0,97.0,93.0,0.407,0.56,92.4,0.223,0.379,0.185,0.232,0.411,0.276,93.0,101.0,104.0,97.0,94.0,94.0,0.075,0.196,-3.12,-2.26,88.3,76.3,0.333,0.81,0.288,0.333,0.517,0.269,,,,,,,,,,,,,,,
2024/06/28,7:06 PM.,BAL,TEX,away,Partly Cloudy.,81,544150,1B,0,0,0,0,0,0,0,0,0,0,0,.146,.167,.268,.435,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,,,,,,,,,0.172,,,-0.5,86.1,,,,,,,,,0.274,0.434,0.228,90.0,101.0,96.0,0.5,-0.36,94.8,0.276,0.469,0.228,,,,94.0,99.0,98.0,74.0,99.0,92.0,0.195,0.132,0.73,0.41,86.3,79.0,0.24,0.365,0.308,0.174,0.348,0.252,,,,,,,,,,,,,,,
2024/06/27,6:35 PM.,BAL,TEX,away,Partly Cloudy.,88,669203,2B,1,0,0,0,0,0,0,0,0,1,0,.146,.167,.268,.435,669203,corbinburnes,Burnes,Right,Corbin Burnes,BAL,2.92,3.34,194.1,103.0,120.0,107.0,0.735,8.38,2.22,7.64,1.02,1.4,0.21,0.425,0.19,0.289,0.399,110.0,98.0,103.0,104.0,95.0,89.0,133.0,105.0,120.0,0.078,0.146,0.11,-0.5,0.7,0.2,89.2,97.0,87.2,0.235,0.412,0.157,0.196,0.268,0.463,0.194,0.339,0.377,,,,,,,,,,0.125,0.5,0.457,109.0,101.0,106.0,125.0,105.0,108.0,0.45,0.215,1.37,0.44,95.3,80.3,0.251,0.362,0.19,0.2,0.326,0.378,,,,,,,,,,,,,,,
2024/06/26,1:10 PM.,MIL,TEX,away,Partly Cloudy.,83,572971,3B,4,1,2,1,0,0,0,0,0,1,5,.150,.171,.275,.446,572971,dallaskeuchel,Keuchel,Left,Dallas Keuchel,MIL,5.4,5.11,16.2,94.0,79.0,92.0,0.814,5.94,4.32,12.42,1.62,1.82,0.186,0.424,0.153,0.254,0.331,90.0,93.0,89.0,71.0,97.0,96.0,116.0,91.0,97.0,0.568,0.01,0.276,-2.99,1.97,2.23,81.1,88.1,78.6,0.422,0.667,0.152,,,,0.059,0.059,0.353,,,,,,,,,,,,,,,,89.0,88.0,86.0,0.146,,-4.71,,84.6,,0.375,0.875,0.083,,,,,,,,,,,,,,,,,,
2024/06/18,7:08 PM.,NYM,TEX,home,Roof Closed.,74,622663,PR,0,0,0,0,0,0,0,0,0,0,0,.111,.135,.222,.357,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,87.0,95.0,95.0,90.0,98.0,94.0,143.0,100.0,111.0,0.248,0.242,0.075,1.24,0.26,-3.63,86.1,95.6,85.6,0.278,0.414,0.122,0.263,0.342,0.284,0.358,0.66,0.186,101.0,104.0,102.0,0.355,0.15,96.2,0.243,0.392,0.218,0.139,0.238,0.386,,,,92.0,91.0,89.0,0.081,,1.05,,92.6,,0.2,0.3,0.26,,,,,,,,,,,,,,,,,,
2024/06/17,7:08 PM.,NYM,TEX,home,Roof Closed.,74,656849,3B,2,0,1,1,0,0,0,0,0,0,0,.111,.135,.222,.357,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.9,4.59,121.0,98.0,94.0,96.0,0.77,7.51,3.42,8.18,0.6,1.72,0.247,0.362,0.138,0.306,0.412,97.0,90.0,93.0,102.0,98.0,95.0,115.0,99.0,104.0,0.31,0.184,0.164,1.83,-1.81,0.03,84.7,91.9,85.1,0.253,0.36,0.16,0.287,0.447,0.339,0.211,0.324,0.271,70.0,103.0,94.0,0.265,0.39,93.1,0.22,0.266,0.287,,,,83.0,102.0,100.0,,,,,0.076,,0.11,,79.1,,,,0.207,0.345,0.259,,,,,,,,,,,,,,,
2024/06/14,7:10 PM.,SEA,TEX,away,Roof Closed.,58,622491,3B,3,0,0,0,0,0,0,0,0,2,0,.088,.114,.176,.290,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,100.0,102.0,98.0,72.0,106.0,108.0,0.179,0.224,0.143,-0.41,0.65,-1.63,88.1,95.6,85.7,0.298,0.457,0.105,0.207,0.357,0.358,0.287,0.545,0.265,120.0,105.0,103.0,0.454,0.97,95.6,0.203,0.365,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/11,7:10 PM.,LAD,TEX,away,Partly Cloudy.,69,572020,3B,2,0,1,0,0,0,0,0,1,0,1,.097,.125,.194,.319,572020,jamespaxton,Paxton,Left,James Paxton,- - -,4.4,4.74,100.1,98.0,74.0,91.0,0.812,6.55,4.49,8.52,1.08,0.88,0.272,0.329,0.144,0.355,0.424,72.0,95.0,95.0,64.0,107.0,97.0,,,,0.05,,0.066,-1.01,,-2.12,82.6,92.8,,0.308,0.423,0.091,,,,0.25,0.375,0.326,69.0,98.0,86.0,0.551,-0.21,93.2,0.264,0.431,0.144,,,,,,,82.0,95.0,83.0,0.031,,-3.38,,84.0,,0.308,0.769,0.13,0.2,0.3,0.362,82.0,98.0,97.0,0.303,0.57,80.8,,,,,,,,,
2024/06/08,3:07 PM.,SF,TEX,home,Roof Closed.,74,675921,PR,0,0,0,0,0,0,0,0,0,0,0,.069,.069,.172,.241,675921,spencerhoward,Howard,Right,Spencer Howard,- - -,6.21,5.35,29.0,103.0,86.0,96.0,0.79,8.38,4.34,13.66,1.55,0.89,0.32,0.379,0.136,0.398,0.477,104.0,92.0,87.0,,,,101.0,104.0,101.0,,0.251,0.169,,-2.27,-4.38,80.1,,85.3,,,,0.394,0.606,0.333,0.286,0.714,0.3,74.0,107.0,97.0,0.51,-1.3,93.8,0.353,0.5,0.188,,,,77.0,105.0,97.0,,,,,0.069,,-1.96,,75.7,,,,0.167,0.167,0.091,,,,,,,,,,,,,,,
