date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSL/C,wCU/C,vFA,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,FO%,wFO/C,vFO
2024/09/19,7:16 PM.,NYM,PHI,away,Cloudy.,78,622663,PH,1,0,0,0,0,0,0,0,0,1,0,.223,.252,.447,.699,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,,,,101.0,104.0,102.0,143.0,100.0,111.0,,,,0.355,,0.242,,0.15,,0.26,,96.2,,85.6,,0.243,0.392,0.218,0.263,0.342,0.284,,,,,,,90.0,98.0,94.0,0.248,1.24,95.6,0.278,0.414,0.122,87.0,95.0,95.0,92.0,91.0,89.0,0.081,0.075,1.05,-3.63,92.6,86.1,,,,0.358,0.66,0.186,0.2,0.3,0.26,0.139,0.238,0.386,,,
2024/09/16,6:41 PM.,MIL,PHI,away,Partly Cloudy.,7,650644,LF,2,0,0,0,0,0,0,0,0,0,3,.225,.255,.451,.706,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,104.0,104.0,109.0,68.0,102.0,96.0,152.0,101.0,112.0,57.0,96.0,102.0,0.099,0.02,0.163,0.156,-1.7,-4.86,-1.03,-1.36,92.0,85.6,80.5,77.1,0.294,0.49,0.095,0.25,0.375,0.438,0.375,0.625,0.261,0.25,0.479,0.275,71.0,93.0,83.0,0.24,0.06,92.6,0.241,0.421,0.158,,,,91.0,100.0,101.0,0.322,,1.08,,88.1,,,,,,,,0.232,0.394,0.233,0.267,0.467,0.272,,,
2024/09/14,4:05 PM.,NYM,PHI,home,Partly Cloudy.,86,622663,3B,2,0,0,0,0,0,0,0,0,1,0,.230,.260,.460,.720,622663,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.91,3.88,182.0,101.0,107.0,101.0,0.812,7.96,2.97,8.21,1.14,1.28,0.273,0.372,0.203,0.288,0.434,,,,101.0,104.0,102.0,143.0,100.0,111.0,,,,0.355,,0.242,,0.15,,0.26,,96.2,,85.6,,0.243,0.392,0.218,0.263,0.342,0.284,,,,,,,90.0,98.0,94.0,0.248,1.24,95.6,0.278,0.414,0.122,87.0,95.0,95.0,92.0,91.0,89.0,0.081,0.075,1.05,-3.63,92.6,86.1,,,,0.358,0.66,0.186,0.2,0.3,0.26,0.139,0.238,0.386,,,
2024/09/11,6:40 PM.,TB,PHI,home,Clear.,79,669358,1B,3,0,0,0,0,0,0,0,0,1,3,.235,.265,.469,.734,669358,shanebaz,Baz,Right,Shane Baz,TBR,3.06,3.62,79.1,100.0,115.0,103.0,0.779,7.83,3.06,6.47,1.02,0.91,0.269,0.402,0.142,0.342,0.456,119.0,104.0,109.0,121.0,101.0,104.0,111.0,96.0,100.0,,,,0.479,,0.213,0.205,0.81,,-0.08,1.71,95.6,,87.3,83.6,0.252,0.37,0.221,0.164,0.4,0.222,,,,0.169,0.247,0.311,,,,,,,,,,85.0,97.0,94.0,,,,,0.103,,2.88,,88.1,,,,0.115,0.115,0.276,,,,,,,,,
2024/09/10,6:42 PM.,TB,PHI,home,Clear.,80,671737,3B,4,1,1,1,0,0,0,0,0,1,1,.242,.273,.484,.757,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,4.11,4.17,138.0,98.0,116.0,103.0,0.748,10.04,3.07,7.96,1.43,1.06,0.247,0.394,0.102,0.394,0.426,100.0,91.0,93.0,129.0,97.0,102.0,,,,123.0,102.0,114.0,0.417,0.269,,0.089,-0.04,0.47,,-1.5,96.4,90.9,,79.1,0.269,0.5,0.21,,,,0.213,0.32,0.33,0.241,0.483,0.346,,,,,,,,,,,,,91.0,100.0,98.0,0.225,,1.02,,90.9,,,,,,,,0.205,0.357,0.324,,,,,,
2024/09/09,6:42 PM.,TB,PHI,home,Partly Cloudy.,76,642121,3B,4,0,1,0,0,0,1,0,0,1,1,.242,.274,.484,.758,642121,colesulser,Sulser,Right,Cole Sulser,- - -,2.76,3.22,16.1,102.0,105.0,101.0,0.759,8.27,4.96,4.96,0.55,0.85,0.357,0.333,0.119,0.333,0.394,,,,100.0,105.0,100.0,121.0,102.0,111.0,,,,0.49,,0.082,,2.46,,-2.2,,92.2,,81.4,,0.136,0.182,0.171,0.333,0.333,0.25,,,,,,,,,,,,,,,,115.0,95.0,103.0,92.0,105.0,99.0,0.171,0.257,2.62,-1.84,87.4,83.7,,,,0.19,0.429,0.371,0.0,0.0,0.3,,,,,,
2024/09/08,1:40 PM.,MIA,PHI,away,Roof Closed.,72,665795,1B,4,0,0,0,0,0,0,0,0,1,4,.241,.275,.494,.769,665795,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.95,4.78,96.1,97.0,101.0,99.0,0.738,10.0,4.67,7.66,1.4,1.45,0.199,0.465,0.137,0.348,0.393,106.0,101.0,104.0,97.0,91.0,87.0,114.0,102.0,105.0,,,,0.274,,0.085,0.217,-1.63,,1.65,-0.03,96.3,,89.2,84.8,0.304,0.543,0.164,0.129,0.226,0.313,,,,0.206,0.426,0.394,110.0,94.0,95.0,0.091,0.07,96.7,0.231,0.333,0.151,96.0,98.0,103.0,,,,,0.332,,0.15,,93.0,,,,0.206,0.321,0.338,,,,,,,,,
2024/09/07,4:11 PM.,MIA,PHI,away,Roof Closed.,72,670766,3B,4,0,0,0,0,0,0,0,0,1,3,.253,.287,.518,.805,670766,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,6.21,5.64,42.0,98.0,87.0,94.0,0.87,6.0,3.21,11.36,1.93,0.7,0.219,0.466,0.151,0.308,0.462,,,,49.0,94.0,82.0,119.0,102.0,109.0,,,,0.195,,0.38,,-0.09,,-3.09,,89.4,,81.9,,0.243,0.405,0.18,,,,,,,,,,80.0,99.0,91.0,0.315,-1.47,89.0,0.346,0.5,0.089,69.0,87.0,75.0,,,,,0.111,,-1.8,,81.1,,,,0.333,0.381,0.325,,,,0.311,0.689,0.142,,,
2024/09/06,7:10 PM.,MIA,PHI,away,Roof Closed.,72,685116,1B,6,2,3,1,0,0,1,0,0,0,3,.266,.301,.544,.845,685116,austinkitchen,Kitchen,Left,Austin Kitchen,MIA,14.14,4.81,7.0,103.0,99.0,102.0,0.901,5.14,3.86,20.57,1.29,3.67,0.265,0.441,0.059,0.382,0.43,123.0,104.0,106.0,95.0,115.0,103.0,108.0,102.0,108.0,,,,0.14,,0.229,0.108,1.15,,-2.88,3.49,90.7,,79.2,73.5,0.0,0.0,0.111,,,,,,,,,,101.0,103.0,105.0,0.344,-8.18,90.7,0.526,0.842,0.074,78.0,100.0,92.0,,,,,0.178,,-6.5,,83.4,,,,0.5,0.5,0.231,,,,0.429,0.571,0.059,,,
2024/09/05,6:41 PM.,MIA,PHI,away,Roof Closed.,72,670124,3B,3,1,1,1,0,0,2,0,1,1,0,.247,.286,.534,.820,670124,adamoller,Oller,Right,Adam Oller,MIA,5.31,4.59,42.1,95.0,99.0,95.0,0.803,7.65,4.68,9.14,1.49,0.86,0.271,0.357,0.132,0.318,0.404,110.0,97.0,99.0,95.0,92.0,92.0,120.0,121.0,121.0,,,,0.514,,0.008,0.407,-2.09,,10.03,1.72,93.7,,86.2,84.0,0.314,0.616,0.154,,,,,,,0.208,0.292,0.176,,,,,,,,,,50.0,89.0,83.0,,,,,0.07,,-3.63,,86.9,0.136,0.159,0.329,0.556,0.556,0.318,,,,,,,,,
2024/09/04,3:08 PM.,TOR,PHI,away,Sunny.,74,670102,1B,4,1,1,0,0,1,2,0,0,0,2,.243,.274,.529,.803,670102,bowdenfrancis,Francis,Right,Bowden Francis,TOR,3.3,3.39,103.2,102.0,97.0,104.0,0.8,7.99,1.91,6.42,1.48,0.74,0.247,0.498,0.171,0.341,0.465,99.0,94.0,100.0,94.0,106.0,107.0,96.0,92.0,92.0,109.0,105.0,110.0,0.513,0.184,0.092,0.182,2.21,1.44,-1.47,-1.71,92.9,83.8,81.7,73.5,0.174,0.371,0.185,0.25,0.583,0.436,0.169,0.169,0.225,0.308,0.558,0.243,79.0,96.0,85.0,0.029,1.45,90.3,0.182,0.455,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/03,7:07 PM.,TOR,PHI,away,Clear.,69,605135,LF,2,1,1,1,0,0,1,0,0,0,2,.242,.275,.500,.775,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,4.16,4.52,171.0,98.0,94.0,96.0,0.805,8.84,3.68,9.47,0.95,1.14,0.27,0.365,0.177,0.331,0.437,101.0,91.0,102.0,64.0,103.0,94.0,120.0,96.0,106.0,87.0,90.0,86.0,0.045,0.043,0.118,0.137,-1.6,-2.64,-0.88,-0.09,92.6,84.1,77.2,71.0,0.242,0.394,0.25,0.375,0.781,0.096,0.303,0.364,0.167,0.221,0.351,0.292,96.0,101.0,97.0,0.407,-0.08,92.5,0.327,0.423,0.128,75.0,87.0,84.0,79.0,101.0,91.0,0.197,0.053,0.44,-2.29,89.6,84.5,,,,0.321,0.607,0.158,0.188,0.316,0.268,0.154,0.231,0.458,,,
2024/09/01,7:10 PM.,ATL,PHI,home,Partly Cloudy.,83,680885,3B,2,1,0,0,0,0,0,0,0,1,1,.234,.269,.484,.753,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,101.0,104.0,108.0,110.0,108.0,108.0,110.0,113.0,119.0,84.0,107.0,109.0,0.291,0.128,0.199,0.146,0.27,1.96,0.61,0.29,96.1,84.5,87.3,80.6,0.24,0.448,0.205,0.225,0.333,0.279,0.147,0.235,0.463,0.236,0.436,0.409,93.0,102.0,101.0,0.068,-0.12,95.1,0.231,0.385,0.078,,,,94.0,104.0,100.0,0.168,,0.53,,92.9,,,,,,,,0.27,0.5,0.199,,,,,,
2024/07/07,1:37 PM.,ATL,PHI,away,Partly Cloudy.,88,625643,1B,2,0,0,0,0,0,0,0,1,1,2,.242,.277,.500,.777,625643,reynaldolopez,"López, R",Right,Reynaldo López,ATL,1.99,3.94,135.2,102.0,96.0,101.0,0.75,9.82,2.79,7.16,0.66,1.03,0.279,0.365,0.142,0.305,0.439,84.0,99.0,104.0,91.0,103.0,99.0,113.0,100.0,105.0,,,,0.552,,0.294,0.116,1.19,,1.45,1.61,95.5,,85.0,77.0,0.266,0.369,0.165,0.168,0.257,0.443,,,,0.151,0.264,0.364,,,,,,,,,,75.0,110.0,105.0,,,,,0.038,,-3.58,,86.1,,,,0.263,0.737,0.349,,,,,,,,,
2024/07/06,7:46 PM.,ATL,PHI,away,Cloudy.,75,680885,1B,4,0,1,0,0,0,0,0,0,1,1,.250,.274,.517,.791,680885,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.35,3.44,123.2,107.0,101.0,108.0,0.744,9.24,1.67,7.71,1.02,1.14,0.247,0.413,0.183,0.299,0.462,101.0,104.0,108.0,110.0,108.0,108.0,110.0,113.0,119.0,84.0,107.0,109.0,0.291,0.128,0.199,0.146,0.27,1.96,0.61,0.29,96.1,84.5,87.3,80.6,0.24,0.448,0.205,0.225,0.333,0.279,0.147,0.235,0.463,0.236,0.436,0.409,93.0,102.0,101.0,0.068,-0.12,95.1,0.231,0.385,0.078,,,,94.0,104.0,100.0,0.168,,0.53,,92.9,,,,,,,,0.27,0.5,0.199,,,,,,
2024/07/04,1:20 PM.,CHC,PHI,away,Cloudy.,80,592791,1B,4,0,1,0,0,0,0,0,0,1,1,.250,.276,.536,.812,592791,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.27,4.05,165.1,107.0,85.0,102.0,0.823,6.8,1.8,8.38,1.14,0.99,0.223,0.445,0.136,0.328,0.468,104.0,111.0,113.0,66.0,106.0,96.0,104.0,116.0,120.0,,,,0.296,,0.155,0.147,-0.27,,0.65,-1.04,92.3,,80.4,79.5,0.287,0.497,0.147,,,,,,,0.232,0.424,0.23,74.0,104.0,92.0,0.109,1.47,92.5,0.219,0.297,0.085,78.0,102.0,95.0,92.0,103.0,98.0,0.251,0.043,2.12,-2.45,86.5,86.0,,,,0.273,0.576,0.148,0.252,0.31,0.191,0.183,0.296,0.317,,,
2024/07/02,7:08 PM.,CHC,PHI,away,Partly Cloudy.,83,669713,1B,4,1,1,1,0,0,0,0,0,0,2,.250,.278,.558,.836,669713,haydenwesneski,Wesneski,Right,Hayden Wesneski,CHC,3.86,4.17,67.2,101.0,92.0,99.0,0.76,8.91,2.79,7.45,1.6,1.12,0.28,0.399,0.212,0.264,0.404,,,,51.0,101.0,86.0,134.0,101.0,112.0,,,,0.365,,0.406,,-0.68,,0.59,,94.6,,82.4,,0.254,0.465,0.143,,,,,,,,,,91.0,100.0,96.0,0.112,-0.56,93.5,0.273,0.545,0.121,92.0,102.0,104.0,76.0,98.0,98.0,0.088,0.03,3.38,1.66,88.1,87.2,,,,0.125,0.125,0.25,0.167,0.167,0.213,0.174,0.348,0.433,,,
2024/06/30,1:36 PM.,MIA,PHI,home,Cloudy.,81,630023,1B,3,0,1,0,0,0,0,0,0,0,1,.250,.280,.563,.843,630023,yonnychirinos,"Chirinos, Y",Right,Yonny Chirinos,MIA,6.3,4.71,30.0,97.0,115.0,98.0,0.801,7.5,3.9,12.9,2.1,0.77,0.272,0.379,0.214,0.301,0.443,,,,69.0,97.0,84.0,154.0,97.0,106.0,98.0,99.0,92.0,0.165,0.148,0.39,,-6.18,0.1,0.86,,93.0,85.7,85.2,,0.333,0.833,0.289,0.2,0.286,0.244,0.182,0.318,0.205,,,,100.0,97.0,97.0,0.297,-6.8,92.7,0.522,0.826,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/06/29,4:05 PM.,MIA,PHI,home,Cloudy.,86,682610,1B,3,0,1,1,0,0,0,0,0,0,0,.244,.277,.578,.855,682610,rodderymunoz,"Muñoz, Rod",Right,Roddery Muñoz,MIA,6.53,6.83,82.2,96.0,92.0,93.0,0.788,7.62,4.57,9.69,2.83,0.75,0.233,0.397,0.134,0.397,0.4,,,,96.0,97.0,94.0,103.0,94.0,100.0,,,,0.269,,0.198,,-3.28,,-2.57,,95.4,,85.7,,0.325,0.714,0.175,0.261,0.536,0.328,,,,,,,93.0,94.0,91.0,0.228,-0.99,94.9,0.27,0.554,0.109,57.0,96.0,89.0,89.0,96.0,90.0,0.212,0.093,-0.08,-2.82,89.8,89.3,,,,0.27,0.595,0.306,0.229,0.471,0.313,,,,,,
2024/06/28,6:21 PM.,MIA,PHI,home,Partly Cloudy.,79,667725,1B,3,0,0,0,0,0,0,0,0,2,4,.238,.273,.571,.844,667725,kyletyler,Tyler,Right,Kyle Tyler,MIA,5.4,6.21,31.2,95.0,101.0,95.0,0.76,7.11,5.12,10.52,1.14,1.75,0.235,0.408,0.153,0.327,0.379,97.0,89.0,93.0,81.0,91.0,88.0,117.0,87.0,90.0,,,,0.143,,0.112,0.284,0.03,,0.12,-1.62,90.6,,82.2,77.0,0.238,0.429,0.159,0.231,0.308,0.379,,,,0.323,0.419,0.431,,,,,,,,,,47.0,78.0,66.0,108.0,102.0,100.0,0.448,0.012,-0.34,-4.32,90.3,86.4,,,,,,,0.328,0.448,0.17,,,,,,
2024/05/28,6:46 PM.,SF,PHI,away,Clear.,60,669062,3B,4,0,0,0,0,0,0,0,0,0,2,.256,.293,.615,.908,669062,erikmiller,"Miller, E",Left,Erik Miller,SFG,3.88,3.14,67.1,96.0,110.0,99.0,0.712,11.63,5.08,6.68,0.94,1.46,0.165,0.475,0.177,0.348,0.386,,,,95.0,94.0,91.0,137.0,101.0,110.0,,,,0.497,,0.164,0.001,0.99,,-1.06,3.94,96.9,,83.3,81.1,0.184,0.311,0.291,0.244,0.415,0.375,,,,,,,,,,,,,,,,118.0,97.0,105.0,,,,,0.338,,0.1,,85.5,,,,0.21,0.35,0.302,,,,,,,,,
2024/05/27,2:06 PM.,SF,PHI,away,Sunny.,63,605483,PH,1,0,0,0,0,0,0,0,0,0,1,.286,.324,.686,1.010,605483,blakesnell,Snell,Left,Blake Snell,SFG,3.12,2.57,104.0,98.0,122.0,104.0,0.641,12.55,3.81,5.63,0.52,1.03,0.263,0.404,0.171,0.254,0.356,148.0,99.0,109.0,116.0,96.0,100.0,106.0,87.0,91.0,,,,0.464,,0.101,0.26,1.16,,0.11,2.25,95.9,,88.7,81.1,0.2,0.303,0.244,0.167,0.267,0.446,,,,0.111,0.183,0.498,,,,,,,,,,110.0,108.0,116.0,,,,,0.176,,0.95,,85.5,,,,0.236,0.319,0.476,,,,,,,,,
2024/05/26,1:10 PM.,COL,PHI,away,Partly Cloudy.,66,615698,LF,1,0,0,0,0,0,0,0,0,0,0,.294,.333,.706,1.039,615698,calquantrill,Quantrill,Right,Cal Quantrill,COL,4.98,5.31,148.1,96.0,90.0,94.0,0.81,6.67,4.19,9.47,1.4,1.33,0.219,0.425,0.133,0.367,0.407,98.0,101.0,104.0,,,,,,,109.0,94.0,97.0,,0.32,,0.126,,0.4,,-0.77,,86.5,,79.6,,,,,,,0.206,0.314,0.234,0.25,0.531,0.282,79.0,95.0,89.0,0.402,-2.0,93.8,0.35,0.596,0.184,88.0,97.0,103.0,76.0,96.0,93.0,0.135,0.018,-0.41,1.81,87.8,84.9,,,,0.222,0.222,0.167,0.296,0.507,0.203,,,,,,
