date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,KC%,KN%,wFC/C,wFS/C,wKC/C,wKN/C,vFC,vFS,vKC,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff
2024/09/15,1:40 PM.,STL,TOR,home,Sunny.,74,571945,2B,3,0,1,0,0,0,0,0,0,1,0,.233,.339,.380,.719,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,94.0,109.0,106.0,65.0,107.0,98.0,80.0,111.0,99.0,116.0,112.0,114.0,0.231,0.279,0.283,0.116,0.085,0.23,1.42,-1.19,-1.97,-4.2,93.2,85.6,92.4,85.7,76.6,0.237,0.382,0.108,0.267,0.52,0.231,0.394,0.742,0.159,0.301,0.506,0.164,0.287,0.446,0.178,,,,,,,,,,,,,0.005,,,,4.24,,,,69.6,,,,0.273,0.545,0.275,,,,,,
2024/09/13,7:10 PM.,STL,TOR,home,Partly Cloudy.,67,607200,SS,1,0,1,0,0,0,0,0,0,0,0,.231,.339,.381,.720,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,86.0,108.0,106.0,,,,17.0,112.0,76.0,76.0,105.0,93.0,126.0,101.0,106.0,0.308,0.003,0.202,,0.164,-6.18,0.59,1.28,,-0.54,92.9,87.7,93.0,83.5,,0.25,0.358,0.202,,,,0.228,0.351,0.165,,,,0.5,0.5,0.0,,,,,78.0,104.0,97.0,,,,0.323,,,,0.43,,,,89.9,,,,,,0.165,0.309,0.251,0.262,0.47,0.232,,,
2024/09/10,7:09 PM.,NYM,TOR,home,Partly Cloudy.,71,656849,SS,2,0,1,0,0,0,1,0,1,1,1,.226,.335,.377,.712,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.9,4.59,121.0,98.0,94.0,96.0,0.77,7.51,3.42,8.18,0.6,1.72,0.247,0.362,0.138,0.306,0.412,97.0,90.0,93.0,83.0,102.0,100.0,70.0,103.0,94.0,102.0,98.0,95.0,115.0,99.0,104.0,0.31,0.265,0.184,0.076,0.164,0.39,1.83,-1.81,0.11,0.03,93.1,84.7,91.9,85.1,79.1,0.253,0.36,0.16,0.207,0.345,0.259,0.211,0.324,0.271,0.287,0.447,0.339,0.22,0.266,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/09,7:07 PM.,NYM,TOR,home,Roof Closed.,68,656731,SS,3,0,0,0,0,0,1,0,0,1,1,.222,.325,.375,.700,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.04,4.2,78.0,97.0,108.0,100.0,0.734,10.5,3.69,8.08,0.92,1.04,0.263,0.368,0.191,0.33,0.421,130.0,94.0,112.0,91.0,77.0,82.0,112.0,99.0,101.0,108.0,104.0,110.0,103.0,103.0,106.0,0.098,0.467,0.132,0.078,0.015,0.29,3.24,-0.85,-0.37,-4.39,95.7,87.2,94.6,85.1,78.0,0.206,0.206,0.184,0.188,0.313,0.333,0.5,0.5,0.111,0.233,0.302,0.291,0.228,0.35,0.292,,,,,101.0,96.0,93.0,105.0,93.0,107.0,0.136,0.073,,,-1.19,-1.25,,,90.1,84.7,,0.143,0.393,0.429,0.25,1.0,0.167,0.326,0.565,0.27,,,
2024/09/08,1:37 PM.,ATL,TOR,away,Partly Cloudy.,76,519242,2B,2,0,0,0,0,0,0,0,0,1,1,.227,.327,.383,.710,519242,chrissale,Sale,Left,Chris Sale,ATL,2.38,2.8,177.2,103.0,96.0,102.0,0.711,11.4,1.98,7.14,0.46,1.34,0.247,0.435,0.167,0.249,0.435,64.0,107.0,98.0,,,,96.0,105.0,101.0,113.0,100.0,96.0,105.0,100.0,104.0,0.072,0.378,0.403,,0.147,-0.12,-1.99,2.16,,2.97,94.8,87.1,94.2,78.6,,0.327,0.551,0.133,,,,0.159,0.195,0.236,0.171,0.236,0.427,0.281,0.443,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/06,7:20 PM.,ATL,TOR,away,Overcast.,72,608331,SS,2,0,0,0,0,0,0,0,0,1,3,.230,.327,.388,.715,608331,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,0.158,0.327,0.115,0.21,0.136,0.63,1.47,0.5,1.39,1.7,93.9,85.7,93.6,82.1,74.6,0.265,0.299,0.137,0.154,0.285,0.371,0.196,0.283,0.251,0.22,0.293,0.297,0.266,0.36,0.182,,,,,93.0,96.0,94.0,,,,0.054,,,,-1.33,,,,88.5,,,,,,0.167,0.2,0.358,0.286,0.476,0.286,,,
2024/09/04,3:08 PM.,PHI,TOR,home,Sunny.,74,650911,2B,3,0,0,0,0,0,0,0,0,2,1,.234,.327,.394,.721,650911,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,3.32,3.56,181.2,103.0,97.0,106.0,0.78,7.58,2.18,9.02,0.54,2.67,0.214,0.418,0.178,0.285,0.426,97.0,105.0,116.0,,,,,,,95.0,101.0,98.0,102.0,102.0,103.0,0.473,,0.169,,0.357,,-0.55,0.65,,1.56,,85.1,94.5,84.4,,0.345,0.481,0.131,,,,0.177,0.22,0.348,0.219,0.368,0.308,,,,,,,,86.0,52.0,74.0,,,,0.001,,,,2.59,,,,86.5,,,,,,,,,,,,,,
2024/09/03,7:07 PM.,PHI,TOR,home,Clear.,69,663969,SS,1,1,1,0,0,1,1,0,1,0,0,.239,.333,.403,.736,663969,tylerphillips,Phillips,Right,Tyler Phillips,PHI,6.87,5.97,36.2,100.0,94.0,99.0,0.799,6.87,1.72,11.05,2.21,1.13,0.122,0.496,0.171,0.358,0.419,82.0,110.0,104.0,107.0,112.0,116.0,68.0,92.0,90.0,80.0,101.0,91.0,121.0,95.0,102.0,0.311,0.187,0.292,0.144,0.066,3.13,-1.15,-2.49,-0.37,-9.69,92.7,85.7,93.7,82.5,81.0,0.35,0.7,0.118,0.174,0.304,0.222,0.6,1.1,0.182,,,,0.219,0.313,0.214,,,,,,,,,,,,,,,,,,,,,,,,,0.311,0.511,0.329,,,,,,
2024/09/01,1:11 PM.,MIN,TOR,away,Sunny.,69,641927,2B,2,0,0,0,0,0,1,0,1,1,2,.233,.325,.376,.701,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,94.0,99.0,103.0,81.0,104.0,96.0,,,,74.0,100.0,101.0,,0.381,0.118,0.011,0.294,-0.01,,2.03,4.57,1.98,91.7,83.4,,80.3,76.0,,,,0.0,0.0,0.375,0.154,0.285,0.395,0.095,0.162,0.307,0.258,0.506,0.222,,,,,84.0,104.0,100.0,,,,0.195,,,,-0.86,,,,86.2,,,,,,,,,0.279,0.504,0.229,,,
2024/08/31,6:11 PM.,MIN,TOR,away,Clear.,82,805673,SS,4,1,2,0,0,0,3,0,1,1,2,.237,.320,.382,.702,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,88.0,87.0,93.0,107.0,117.0,117.0,95.0,99.0,97.0,,,,114.0,100.0,105.0,,0.428,0.259,0.071,0.079,-1.19,,-1.68,-5.76,-3.13,94.9,85.8,,87.2,81.7,,,,0.4,0.667,0.174,0.222,0.333,0.313,0.308,0.462,0.376,0.288,0.627,0.178,,,,,96.0,101.0,95.0,,,,0.162,,,,-1.3,,,,90.9,,,,,,,,,0.345,0.655,0.182,,,
2024/08/30,7:11 PM.,MIN,TOR,away,Clear.,75,641154,SS,3,0,2,0,0,0,0,0,0,0,0,.228,.310,.378,.688,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,92.0,103.0,108.0,97.0,105.0,101.0,97.0,107.0,107.0,106.0,103.0,110.0,0.073,0.407,0.219,0.1,0.201,1.65,-2.77,-0.84,-1.28,-0.14,95.0,88.5,94.5,84.5,82.4,0.426,0.639,0.142,0.23,0.446,0.341,0.281,0.359,0.249,,,,0.208,0.352,0.259,,,,,,,,,,,,,,,,,,,,,,,,,0.239,0.436,0.331,,,,,,
2024/08/29,7:11 PM.,BOS,TOR,away,Clear.,66,676710,2B,4,0,0,0,0,0,0,0,0,1,2,.218,.303,.371,.674,676710,kuttercrawford,"Crawford, K",Right,Kutter Crawford,BOS,4.36,3.86,183.2,105.0,108.0,107.0,0.766,8.58,2.5,7.6,1.67,0.67,0.244,0.424,0.164,0.288,0.446,,,,,,,109.0,109.0,112.0,,,,100.0,99.0,102.0,,0.337,0.185,,,-0.43,,-0.56,,,92.6,,,80.8,,,,,0.143,0.171,0.219,,,,,,,0.255,0.5,0.198,,98.0,97.0,99.0,114.0,104.0,104.0,87.0,102.0,106.0,0.32,0.086,0.072,,0.55,0.47,1.14,,87.5,82.4,77.3,0.192,0.26,0.404,0.222,0.437,0.263,0.216,0.418,0.265,,,
2024/08/26,7:09 PM.,BOS,TOR,away,Cloudy.,75,677161,2B,3,1,1,1,0,0,0,0,1,0,1,.225,.312,.383,.695,677161,zackkelly,"Kelly, Z",Right,Zack Kelly,BOS,3.97,4.25,56.2,100.0,110.0,104.0,0.743,9.69,4.29,6.99,1.59,1.37,0.212,0.417,0.159,0.265,0.422,122.0,103.0,109.0,,,,107.0,96.0,93.0,,,,131.0,102.0,115.0,,0.301,0.272,,0.209,-1.3,,2.07,,-0.3,96.5,83.6,,82.2,,,,,,,,0.163,0.465,0.326,,,,0.25,0.344,0.23,,,,,78.0,101.0,102.0,,,,0.218,,,,-0.23,,,,91.1,,,,,,0.138,0.224,0.344,0.277,0.574,0.219,,,
2024/08/25,1:40 PM.,LAA,TOR,home,Partly Cloudy.,73,542881,SS,3,1,1,0,0,0,0,0,0,1,1,.222,.301,.376,.677,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,,,,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,0.033,0.396,0.013,0.001,0.371,-0.73,-3.87,-0.06,-3.14,1.32,89.4,78.9,88.1,81.3,71.6,0.261,0.696,0.152,,,,0.185,0.259,0.396,0.0,0.0,0.357,0.272,0.494,0.183,,,,,99.0,100.0,96.0,,,,0.185,,,,-0.41,,,,84.3,,,,,,,,,0.264,0.455,0.247,,,
2024/08/24,3:08 PM.,LAA,TOR,home,Sunny.,76,608334,SS,4,0,1,0,0,0,0,0,0,1,1,.219,.295,.377,.672,608334,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.74,86.2,101.0,94.0,98.0,0.772,8.41,4.15,8.41,1.14,1.04,0.214,0.429,0.115,0.361,0.393,90.0,104.0,102.0,109.0,102.0,103.0,85.0,105.0,103.0,88.0,100.0,94.0,114.0,96.0,98.0,0.237,0.234,0.204,0.056,0.27,0.19,0.39,1.22,-7.73,-0.64,93.1,87.8,92.6,87.0,82.4,0.299,0.39,0.118,0.471,1.118,0.393,0.228,0.347,0.367,0.157,0.294,0.284,0.224,0.447,0.195,,,,,,,,,,,,,,,,,,,,,,,,,0.286,0.714,0.458,,,,,,
2024/08/22,7:07 PM.,LAA,TOR,home,Partly Cloudy.,75,656271,SS,3,0,0,0,0,0,0,0,0,1,2,.218,.296,.382,.678,656271,brockburke,Burke,Left,Brock Burke,- - -,5.82,3.49,34.0,101.0,96.0,101.0,0.732,10.85,4.24,9.79,1.06,1.41,0.253,0.337,0.168,0.316,0.47,99.0,105.0,108.0,,,,97.0,103.0,100.0,99.0,91.0,91.0,91.0,96.0,100.0,0.047,0.525,0.259,,0.169,-1.89,0.18,0.16,,1.21,95.7,88.9,93.9,87.0,,0.375,0.5,0.267,,,,0.25,0.281,0.414,0.25,0.321,0.379,0.284,0.612,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/21,7:08 PM.,CIN,TOR,home,Partly Cloudy.,70,607259,2B,4,0,1,1,0,0,1,0,1,2,2,.224,.303,.393,.696,607259,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.1,3.19,142.1,109.0,99.0,107.0,0.786,7.33,1.14,8.09,0.82,0.89,0.265,0.393,0.198,0.23,0.441,118.0,113.0,116.0,107.0,102.0,105.0,91.0,110.0,109.0,80.0,106.0,97.0,105.0,110.0,110.0,0.176,0.224,0.061,0.119,0.216,0.73,0.88,-0.55,-1.69,1.79,92.6,80.1,92.0,84.9,80.8,0.24,0.375,0.09,0.342,0.605,0.247,0.186,0.286,0.416,0.233,0.4,0.364,0.219,0.351,0.212,,,,,96.0,108.0,104.0,,,,0.203,,,,1.32,,,,89.1,,,,,,,,,0.281,0.43,0.12,,,
2024/08/20,7:08 PM.,CIN,TOR,home,Roof Closed.,68,686730,SS,4,1,2,0,0,1,2,0,0,1,1,.223,.299,.388,.687,686730,carsonspiers,Spiers,Right,Carson Spiers,CIN,5.46,4.84,90.2,103.0,89.0,100.0,0.805,7.94,2.68,11.12,1.99,0.79,0.265,0.413,0.195,0.339,0.452,69.0,102.0,90.0,,,,76.0,101.0,95.0,80.0,107.0,99.0,121.0,106.0,113.0,0.175,0.299,0.245,,0.121,-1.66,0.68,-1.23,,-5.43,92.4,86.7,92.1,81.5,,0.3,0.5,0.122,,,,0.396,0.774,0.198,0.0,0.0,0.4,0.256,0.462,0.205,,,,,82.0,103.0,98.0,,,,0.16,,,,-0.84,,,,87.8,,,,,,0.291,0.544,0.319,0.321,0.547,0.195,,,
2024/08/17,1:20 PM.,CHC,TOR,away,Cloudy.,78,657006,SS,0,0,0,0,0,0,0,0,0,0,0,.221,.303,.368,.671,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.07,2.74,134.2,103.0,99.0,102.0,0.792,9.02,2.47,7.42,0.8,1.2,0.288,0.38,0.174,0.264,0.513,70.0,92.0,94.0,92.0,120.0,108.0,89.0,102.0,100.0,64.0,104.0,95.0,130.0,105.0,109.0,0.053,0.595,0.297,0.022,0.033,0.38,0.43,1.81,2.76,0.32,91.6,86.2,91.6,83.3,79.9,0.292,0.458,0.182,0.0,0.0,0.2,0.222,0.222,0.172,0.16,0.243,0.282,0.253,0.396,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/16,1:20 PM.,CHC,TOR,away,Partly Cloudy.,81,543294,SS,4,1,1,0,0,1,1,0,0,2,2,.221,.303,.368,.671,543294,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,5.92,4.81,130.2,105.0,95.0,100.0,0.828,5.99,2.96,10.13,1.45,1.31,0.233,0.412,0.194,0.288,0.402,108.0,106.0,106.0,87.0,109.0,108.0,59.0,94.0,86.0,97.0,106.0,96.0,,,,0.355,0.127,,0.131,0.387,-1.51,-0.77,,0.52,-0.72,87.7,80.9,87.6,,74.3,0.333,0.493,0.106,0.22,0.3,0.244,0.267,0.409,0.239,,,,0.237,0.553,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/08/14,6:38 PM.,LAA,TOR,away,Clear.,82,542881,2B,2,1,0,0,0,0,1,0,1,2,1,.220,.305,.341,.646,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.81,4.37,179.1,99.0,96.0,99.0,0.741,7.13,3.66,7.93,1.2,0.88,0.193,0.51,0.157,0.267,0.396,105.0,100.0,105.0,,,,89.0,99.0,96.0,66.0,95.0,83.0,80.0,141.0,142.0,0.033,0.396,0.013,0.001,0.371,-0.73,-3.87,-0.06,-3.14,1.32,89.4,78.9,88.1,81.3,71.6,0.261,0.696,0.152,,,,0.185,0.259,0.396,0.0,0.0,0.357,0.272,0.494,0.183,,,,,99.0,100.0,96.0,,,,0.185,,,,-0.41,,,,84.3,,,,,,,,,0.264,0.455,0.247,,,
2024/08/13,6:39 PM.,LAA,TOR,away,Clear.,81,608334,SS,4,1,1,1,0,0,0,0,0,1,2,.225,.307,.348,.655,608334,carsonfulmer,"Fulmer, C",Right,Carson Fulmer,LAA,4.15,4.74,86.2,101.0,94.0,98.0,0.772,8.41,4.15,8.41,1.14,1.04,0.214,0.429,0.115,0.361,0.393,90.0,104.0,102.0,109.0,102.0,103.0,85.0,105.0,103.0,88.0,100.0,94.0,114.0,96.0,98.0,0.237,0.234,0.204,0.056,0.27,0.19,0.39,1.22,-7.73,-0.64,93.1,87.8,92.6,87.0,82.4,0.299,0.39,0.118,0.471,1.118,0.393,0.228,0.347,0.367,0.157,0.294,0.284,0.224,0.447,0.195,,,,,,,,,,,,,,,,,,,,,,,,,0.286,0.714,0.458,,,,,,
2024/08/12,6:38 PM.,LAA,TOR,away,Clear.,82,669721,SS,4,1,1,0,0,1,2,0,0,2,3,.224,.309,.341,.650,669721,davisdaniel,Daniel,Right,Davis Daniel,LAA,6.23,4.34,30.1,105.0,81.0,101.0,0.808,8.31,1.78,11.57,1.48,0.84,0.293,0.424,0.162,0.313,0.435,74.0,112.0,104.0,94.0,89.0,85.0,61.0,107.0,98.0,,,,125.0,101.0,108.0,,0.48,0.238,0.077,0.205,-1.06,,-0.4,2.13,-2.86,91.5,84.6,,81.8,74.3,,,,0.125,0.25,0.333,0.4,0.533,0.226,0.226,0.419,0.239,0.328,0.586,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
