date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,SL%,CH%,wSI/C,wSL/C,wCH/C,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,KC%,KN%,wFC/C,wFS/C,wKC/C,wKN/C,vFC,vFS,vKC,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,FC_ba,FC_slg,FC_whiff,SV_ba,SV_slg,SV_whiff,KC_ba,KC_slg,KC_whiff
2024/09/27,7:11 PM.,HOU,CLE,home,Cloudy.,72,669854,PH,1,0,1,1,0,0,1,0,0,0,0,.263,.356,.448,.804,669854,ronelblanco,Blanco,Right,Ronel Blanco,HOU,2.8,4.0,167.1,100.0,94.0,98.0,0.733,8.93,3.66,6.13,1.18,0.95,0.21,0.453,0.178,0.317,0.405,119.0,104.0,108.0,,,,89.0,103.0,101.0,,0.302,0.221,,2.24,-0.16,85.2,,86.4,,,,0.18,0.284,0.333,0.188,0.356,0.343,85.0,95.0,90.0,0.383,-0.42,93.4,0.232,0.497,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,0.071,0.376,75.0,96.0,100.0,0.094,2.55,80.1,,,,,,,,,
2024/09/21,6:15 PM.,STL,CLE,away,Overcast.,85,571945,DH,2,1,1,0,0,0,0,0,0,1,0,.260,.355,.443,.798,571945,milesmikolas,Mikolas,Right,Miles Mikolas,STL,5.35,4.65,171.2,109.0,87.0,103.0,0.859,6.4,1.31,10.17,1.36,1.15,0.243,0.406,0.152,0.33,0.495,85.0,103.0,98.0,80.0,111.0,99.0,116.0,112.0,114.0,0.231,0.283,0.085,1.42,-1.19,-4.2,85.6,92.4,85.7,0.237,0.382,0.108,0.301,0.506,0.164,0.394,0.742,0.159,65.0,107.0,98.0,0.279,0.23,93.2,0.287,0.446,0.178,0.273,0.545,0.275,,,,,,,,,,,,,0.005,,,,4.24,,,,69.6,,,,0.267,0.52,0.231,94.0,109.0,106.0,0.116,-1.97,76.6,,,,,,,,,
2024/09/20,7:16 PM.,STL,CLE,away,Partly Cloudy.,93,502043,DH,2,0,0,0,0,0,0,0,0,0,1,.259,.354,.443,.797,502043,kylegibson,Gibson,Right,Kyle Gibson,STL,4.24,4.87,169.2,98.0,93.0,95.0,0.756,8.01,3.61,8.54,1.22,1.29,0.218,0.431,0.166,0.351,0.359,99.0,92.0,89.0,84.0,101.0,96.0,104.0,102.0,105.0,0.264,0.207,0.099,0.22,0.92,1.2,84.9,90.7,80.7,0.267,0.422,0.092,,,,0.19,0.254,0.39,80.0,88.0,83.0,0.132,-1.39,91.4,0.268,0.563,0.065,0.2,0.312,0.412,,,,,96.0,95.0,91.0,,,,0.211,,,,0.21,,,,88.6,,,,,,0.325,0.675,0.462,102.0,103.0,104.0,0.086,-2.21,78.3,0.299,0.479,0.181,,,,,,
2024/09/19,1:10 PM.,MIN,CLE,home,Sunny.,76,680573,PH,1,0,1,0,0,0,0,0,0,0,0,.261,.356,.445,.801,680573,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,4.17,4.05,133.2,104.0,87.0,100.0,0.807,7.88,3.23,8.42,1.08,0.8,0.289,0.421,0.155,0.282,0.436,103.0,106.0,113.0,,,,92.0,108.0,106.0,,0.312,0.193,,0.76,-3.33,82.8,,86.4,,,,0.214,0.313,0.239,0.311,0.622,0.205,71.0,100.0,88.0,0.403,0.82,93.1,0.258,0.356,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186,0.326,0.221,106.0,103.0,102.0,0.093,1.68,76.1,,,,,,,,,
2024/09/18,6:41 PM.,MIN,CLE,home,Partly Cloudy.,75,641927,DH,3,0,0,0,0,0,0,0,0,2,1,.258,.354,.444,.798,641927,baileyober,Ober,Right,Bailey Ober,MIN,3.98,3.22,178.2,105.0,91.0,102.0,0.728,9.62,2.17,6.85,1.36,0.67,0.22,0.439,0.183,0.303,0.416,116.0,111.0,111.0,,,,74.0,100.0,101.0,,0.118,0.294,,2.03,1.98,83.4,,80.3,,,,0.095,0.162,0.307,0.154,0.285,0.395,81.0,104.0,96.0,0.381,-0.01,91.7,0.258,0.506,0.222,,,,,,,,84.0,104.0,100.0,,,,0.195,,,,-0.86,,,,86.2,,,,,,0.0,0.0,0.375,94.0,99.0,103.0,0.011,4.57,76.0,0.279,0.504,0.229,,,,,,
2024/09/17,6:41 PM.,MIN,CLE,home,Partly Cloudy.,76,805673,PH,1,0,0,0,0,0,0,0,0,1,2,.261,.357,.448,.805,805673,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,6.69,6.01,37.2,100.0,100.0,100.0,0.772,10.27,2.63,12.19,2.63,0.87,0.256,0.455,0.165,0.38,0.431,88.0,87.0,93.0,,,,114.0,100.0,105.0,,0.259,0.079,,-1.68,-3.13,85.8,,87.2,,,,0.308,0.462,0.376,0.222,0.333,0.313,95.0,99.0,97.0,0.428,-1.19,94.9,0.288,0.627,0.178,,,,,,,,96.0,101.0,95.0,,,,0.162,,,,-1.3,,,,90.9,,,,,,0.4,0.667,0.174,107.0,117.0,117.0,0.071,-5.76,81.7,0.345,0.655,0.182,,,,,,
2024/09/16,6:40 PM.,MIN,CLE,home,Clear.,77,641154,PH,0,0,0,0,0,0,0,0,1,0,0,.262,.358,.449,.807,641154,pablolopez,"López, P",Right,Pablo López,MIN,4.08,3.67,185.1,104.0,98.0,105.0,0.749,9.62,1.99,8.74,1.26,1.19,0.245,0.438,0.134,0.298,0.432,95.0,104.0,105.0,97.0,107.0,107.0,106.0,103.0,110.0,0.073,0.219,0.201,-2.77,-0.84,-0.14,88.5,94.5,84.5,0.426,0.639,0.142,,,,0.281,0.359,0.249,97.0,105.0,101.0,0.407,1.65,95.0,0.208,0.352,0.259,0.239,0.436,0.331,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.446,0.341,92.0,103.0,108.0,0.1,-1.28,82.4,,,,,,,,,
2024/09/14,6:10 PM.,TB,CLE,home,Clear.,80,656876,1B,3,0,1,0,0,0,1,0,0,1,1,.262,.356,.449,.805,656876,drewrasmussen,Rasmussen,Right,Drew Rasmussen,TBR,2.83,1.98,28.2,106.0,128.0,111.0,0.705,10.99,1.88,7.85,0.0,1.74,0.347,0.36,0.173,0.24,0.451,,,,125.0,105.0,107.0,137.0,116.0,128.0,0.292,0.054,,-1.1,5.27,,,96.2,85.4,0.316,0.395,0.167,,,,,,,136.0,110.0,117.0,0.377,2.64,97.4,0.171,0.2,0.308,0.083,0.083,0.412,,,,,117.0,101.0,102.0,,,,0.277,,,,0.79,,,,89.1,,,,,,,,,,,,,,,0.25,0.292,0.406,,,,,,
2024/09/13,7:11 PM.,TB,CLE,home,Clear.,76,641793,PH,1,0,1,1,0,0,1,0,0,0,0,.261,.357,.450,.807,641793,zacklittell,Littell,Right,Zack Littell,TBR,3.63,4.34,156.1,104.0,81.0,99.0,0.785,8.12,1.78,9.44,1.27,0.8,0.218,0.414,0.14,0.293,0.453,,,,67.0,103.0,91.0,102.0,99.0,98.0,0.148,0.399,,-0.6,0.45,,,91.6,85.7,0.265,0.439,0.141,0.257,0.427,0.227,,,,54.0,110.0,91.0,0.221,0.58,92.4,0.245,0.358,0.191,0.406,0.594,0.115,,,,,,,,104.0,106.0,112.0,,0.232,,,,-0.84,,,,83.0,,0.258,0.423,0.344,,,,,,,,,,,,,,,,,,
2024/09/12,7:15 PM.,TB,CLE,home,Clear.,76,686752,DH,2,0,0,0,0,0,0,0,0,1,0,.259,.356,.445,.801,686752,ryanpepiot,Pepiot,Right,Ryan Pepiot,TBR,3.6,3.64,130.0,99.0,116.0,106.0,0.73,9.83,3.32,7.06,1.18,0.77,0.276,0.405,0.17,0.308,0.422,118.0,105.0,117.0,,,,119.0,95.0,106.0,,0.173,0.235,,0.51,-0.47,85.8,,89.0,,,,0.267,0.407,0.317,0.216,0.353,0.286,115.0,98.0,102.0,0.506,1.07,94.9,0.181,0.33,0.316,,,,,,,,100.0,103.0,100.0,,,,0.06,,,,-0.88,,,,91.6,,,,,,0.167,0.167,0.5,140.0,75.0,84.0,0.027,-1.47,80.6,0.276,0.586,0.141,,,,,,
2024/09/09,6:39 PM.,CWS,CLE,away,Clear.,79,694363,DH,4,1,1,0,0,1,1,0,0,1,5,.260,.358,.448,.806,694363,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.3,4.71,73.1,100.0,75.0,93.0,0.779,6.87,4.05,9.08,1.1,0.77,0.284,0.401,0.147,0.263,0.408,71.0,99.0,94.0,68.0,101.0,88.0,85.0,104.0,102.0,0.047,0.284,0.294,-0.83,0.49,-0.49,84.1,91.8,86.0,0.313,0.5,0.086,0.25,0.316,0.288,0.244,0.372,0.312,71.0,97.0,86.0,0.375,-0.54,92.5,0.274,0.487,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/09/07,6:09 PM.,LAD,CLE,away,Partly Cloudy.,92,518489,DH,1,1,0,0,0,0,0,0,0,1,2,.260,.359,.441,.800,518489,ryanbrasier,Brasier,Right,Ryan Brasier,LAD,3.54,3.46,28.0,107.0,95.0,106.0,0.806,8.04,1.61,7.07,0.96,1.06,0.225,0.45,0.125,0.35,0.468,,,,96.0,95.0,90.0,102.0,110.0,111.0,0.163,0.422,,1.24,-2.39,,,94.5,85.3,0.214,0.214,0.2,0.28,0.58,0.253,,,,93.0,111.0,107.0,0.294,4.25,94.5,0.115,0.115,0.265,,,,,,,,78.0,103.0,104.0,,,,0.12,,,,4.05,,,,90.4,,,,,,,,,,,,,,,0.182,0.273,0.037,,,,,,
2024/09/04,6:40 PM.,KC,CLE,away,Clear.,82,607625,DH,4,0,1,0,0,0,0,0,0,1,0,.261,.360,.443,.803,607625,sethlugo,"Lugo, S",Right,Seth Lugo,KCR,3.0,3.75,206.2,101.0,97.0,100.0,0.795,7.88,2.09,7.71,0.7,1.2,0.212,0.386,0.156,0.303,0.43,93.0,100.0,98.0,68.0,101.0,92.0,125.0,97.0,105.0,0.185,0.135,0.069,0.65,-0.67,0.08,87.4,92.1,85.2,0.274,0.381,0.129,0.213,0.387,0.2,0.208,0.333,0.291,75.0,103.0,95.0,0.24,0.7,92.2,0.234,0.392,0.176,0.375,0.75,0.109,,,,,97.0,103.0,103.0,93.0,107.0,106.0,0.082,0.026,,,2.86,0.07,,,90.1,85.7,,0.105,0.421,0.351,0.178,0.271,0.339,126.0,100.0,110.0,0.262,1.44,79.4,0.228,0.228,0.23,0.215,0.28,0.285,,,
2024/09/02,3:11 PM.,KC,CLE,away,Sunny.,78,608379,DH,1,0,0,0,0,0,0,0,0,0,0,.261,.361,.445,.806,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,78.0,103.0,89.0,97.0,89.0,90.0,0.153,0.092,0.322,0.29,-2.39,2.26,81.2,93.6,84.1,0.252,0.301,0.099,0.371,0.6,0.373,0.169,0.312,0.341,83.0,103.0,99.0,0.238,0.39,93.6,0.279,0.449,0.169,,,,,,,,78.0,100.0,92.0,,,,0.114,,,,-0.94,,,,88.8,,,,,,0.357,0.643,0.174,72.0,89.0,92.0,0.081,-1.64,75.2,0.319,0.458,0.148,,,,,,
2024/08/31,6:10 PM.,PIT,CLE,home,Cloudy.,76,682847,1B,0,0,0,0,0,0,0,0,1,0,0,.262,.362,.447,.809,682847,luislortiz,"Ortiz, L.L.",Right,Luis L. Ortiz,PIT,3.32,4.31,135.2,100.0,104.0,99.0,0.816,7.1,2.79,7.23,1.06,0.94,0.246,0.425,0.166,0.286,0.443,66.0,87.0,88.0,105.0,97.0,95.0,121.0,102.0,109.0,0.258,0.268,0.009,1.13,-0.41,0.21,90.6,94.9,85.8,0.237,0.374,0.129,0.203,0.392,0.31,,,,97.0,104.0,97.0,0.268,1.02,95.9,0.187,0.331,0.208,,,,,,,,90.0,100.0,94.0,,,,0.197,,,,0.71,,,,91.0,,,,,,,,,,,,,,,0.273,0.416,0.168,,,,,,
2024/08/30,7:10 PM.,PIT,CLE,home,Partly Cloudy.,84,663559,DH,5,0,2,1,0,0,1,0,0,1,5,.262,.360,.447,.807,663559,baileyfalter,Falter,Left,Bailey Falter,PIT,4.43,4.81,142.1,99.0,90.0,97.0,0.824,6.13,2.85,8.73,1.07,0.86,0.292,0.369,0.144,0.324,0.477,,,,99.0,101.0,99.0,91.0,96.0,96.0,0.142,0.216,,1.23,0.27,,,92.0,86.1,0.26,0.448,0.157,0.245,0.304,0.287,,,,85.0,100.0,97.0,0.484,0.38,91.8,0.255,0.41,0.166,,,,,,,,,,,43.0,95.0,70.0,,0.006,,,,-7.04,,,,86.9,,0.333,1.333,0.125,0.305,0.61,0.207,100.0,99.0,98.0,0.152,-1.24,77.7,,,,,,,,,
2024/08/28,1:11 PM.,KC,CLE,home,Cloudy.,83,608379,DH,5,0,1,1,0,0,0,0,0,2,5,.260,.360,.444,.804,608379,michaelwacha,Wacha,Right,Michael Wacha,KCR,3.35,4.05,166.2,102.0,91.0,99.0,0.784,7.83,2.43,8.32,0.92,0.93,0.258,0.429,0.213,0.282,0.436,111.0,109.0,112.0,78.0,103.0,89.0,97.0,89.0,90.0,0.153,0.092,0.322,0.29,-2.39,2.26,81.2,93.6,84.1,0.252,0.301,0.099,0.371,0.6,0.373,0.169,0.312,0.341,83.0,103.0,99.0,0.238,0.39,93.6,0.279,0.449,0.169,,,,,,,,78.0,100.0,92.0,,,,0.114,,,,-0.94,,,,88.8,,,,,,0.357,0.643,0.174,72.0,89.0,92.0,0.081,-1.64,75.2,0.319,0.458,0.148,,,,,,
2024/08/27,6:41 PM.,KC,CLE,home,Clear.,89,547179,DH,3,1,1,0,0,0,0,0,1,1,0,.261,.362,.445,.807,547179,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.31,4.59,130.1,97.0,93.0,95.0,0.796,6.7,4.14,6.97,1.17,1.03,0.249,0.386,0.188,0.322,0.411,93.0,101.0,99.0,81.0,102.0,94.0,126.0,98.0,108.0,0.212,0.149,0.188,-0.25,-1.51,1.94,84.6,93.6,83.9,0.291,0.441,0.062,0.368,0.632,0.253,0.122,0.173,0.373,84.0,95.0,89.0,0.272,1.0,93.8,0.155,0.309,0.184,0.19,0.429,0.291,,,,,94.0,92.0,91.0,,,,0.1,,,,0.04,,,,90.1,,,,,,0.217,0.348,0.352,102.0,93.0,96.0,0.079,0.02,81.7,0.235,0.51,0.236,,,,,,
2024/08/26,6:40 PM.,KC,CLE,home,Clear.,85,679525,PH,1,0,0,0,0,0,0,0,0,0,2,.260,.360,.446,.806,679525,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.53,4.97,129.0,99.0,100.0,99.0,0.789,8.58,2.72,8.58,1.33,0.92,0.249,0.42,0.182,0.329,0.429,88.0,95.0,94.0,98.0,99.0,97.0,117.0,99.0,107.0,0.138,0.228,0.1,-1.16,-0.57,0.84,86.3,93.6,86.5,0.317,0.524,0.099,0.29,0.462,0.294,0.204,0.296,0.177,93.0,98.0,95.0,0.37,0.34,94.2,0.208,0.383,0.223,0.2,0.433,0.464,,,,,,,,,,,,,,,,,,,,,,,,,0.263,0.5,0.274,103.0,105.0,103.0,0.164,-1.2,82.8,,,,,,,,,
2024/08/26,1:10 PM.,KC,CLE,home,Sunny.,84,666142,1B,4,0,0,0,0,0,0,0,1,1,3,.261,.361,.447,.808,666142,coleragans,Ragans,Left,Cole Ragans,KCR,3.14,3.31,186.1,100.0,108.0,104.0,0.705,10.77,3.24,7.05,0.72,1.01,0.281,0.395,0.176,0.3,0.409,114.0,98.0,103.0,,,,132.0,106.0,114.0,,0.128,0.237,,-0.34,1.43,84.8,,86.0,,,,0.21,0.305,0.337,0.183,0.28,0.478,105.0,101.0,106.0,0.418,0.85,95.4,0.213,0.361,0.231,,,,,101.0,97.0,101.0,88.0,94.0,91.0,,,,0.113,,0.104,,0.26,,0.9,,90.7,,80.8,,,,0.14,0.256,0.352,,,,,,,0.348,0.455,0.228,,,,,,
2024/08/25,1:40 PM.,TEX,CLE,home,Cloudy.,80,674003,DH,3,1,1,0,0,1,1,0,1,1,2,.265,.364,.454,.818,674003,codybradford,Bradford,Left,Cody Bradford,TEX,3.54,3.54,76.1,105.0,94.0,100.0,0.793,8.25,1.53,7.55,1.18,0.82,0.263,0.357,0.138,0.304,0.427,105.0,104.0,109.0,,,,49.0,114.0,107.0,,0.07,0.273,,-0.79,0.86,80.9,,82.7,,,,0.32,0.48,0.182,0.21,0.333,0.338,94.0,105.0,93.0,0.523,1.75,89.8,0.185,0.344,0.213,,,,,,,,70.0,112.0,85.0,,,,0.007,,,,-3.68,,,,86.4,,,,,,0.306,0.556,0.129,96.0,103.0,104.0,0.128,-2.32,74.9,,,,,,,,,
2024/08/24,7:10 PM.,TEX,CLE,home,Partly Cloudy.,77,592351,1B,1,0,0,0,0,0,0,0,0,0,1,.264,.362,.444,.806,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.47,4.65,102.2,103.0,85.0,98.0,0.777,7.54,2.45,9.38,0.96,0.98,0.228,0.412,0.145,0.366,0.457,72.0,100.0,94.0,,,,97.0,105.0,105.0,,0.439,0.071,,0.77,-1.39,88.7,,88.6,,,,0.213,0.344,0.334,0.257,0.543,0.19,73.0,103.0,91.0,0.444,-0.71,94.9,0.311,0.443,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333,0.333,0.267,97.0,97.0,102.0,0.046,-0.7,78.9,,,,,,,,,
