date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,ST_ba,ST_slg,ST_whiff,vKN (sc),Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,KN%,wFS/C,wKC/C,wKN/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2024-09-17,6:37 PM.,BAL,SF,away,Overcast.,75,544150,CF,2,3,2,0,0,0,0,2,2,0,0,0.239,0.28,0.466,0.746,544150,albertsuarez,"Suárez, A",Right,Albert Suárez,BAL,3.7,4.05,133.2,100.0,89.0,97.0,0.786,7.27,2.9,8.75,1.14,0.8,0.241,0.426,0.136,0.304,0.391,99.0,100.0,106.0,94.0,99.0,98.0,90.0,101.0,96.0,,,,74.0,99.0,92.0,0.5,0.195,,0.132,0.172,-0.36,0.73,,0.41,-0.5,94.8,86.3,86.1,,79.0,0.276,0.469,0.228,,,,0.174,0.348,0.252,0.24,0.365,0.308,,,,,,,,,,0.274,0.434,0.228,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,1:35 PM.,SD,SF,home,Partly Cloudy.,61,527048,CF,0,0,0,0,0,0,0,0,0,0,0,0.221,0.247,0.453,0.7,527048,martinperez,"Pérez, M",Left,Martín Pérez,- - -,4.53,5.38,135.0,102.0,73.0,95.0,0.81,7.13,3.27,10.07,1.47,1.24,0.182,0.462,0.145,0.31,0.408,71.0,109.0,99.0,74.0,102.0,98.0,56.0,92.0,86.0,70.0,111.0,119.0,70.0,101.0,93.0,0.053,0.221,0.0,0.141,0.227,-8.23,-0.61,-51.06,0.62,-1.27,91.3,87.9,83.4,82.8,77.9,0.458,0.917,0.043,,,,0.246,0.354,0.29,0.28,0.57,0.212,78.0,101.0,93.0,0.358,0.57,90.7,0.275,0.383,0.097,0.28,0.448,0.341,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-14,6:05 PM.,SD,SF,home,Clear.,59,605397,CF,1,0,1,0,0,0,0,0,0,0,0,0.221,0.247,0.453,0.7,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,168.0,98.0,103.0,95.0,100.0,95.0,145.0,98.0,106.0,110.0,108.0,104.0,0.246,0.204,0.203,0.225,0.078,-0.74,1.35,1.05,-0.1,-3.1,93.0,89.7,87.1,82.2,81.6,0.253,0.494,0.231,,,,0.203,0.319,0.328,0.298,0.405,0.25,69.0,111.0,96.0,0.044,0.44,92.6,0.348,0.435,0.146,0.353,0.618,0.379,0.169,0.351,0.338,,,,,,,,,,,,,,,,,,,,,
2024-09-13,7:15 PM.,SD,SF,home,Clear.,62,656302,CF,3,0,0,0,0,0,0,0,0,2,2,0.212,0.239,0.447,0.686,656302,dylancease,Cease,Right,Dylan Cease,SDP,3.47,3.31,189.1,100.0,121.0,107.0,0.693,10.65,3.09,6.51,0.86,0.94,0.203,0.433,0.147,0.307,0.389,54.0,72.0,68.0,,,,123.0,95.0,102.0,112.0,100.0,105.0,113.0,89.0,90.0,0.435,0.006,0.471,,0.009,0.22,-5.11,1.98,,-4.13,96.9,91.8,69.7,87.2,,0.235,0.39,0.203,0.159,0.257,0.447,0.28,0.44,0.286,0.25,1.0,0.0,,,,,,,,,,0.25,1.0,0.2,0.2,0.267,0.385,,105.0,95.0,102.0,,,,,0.079,,,-0.95,,,82.3,,,,,,
2024-09-12,6:45 PM.,MIL,SF,home,Clear.,65,593423,CF,4,0,0,0,0,0,0,0,0,3,4,0.22,0.247,0.463,0.71,593423,frankiemontas,Montas,Right,Frankie Montas,- - -,4.84,4.71,150.2,101.0,98.0,99.0,0.777,8.84,3.94,8.36,1.43,1.1,0.235,0.376,0.147,0.311,0.418,,,,,,,83.0,105.0,98.0,117.0,103.0,106.0,109.0,95.0,95.0,0.332,0.187,0.107,,,-0.02,-1.4,-1.94,,,95.6,90.4,,85.4,,0.206,0.367,0.231,0.288,0.577,0.325,,,,0.326,0.609,0.223,83.0,100.0,98.0,0.191,1.13,94.8,0.248,0.407,0.113,,,,,,,,,,,119.0,99.0,105.0,0.183,,,-0.23,,,86.0,,0.218,0.297,0.426,,,
2024-09-11,6:46 PM.,MIL,SF,home,Clear.,67,607067,CF,5,0,1,0,0,0,0,0,0,0,3,0.231,0.259,0.487,0.746,607067,colinrea,Rea,Right,Colin Rea,MIL,4.29,4.91,167.2,102.0,84.0,97.0,0.827,7.25,2.31,9.07,1.56,0.95,0.24,0.456,0.137,0.329,0.443,,,,100.0,109.0,104.0,70.0,109.0,95.0,109.0,106.0,108.0,76.0,94.0,88.0,0.193,0.194,0.172,0.042,,0.49,-1.34,1.41,-3.64,,92.9,87.6,,82.0,78.7,0.207,0.314,0.248,,,,0.394,0.636,0.18,0.287,0.656,0.168,82.0,103.0,96.0,0.311,-0.28,92.3,0.298,0.482,0.115,,,,0.159,0.234,0.227,,,,,78.0,98.0,96.0,0.088,,,-2.02,,,86.5,,0.286,0.492,0.277,,,
2024-09-10,6:44 PM.,MIL,SF,home,Cloudy.,60,650644,CF,3,0,0,0,0,0,0,0,0,1,0,0.233,0.263,0.507,0.77,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,152.0,101.0,112.0,91.0,100.0,101.0,0.099,0.322,0.163,0.156,,-1.7,1.08,-1.03,-1.36,,92.0,88.1,,80.5,77.1,0.294,0.49,0.095,0.25,0.375,0.438,0.25,0.479,0.275,0.232,0.394,0.233,71.0,93.0,83.0,0.24,0.06,92.6,0.241,0.421,0.158,,,,0.267,0.467,0.272,,,,,57.0,96.0,102.0,0.02,,,-4.86,,,85.6,,0.375,0.625,0.261,,,
2024-09-08,1:11 PM.,SD,SF,away,Sunny.,91,605397,CF,5,0,0,0,0,0,0,0,0,4,1,0.243,0.274,0.529,0.803,605397,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,168.0,98.0,103.0,95.0,100.0,95.0,145.0,98.0,106.0,110.0,108.0,104.0,0.246,0.204,0.203,0.225,0.078,-0.74,1.35,1.05,-0.1,-3.1,93.0,89.7,87.1,82.2,81.6,0.253,0.494,0.231,,,,0.203,0.319,0.328,0.298,0.405,0.25,69.0,111.0,96.0,0.044,0.44,92.6,0.348,0.435,0.146,0.353,0.618,0.379,0.169,0.351,0.338,,,,,,,,,,,,,,,,,,,,,
2024-09-07,5:41 PM.,SD,SF,away,Clear.,88,656302,CF,4,2,2,0,0,2,5,0,0,0,2,0.262,0.294,0.569,0.863,656302,dylancease,Cease,Right,Dylan Cease,SDP,3.47,3.31,189.1,100.0,121.0,107.0,0.693,10.65,3.09,6.51,0.86,0.94,0.203,0.433,0.147,0.307,0.389,54.0,72.0,68.0,,,,123.0,95.0,102.0,112.0,100.0,105.0,113.0,89.0,90.0,0.435,0.006,0.471,,0.009,0.22,-5.11,1.98,,-4.13,96.9,91.8,69.7,87.2,,0.235,0.39,0.203,0.159,0.257,0.447,0.28,0.44,0.286,0.25,1.0,0.0,,,,,,,,,,0.25,1.0,0.2,0.2,0.267,0.385,,105.0,95.0,102.0,,,,,0.079,,,-0.95,,,82.3,,,,,,
2024-09-06,6:41 PM.,SD,SF,away,Partly Cloudy.,79,650633,CF,3,0,2,0,0,0,0,0,0,0,0,0.246,0.281,0.475,0.756,650633,michaelking,"King, M",Right,Michael King,SDP,2.95,3.59,173.2,102.0,95.0,100.0,0.735,10.42,3.26,7.46,0.88,1.1,0.233,0.426,0.202,0.264,0.415,88.0,103.0,97.0,,,,86.0,103.0,101.0,115.0,97.0,102.0,,,,0.241,,0.234,,0.246,-0.15,,-0.19,,1.61,93.7,,86.7,82.9,,0.265,0.402,0.261,0.281,0.5,0.284,,,,,,,88.0,105.0,98.0,0.279,0.68,92.9,0.2,0.376,0.189,0.207,0.286,0.362,0.206,0.304,0.345,,,,,,,,,,,,,,,,,,,,,
2024-09-05,12:45 PM.,AZ,SF,home,Sunny.,70,518876,CF,3,0,0,0,0,0,0,1,0,1,1,0.224,0.262,0.466,0.728,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,4.03,4.94,73.2,105.0,98.0,101.0,0.806,7.7,2.32,8.19,1.34,1.17,0.209,0.456,0.13,0.335,0.381,122.0,108.0,106.0,116.0,108.0,107.0,73.0,106.0,97.0,114.0,111.0,111.0,95.0,103.0,98.0,0.197,0.252,0.118,0.077,0.21,-0.76,0.01,-0.18,-1.78,4.47,91.9,90.3,88.4,85.6,82.2,0.26,0.54,0.204,0.273,0.455,0.394,0.25,0.55,0.205,0.276,0.5,0.109,84.0,98.0,90.0,0.147,-3.28,92.3,0.378,0.644,0.086,0.099,0.099,0.315,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-03,6:44 PM.,AZ,SF,home,Clear.,74,669194,CF,2,0,1,0,1,0,0,0,0,1,0,0.236,0.276,0.491,0.767,669194,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.24,4.17,150.2,106.0,100.0,104.0,0.838,7.53,2.03,9.26,1.02,1.14,0.274,0.39,0.14,0.338,0.463,108.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,111.0,112.0,110.0,78.0,107.0,96.0,0.557,0.184,0.103,0.057,0.099,0.64,-0.85,-0.66,1.81,-2.35,95.2,91.2,83.0,83.8,77.8,0.249,0.418,0.195,0.226,0.34,0.156,0.138,0.207,0.148,0.317,0.508,0.154,,,,,,,,,,0.302,0.587,0.203,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,,,,
2024-09-01,1:07 PM.,MIA,SF,home,Sunny.,69,670766,CF,4,0,0,0,0,0,0,0,0,2,2,0.226,0.268,0.453,0.721,670766,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,6.21,5.64,42.0,98.0,87.0,94.0,0.87,6.0,3.21,11.36,1.93,0.7,0.219,0.466,0.151,0.308,0.462,69.0,87.0,75.0,,,,49.0,94.0,82.0,119.0,102.0,109.0,,,,0.195,,0.38,,0.111,-0.09,,-3.09,,-1.8,89.4,,81.1,81.9,,0.243,0.405,0.18,,,,,,,,,,80.0,99.0,91.0,0.315,-1.47,89.0,0.346,0.5,0.089,0.333,0.381,0.325,0.311,0.689,0.142,,,,,,,,,,,,,,,,,,,,,
2024-08-30,7:16 PM.,MIA,SF,home,Clear.,63,670124,CF,3,0,0,0,0,0,0,0,0,2,2,0.245,0.288,0.49,0.778,670124,adamoller,Oller,Right,Adam Oller,MIA,5.31,4.59,42.1,95.0,99.0,95.0,0.803,7.65,4.68,9.14,1.49,0.86,0.271,0.357,0.132,0.318,0.404,50.0,89.0,83.0,110.0,97.0,99.0,95.0,92.0,92.0,120.0,121.0,121.0,,,,0.514,,0.008,0.407,0.07,-2.09,,10.03,1.72,-3.63,93.7,,86.9,86.2,84.0,0.314,0.616,0.154,,,,0.208,0.292,0.176,,,,,,,,,,,,,0.556,0.556,0.318,,,,,,,,,,,,,,,,,,,,,,0.136,0.159,0.329
2024-08-29,1:12 PM.,MIL,SF,away,Overcast.,74,650644,CF,3,0,0,0,0,0,0,0,0,2,1,0.261,0.306,0.522,0.828,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,4.36,4.0,161.0,100.0,96.0,100.0,0.801,8.33,2.91,8.83,1.62,0.83,0.253,0.411,0.145,0.315,0.399,,,,104.0,104.0,109.0,68.0,102.0,96.0,152.0,101.0,112.0,91.0,100.0,101.0,0.099,0.322,0.163,0.156,,-1.7,1.08,-1.03,-1.36,,92.0,88.1,,80.5,77.1,0.294,0.49,0.095,0.25,0.375,0.438,0.25,0.479,0.275,0.232,0.394,0.233,71.0,93.0,83.0,0.24,0.06,92.6,0.241,0.421,0.158,,,,0.267,0.467,0.272,,,,,57.0,96.0,102.0,0.02,,,-4.86,,,85.6,,0.375,0.625,0.261,,,
2024-08-28,7:10 PM.,MIL,SF,away,Roof Closed.,78,642547,CF,4,0,0,0,0,0,0,0,0,2,2,0.279,0.326,0.558,0.884,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.68,3.88,173.2,98.0,103.0,100.0,0.719,10.36,3.52,7.41,1.35,0.82,0.262,0.376,0.197,0.318,0.373,84.0,92.0,88.0,104.0,106.0,110.0,112.0,99.0,101.0,98.0,99.0,105.0,,,,0.539,,0.217,0.07,0.175,0.05,,-0.09,0.36,0.84,94.3,,87.7,81.4,78.1,0.239,0.424,0.252,0.203,0.384,0.41,0.182,0.341,0.372,,,,,,,,,,,,,0.218,0.291,0.369,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-27,7:10 PM.,MIL,SF,away,Partly Cloudy.,85,668964,CF,3,2,1,0,0,1,1,1,1,2,2,0.308,0.357,0.615,0.972,668964,tobiasmyers,Myers,Right,Tobias Myers,MIL,3.0,4.22,138.0,102.0,92.0,97.0,0.81,8.28,2.35,8.22,1.17,0.93,0.262,0.416,0.13,0.314,0.432,109.0,86.0,90.0,73.0,99.0,104.0,87.0,105.0,100.0,92.0,106.0,103.0,96.0,100.0,91.0,0.401,0.23,0.21,0.041,0.114,0.58,-0.75,1.43,-3.19,1.18,92.9,89.2,81.1,85.5,77.8,0.239,0.436,0.194,0.198,0.255,0.248,0.421,0.579,0.194,0.336,0.518,0.123,71.0,92.0,74.0,0.005,11.28,91.5,0.0,0.0,0.0,0.083,0.083,0.444,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-25,1:11 PM.,SEA,SF,away,Partly Cloudy.,63,693433,CF,3,1,2,0,0,1,1,0,1,0,0,0.306,0.342,0.556,0.898,693433,bryanwoo,Woo,Right,Bryan Woo,SEA,2.89,2.72,121.1,107.0,104.0,107.0,0.785,7.49,0.96,7.12,1.04,0.96,0.285,0.344,0.144,0.256,0.499,91.0,104.0,100.0,,,,97.0,109.0,107.0,113.0,101.0,107.0,,,,0.489,,0.187,,0.094,1.44,,1.23,,0.0,94.8,,89.6,84.2,,0.218,0.355,0.273,0.265,0.529,0.241,,,,,,,116.0,109.0,109.0,0.23,1.85,94.7,0.234,0.315,0.097,0.186,0.373,0.207,0.1,0.1,0.417,,,,,,,,,,,,,,,,,,,,,
2024-08-24,1:12 PM.,SEA,SF,away,Roof Closed.,59,669923,CF,4,0,2,0,0,0,0,1,0,0,3,0.273,0.294,0.455,0.749,669923,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.44,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.294,0.446,,,,,,,102.0,107.0,101.0,110.0,104.0,110.0,97.0,99.0,93.0,0.339,0.004,0.237,,,0.46,0.79,1.28,,,96.0,92.3,,87.2,,0.221,0.458,0.291,0.226,0.316,0.271,0.333,0.439,0.286,,,,106.0,108.0,108.0,0.236,1.5,96.0,0.263,0.354,0.105,,,,,,,73.9,114.0,110.0,113.0,109.0,100.0,108.0,0.102,0.082,0.0,-2.05,-1.95,-3.5,86.0,83.4,0.253,0.413,0.295,,,
2024-08-23,7:10 PM.,SEA,SF,away,Roof Closed.,57,622491,CF,4,0,1,1,0,0,0,0,0,2,1,0.241,0.267,0.448,0.715,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.64,3.91,175.1,105.0,101.0,102.0,0.768,8.98,2.41,8.11,1.28,0.94,0.26,0.409,0.159,0.319,0.406,89.0,104.0,97.0,,,,120.0,105.0,103.0,72.0,106.0,108.0,,,,0.454,,0.224,,0.143,0.97,,0.65,,-1.63,95.6,,88.1,85.7,,0.203,0.365,0.273,0.207,0.357,0.358,,,,,,,100.0,102.0,98.0,0.179,-0.41,95.6,0.298,0.457,0.105,0.287,0.545,0.265,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-21,12:45 PM.,CWS,SF,home,Sunny.,66,676979,CF,3,0,0,0,0,0,0,0,0,3,1,0.24,0.269,0.44,0.709,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,66.0,101.0,102.0,,,,104.0,103.0,103.0,138.0,102.0,107.0,94.0,105.0,103.0,0.537,0.284,0.098,,0.059,1.66,-0.14,-2.29,,-0.36,97.2,91.6,91.0,84.3,,0.198,0.295,0.314,,,,,,,0.268,0.458,0.334,123.0,98.0,97.0,0.021,4.04,97.9,0.154,0.154,0.321,0.184,0.289,0.339,0.228,0.561,0.422,,,,,,,,,,,,,,,,,,,,,
