date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,FO%,wFO/C,vFO,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
2023-09-15,6:40 PM.,CWS,MIN,away,Clear.,72,669947,CF,0,0,0,0,0,0,0,0,0,0,0,0.19,0.227,0.19,0.417,669947,jessescholtens,Scholtens,Right,Jesse Scholtens,CHW,5.29,4.93,85.0,99.0,82.0,98.0,0.808,6.14,3.18,10.59,1.59,1.02,0.261,0.408,0.146,0.334,0.387,92.0,84.0,86.0,104.0,104.0,106.0,73.0,99.0,93.0,82.0,98.0,101.0,,,,0.435,,0.366,0.165,0.035,0.27,,-1.82,-0.51,0.73,92.8,,85.4,85.4,74.0,0.266,0.462,0.14,0.354,0.472,0.2339999999999999,0.111,0.111,0.154,0.245,0.469,0.3429999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-14,6:40 PM.,CWS,MIN,away,Clear.,67,570632,CF,0,0,0,0,0,0,0,0,0,0,0,0.19,0.227,0.19,0.417,570632,joseurena,Ureña,Right,José Ureña,- - -,6.45,5.77,44.2,99.0,90.0,93.0,0.803,5.84,4.43,10.07,2.62,1.34,0.205,0.53,0.093,0.411,0.372,61.0,98.0,82.0,,,,90.0,95.0,88.0,101.0,103.0,105.0,,,,0.217,,0.253,,0.243,-4.06,,-0.94,,-0.46,95.4,,87.4,86.2,,0.351,1.0,0.075,0.214,0.452,0.36,0.22,0.39,0.258,,,,,,,107.0,98.0,98.0,0.288,-1.62,95.0,0.339,0.589,0.171,,,,,,,,,,,,,,,,,,
2023-09-13,12:10 PM.,TB,MIN,home,Sunny.,60,671737,PR,0,0,0,0,0,0,0,1,0,0,0,0.19,0.227,0.19,0.417,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,106.0,99.0,99.0,0.449,0.248,,0.167,,-0.8,-1.32,,0.04,,96.1,88.9,,,79.0,0.277,0.559,0.191,,,,,,,0.169,0.338,0.2239999999999999,0.312,0.581,0.295,,,,0.001,0.0,97.8,,,,,,,0.19,0.333,0.41,,,,0.136,0.62,89.3,,,,,,
2023-09-12,6:41 PM.,TB,MIN,home,Partly Cloudy.,63,641793,CF,0,0,0,0,0,0,0,0,0,0,0,0.19,0.227,0.19,0.417,641793,zacklittell,Littell,Right,Zack Littell,- - -,4.1,4.24,90.0,105.0,92.0,105.0,0.801,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,0.312,,0.397,,,0.57,,0.34,,,94.1,,,87.1,,0.26,0.44,0.22,0.25,0.417,0.3,,,,,,,,,,74.0,108.0,98.0,0.099,0.28,92.9,0.237,0.342,0.063,,,,0.268,0.415,0.281,115.0,107.0,118.0,0.192,-1.3,84.3,,,,,,
2023-09-11,6:41 PM.,TB,MIN,home,Partly Cloudy.,72,607192,CF,3,0,0,0,0,0,0,0,0,1,1,0.19,0.227,0.19,0.417,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,TBR,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.246,0.372,0.161,0.386,0.454,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,94.0,97.0,104.0,,,,0.432,,0.348,0.213,0.003,0.54,,1.25,1.81,2.91,96.4,,92.3,90.1,83.9,0.236,0.41,0.249,0.254,0.373,0.382,,,,0.095,0.19,0.522,,,,,,,0.004,-7.7,96.4,,,,,,,,,,,,,,,,,,,,,
2023-09-10,1:13 PM.,NYM,MIN,home,Cloudy.,69,656731,PR,0,0,0,0,0,0,0,0,0,0,0,0.222,0.263,0.222,0.485,656731,tylormegill,Megill,Right,Tylor Megill,NYM,4.7,5.85,126.1,97.0,90.0,95.0,0.789,7.48,4.13,10.04,1.28,1.25,0.275,0.345,0.123,0.32,0.414,88.0,97.0,98.0,101.0,91.0,96.0,86.0,95.0,89.0,96.0,103.0,106.0,,,,0.557,,0.206,0.086,0.149,-0.4,,-1.04,-0.05,-0.09,94.9,,87.9,84.4,77.2,0.314,0.494,0.184,0.264,0.445,0.311,0.264,0.396,0.241,0.167,0.167,0.354,,,,,,,,,,,,,,,,,,,116.0,83.0,118.0,0.002,5.58,86.1,,,,,,
2023-09-09,1:12 PM.,NYM,MIN,home,Overcast.,74,656849,CF,1,0,0,0,0,0,0,0,0,1,0,0.222,0.263,0.222,0.485,656849,davidpeterson,"Peterson, D",Left,David Peterson,NYM,5.03,4.96,111.0,97.0,90.0,94.0,0.727,10.38,4.05,10.05,1.3,2.18,0.256,0.422,0.13,0.338,0.378,84.0,97.0,93.0,89.0,97.0,99.0,76.0,95.0,87.0,105.0,99.0,102.0,,,,0.273,,0.197,0.088,0.189,-0.83,,-2.58,2.63,-1.35,92.7,,85.3,85.3,78.6,0.287,0.425,0.281,0.268,0.472,0.3939999999999999,0.325,0.55,0.309,0.2,0.2,0.365,,,,97.0,97.0,95.0,0.253,0.66,91.5,0.314,0.486,0.165,,,,,,,,,,,,,,,,,,
2023-09-08,7:10 PM.,NYM,MIN,home,Clear.,75,673540,CF,1,1,0,0,0,0,0,1,0,0,0,0.235,0.278,0.235,0.513,673540,kodaisenga,Senga,Right,Kodai Senga,NYM,2.98,3.87,166.1,95.0,97.0,97.0,0.721,10.93,4.17,6.82,0.92,1.23,0.252,0.416,0.161,0.333,0.382,,,,91.0,90.0,87.0,109.0,97.0,97.0,100.0,93.0,102.0,93.0,95.0,93.0,0.37,0.25,0.116,0.027,,0.17,2.52,-0.96,-0.23,,95.7,90.8,,82.7,72.8,0.244,0.399,0.173,0.333,0.952,0.245,,,,0.125,0.5,0.444,0.244,0.339,0.182,,,,,,,,,,0.237,0.95,83.2,0.11,0.147,0.595,,,,,,,,,,,,
2023-09-06,1:10 PM.,CLE,MIN,away,Partly Cloudy.,87,668909,CF,3,0,1,0,0,0,1,0,0,1,1,0.25,0.294,0.25,0.544,668909,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,3.29,4.21,82.0,100.0,102.0,101.0,0.745,8.89,4.06,7.24,0.88,0.98,0.265,0.354,0.126,0.278,0.426,136.0,95.0,93.0,84.0,90.0,95.0,112.0,101.0,103.0,83.0,107.0,102.0,,,,0.553,,0.221,0.17,0.056,0.35,,2.27,-1.23,-3.24,95.7,,88.2,84.9,76.2,0.25,0.404,0.249,0.157,0.241,0.318,0.353,0.588,0.212,0.174,0.391,0.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-05,6:11 PM.,CLE,MIN,away,Clear.,86,676440,CF,2,0,0,0,0,0,0,0,0,1,2,0.231,0.286,0.231,0.517,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,101.0,98.0,105.0,88.0,98.0,102.0,91.0,97.0,91.0,110.0,106.0,115.0,,,,0.471,,0.27,0.093,0.166,0.6,,1.35,-1.11,1.07,94.9,,83.8,84.7,78.3,0.243,0.348,0.19,0.206,0.355,0.317,0.213,0.298,0.3779999999999999,0.271,0.479,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,6:11 PM.,CLE,MIN,away,Partly Cloudy.,84,608337,CF,2,1,1,0,0,0,0,0,0,0,2,0.273,0.333,0.273,0.606,608337,lucasgiolito,Giolito,Right,Lucas Giolito,- - -,4.88,4.61,184.1,101.0,95.0,101.0,0.737,9.96,3.56,8.25,2.0,0.79,0.262,0.426,0.183,0.343,0.413,99.0,100.0,107.0,81.0,76.0,78.0,84.0,100.0,95.0,107.0,105.0,104.0,,,,0.419,,0.282,0.015,0.283,-0.85,,-0.25,-3.72,-0.2,93.1,,80.9,84.0,77.9,0.262,0.546,0.2,0.236,0.438,0.345,0.209,0.442,0.352,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-03,1:38 PM.,TEX,MIN,away,Roof Closed.,74,592351,CF,3,0,1,0,0,0,0,0,1,0,3,0.222,0.3,0.222,0.522,592351,jongray,"Gray, Jn",Right,Jon Gray,TEX,4.12,4.48,157.1,101.0,97.0,100.0,0.758,8.12,3.09,8.52,1.26,1.1,0.288,0.348,0.157,0.324,0.437,77.0,96.0,97.0,99.0,90.0,98.0,82.0,100.0,92.0,116.0,103.0,109.0,,,,0.424,,0.398,0.062,0.116,-1.83,,2.33,-1.69,1.71,95.7,,88.8,87.2,78.2,0.346,0.551,0.179,0.105,0.211,0.324,0.211,0.268,0.213,0.263,0.737,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-02,6:16 PM.,TEX,MIN,away,Roof Closed.,74,656756,CF,2,0,0,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.334,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,,,,101.0,102.0,87.0,0.106,0.016,,0.222,0.229,-0.68,-4.4,,0.84,0.2,93.4,88.2,83.5,,80.5,0.333,0.5,0.195,,,,0.239,0.405,0.392,0.191,0.357,0.371,0.417,0.667,0.31,91.0,99.0,91.0,0.426,1.22,93.3,0.255,0.374,0.141,,,,,,,,,,,,,,,,,,
2023-09-01,7:07 PM.,TEX,MIN,away,Roof Closed.,74,453286,LF,4,0,1,0,0,0,0,2,0,1,2,0.25,0.25,0.25,0.5,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.463,0.104,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,83.8,84.0,75.4,0.255,0.458,0.238,0.25,0.545,0.364,0.207,0.283,0.275,0.187,0.373,0.326,0.135,0.243,0.3329999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
