date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vKN (sc),KN%,wKN/C,KC_ba,KC_slg,KC_whiff
2023/07/30,1:10 PM.,TB,HOU,home,Roof Closed.,73,641793,2B,1,0,0,0,0,0,0,0,0,0,0,.214,.333,.357,.690,641793,zacklittell,Littell,Right,Zack Littell,- - -,4.1,4.24,90.0,105.0,92.0,105.0,0.801,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,,,73.0,109.0,100.0,103.0,100.0,105.0,,,,0.312,,0.397,,,0.57,,0.34,,,94.1,,,87.1,,,,,0.26,0.44,0.22,0.25,0.417,0.3,,,,,,,74.0,108.0,98.0,115.0,107.0,118.0,0.099,0.192,-1.3,0.28,84.3,92.9,0.237,0.342,0.063,0.268,0.415,0.281,,,,,,,,,,,,
2023/07/29,6:16 PM.,TB,HOU,home,Roof Closed.,73,671737,1B,1,0,0,0,0,0,0,0,0,0,0,.222,.344,.370,.714,671737,tajbradley,"Bradley, T",Right,Taj Bradley,TBR,5.59,4.45,104.2,101.0,110.0,105.0,0.775,11.09,3.35,9.11,1.98,0.88,0.268,0.405,0.158,0.392,0.449,,,,88.0,107.0,111.0,131.0,101.0,109.0,,,,106.0,99.0,99.0,0.449,0.248,,0.167,,-0.8,-1.32,,0.04,,96.1,88.9,,,79.0,0.312,0.581,0.295,0.277,0.559,0.191,,,,,,,0.169,0.338,0.22399999999999998,,,,,,,0.001,0.136,0.62,0.0,89.3,97.8,,,,0.19,0.333,0.41,,,,,,,,,,,,
2023/07/26,7:12 PM.,TEX,HOU,home,Roof Closed.,73,571760,3B,2,0,0,0,0,0,0,0,0,1,0,.231,.355,.385,.740,571760,andrewheaney,Heaney,Left,Andrew Heaney,TEX,4.15,4.55,147.1,100.0,103.0,100.0,0.768,9.22,3.67,8.74,1.4,0.96,0.255,0.44,0.121,0.343,0.399,101.0,97.0,92.0,80.0,143.0,68.0,107.0,99.0,99.0,94.0,104.0,108.0,,,,0.579,,0.252,0.0,0.169,0.1,,-1.35,-3.87,-0.11,92.5,,84.0,82.0,74.4,,,,0.236,0.431,0.256,0.259,0.443,0.29600000000000004,0.274,0.452,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/23,1:07 PM.,OAK,HOU,away,Partly Cloudy.,72,665622,1B,1,0,0,0,0,0,0,0,0,0,1,.250,.379,.417,.796,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,106.0,97.0,100.0,,,,0.415,,0.238,0.117,0.087,-0.35,,-0.8,-0.73,1.25,96.1,,87.3,85.3,79.6,,,,0.272,0.494,0.121,0.233,0.456,0.484,0.256,0.282,0.304,0.146,0.366,0.308,117.0,96.0,96.0,,,,0.142,,,-0.8,,95.5,0.313,0.406,0.141,,,,,,,,,,,,,,,
2023/07/22,6:08 PM.,OAK,HOU,away,Partly Cloudy.,75,621112,2B,4,0,1,0,0,0,0,0,0,2,0,.261,.393,.435,.828,621112,paulblackburn,Blackburn,Right,Paul Blackburn,OAK,4.43,4.42,103.2,100.0,87.0,97.0,0.778,9.03,3.73,10.16,0.95,1.17,0.246,0.38,0.166,0.297,0.346,67.0,108.0,96.0,89.0,104.0,104.0,77.0,95.0,87.0,91.0,103.0,108.0,106.0,100.0,100.0,0.146,0.204,0.181,0.117,0.112,-2.52,-2.38,0.46,1.69,2.14,91.9,88.9,86.0,80.8,79.1,0.435,0.624,0.159,0.383,0.553,0.17,0.198,0.308,0.344,0.143,0.286,0.389,0.14,0.326,0.245,82.0,96.0,87.0,,,,0.24,,,-0.75,,91.8,0.306,0.435,0.15,,,,,,,,,,,,,,,
2023/07/16,4:10 PM.,LAA,HOU,away,Sunny.,83,542881,SS,4,1,2,1,0,0,0,0,1,1,4,.263,.417,.474,.891,542881,tyleranderson,Anderson,Left,Tyler Anderson,LAA,5.43,4.96,141.0,99.0,91.0,96.0,0.747,7.6,4.09,9.32,1.28,0.64,0.246,0.401,0.182,0.289,0.406,92.0,101.0,106.0,105.0,84.0,83.0,81.0,96.0,89.0,105.0,76.0,95.0,104.0,103.0,98.0,0.374,0.224,0.007,0.002,0.338,-1.25,0.48,-1.06,-0.33,0.08,90.1,85.1,80.0,78.1,72.9,0.239,0.366,0.268,0.301,0.566,0.193,0.2,0.2,0.33299999999999996,0.238,0.381,0.39799999999999996,,,,92.0,93.0,81.0,,,,0.055,0.001,-4.72,-3.61,90.1,88.5,0.36,0.68,0.102,,,,,,,,,,,,,,,
2023/07/15,6:08 PM.,LAA,HOU,away,Clear.,77,672282,SS,0,0,0,0,0,0,0,0,0,0,0,.200,.368,.400,.768,672282,reiddetmers,Detmers,Left,Reid Detmers,LAA,4.48,4.55,148.2,99.0,101.0,99.0,0.749,10.17,3.63,8.54,1.15,0.91,0.223,0.444,0.139,0.362,0.438,92.0,101.0,97.0,93.0,94.0,105.0,87.0,101.0,95.0,124.0,100.0,102.0,,,,0.432,,0.319,0.194,0.054,-0.38,,0.91,0.14,-2.03,94.3,,84.8,88.7,74.7,,,,0.291,0.505,0.212,0.0,0.0,0.267,0.242,0.424,0.24600000000000002,0.191,0.326,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/07/07,7:11 PM.,SEA,HOU,home,Roof Closed.,73,622491,3B,1,0,0,0,0,0,0,0,0,0,0,.200,.368,.400,.768,622491,luiscastillo,"Castillo, L",Right,Luis Castillo,SEA,3.34,3.82,197.0,103.0,96.0,102.0,0.717,10.01,2.56,7.31,1.28,0.92,0.268,0.375,0.182,0.333,0.422,83.0,108.0,105.0,,,,95.0,104.0,100.0,117.0,100.0,108.0,,,,0.444,,0.221,,0.156,1.31,,-0.12,,-1.6,96.3,,88.3,85.7,,,,,0.165,0.384,0.33,0.234,0.455,0.37799999999999995,0.28,0.42,0.325,,,,82.0,103.0,95.0,,,,0.179,,,0.6,,95.9,0.239,0.337,0.136,,,,,,,,,,,,,,,
2023/07/04,3:10 PM.,COL,HOU,home,Roof Closed.,73,607536,SS,4,1,2,0,0,1,1,0,0,0,2,.214,.389,.429,.818,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.202,0.441,0.122,0.391,0.437,47.0,105.0,95.0,,,,68.0,105.0,90.0,65.0,99.0,96.0,,,,0.184,,0.236,,0.122,1.13,,-0.2,,-3.3,88.8,,84.2,84.1,,,,,0.239,0.431,0.127,0.246,0.549,0.2,0.435,0.681,0.139,0.261,0.41,0.32,67.0,103.0,88.0,,,,0.283,,,-0.86,,88.7,0.349,0.529,0.091,,,,96.0,105.0,105.0,0.176,-1.91,80.6,,,,,,
2023/06/29,6:16 PM.,STL,HOU,away,Partly Cloudy.,85,425794,1B,1,0,0,0,0,0,0,0,1,1,0,.100,.357,.100,.457,425794,adamwainwright,Wainwright,Right,Adam Wainwright,STL,7.4,7.35,101.0,99.0,103.0,97.0,0.88,4.9,3.65,13.46,1.78,1.07,0.186,0.439,0.129,0.339,0.425,66.0,84.0,80.0,129.0,102.0,110.0,80.0,94.0,84.0,83.0,78.0,71.0,107.0,99.0,95.0,0.099,0.226,0.003,0.306,0.05,-1.48,-0.27,-13.9,-1.5,-3.6,85.7,82.9,81.4,75.6,71.5,0.344,0.473,0.152,0.326,0.512,0.11699999999999999,,,,0.389,0.611,0.1,0.291,0.475,0.153,87.0,99.0,89.0,,,,0.314,,,-3.36,,86.9,0.394,0.746,0.09300000000000001,,,,,,,0.002,6.39,65.7,,,,,,
2023/06/19,7:11 PM.,NYM,HOU,home,Roof Closed.,73,453286,PH,0,0,0,0,0,0,0,0,1,0,0,.111,.333,.111,.444,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,106.0,108.0,108.0,98.0,108.0,99.0,0.463,0.104,0.168,0.124,0.141,0.72,2.12,-0.21,0.51,0.03,93.7,88.4,83.8,84.0,75.4,0.135,0.243,0.33299999999999996,0.255,0.458,0.23800000000000002,0.25,0.545,0.364,0.207,0.283,0.275,0.187,0.373,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/18,1:10 PM.,CIN,HOU,home,Roof Closed.,73,596133,PH,1,0,0,0,0,0,0,0,0,0,1,.111,.273,.111,.384,596133,lukeweaver,Weaver,Right,Luke Weaver,- - -,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.378,0.433,83.0,103.0,100.0,,,,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.137,,0.2,-1.47,0.87,-2.22,,-2.01,94.0,90.3,86.1,85.8,,0.218,0.473,0.252,0.311,0.543,0.175,0.235,0.294,0.321,0.316,0.547,0.32299999999999995,0.255,0.691,0.16699999999999998,,,,,,,,,,,,,,,,,,,,,,0.118,-1.56,81.7,,,,,,
2023/06/17,3:10 PM.,CIN,HOU,home,Roof Closed.,73,668881,1B,3,0,0,0,0,0,0,0,1,0,0,.125,.300,.125,.425,668881,huntergreene,"Greene, H",Right,Hunter Greene,CIN,4.82,3.82,112.0,103.0,124.0,107.0,0.725,12.21,3.86,8.92,1.53,0.74,0.241,0.407,0.128,0.345,0.42,69.0,88.0,90.0,,,,127.0,103.0,105.0,126.0,104.0,112.0,,,,0.544,,0.404,,0.053,-0.95,,0.16,,-2.39,98.3,,91.1,87.3,,,,,0.265,0.518,0.252,0.229,0.416,0.392,0.304,0.478,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/06/11,12:40 PM.,CLE,HOU,away,Partly Cloudy.,78,669456,SS,2,0,1,0,0,0,0,0,1,0,1,.200,.333,.200,.533,669456,shanebieber,Bieber,Right,Shane Bieber,CLE,3.8,4.83,128.0,101.0,100.0,99.0,0.77,7.52,2.39,8.72,0.98,1.56,0.238,0.395,0.147,0.328,0.42,59.0,93.0,85.0,,,,81.0,103.0,96.0,111.0,107.0,109.0,95.0,94.0,93.0,0.352,0.269,0.207,,0.035,0.87,0.43,0.84,,-4.04,91.3,86.5,87.2,84.6,,0.316,0.465,0.293,0.257,0.434,0.09300000000000001,0.18,0.331,0.326,0.5,0.571,0.083,0.237,0.368,0.32299999999999995,,,,,,,,,,,,,,,,,,,155.0,104.0,109.0,0.137,-1.29,82.5,,,,,,
2023/06/07,7:08 PM.,TOR,HOU,away,Roof Closed.,68,605135,3B,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,605135,chrisbassitt,Bassitt,Right,Chris Bassitt,TOR,3.6,4.04,200.0,100.0,92.0,99.0,0.8,8.37,2.66,7.92,1.26,1.12,0.271,0.381,0.165,0.285,0.459,72.0,93.0,91.0,93.0,92.0,100.0,74.0,106.0,98.0,106.0,93.0,102.0,95.0,105.0,102.0,0.093,0.153,0.136,0.126,0.065,-3.9,-1.13,-0.72,0.67,1.71,92.4,87.8,84.1,75.6,70.7,0.274,0.496,0.253,0.333,0.652,0.20600000000000002,0.227,0.636,0.191,0.189,0.351,0.10099999999999999,0.192,0.295,0.318,92.0,104.0,98.0,78.0,84.0,84.0,0.393,0.033,-3.07,2.11,82.6,91.9,0.22,0.336,0.14400000000000002,0.375,0.563,0.226,,,,,,,,,,,,
2023/03/28,7:10 PM.,HOU,SUG,away,Partly Cloudy.,73,677651,SS,2,0,0,0,0,0,0,0,0,1,0,.250,.500,.250,.750,677651,luisgarcia,"Garcia, L",Right,Luis Garcia,HOU,4.0,4.01,27.0,101.0,92.0,97.0,0.707,10.33,3.33,8.33,1.0,0.59,0.205,0.384,0.247,0.342,0.387,53.0,106.0,89.0,99.0,94.0,99.0,79.0,94.0,89.0,87.0,103.0,111.0,107.0,105.0,98.0,0.312,0.427,0.126,0.076,0.059,-2.31,1.28,1.15,-0.26,-1.19,92.7,85.4,84.4,78.4,76.2,0.192,0.308,0.419,0.407,0.741,0.121,0.1,0.3,0.32,0.222,0.333,0.385,0.25,0.5,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
