date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023/09/11,6:41 PM.,CHC,COL,home,Partly Cloudy.,66,696136,PR,0,0,0,0,0,0,0,0,0,0,0,.188,.300,.188,.488,696136,jordanwicks,Wicks,Left,Jordan Wicks,CHC,4.41,4.07,34.2,101.0,77.0,96.0,0.785,6.23,2.86,8.57,1.3,1.65,0.223,0.438,0.134,0.259,0.334,71.0,106.0,104.0,82.0,97.0,97.0,78.0,102.0,96.0,75.0,99.0,90.0,85.0,94.0,82.0,0.196,0.285,0.098,0.084,0.297,-1.88,-2.26,2.74,-0.96,1.83,92.1,89.0,81.3,91.3,78.2,0.171,0.317,0.3,0.368,0.711,0.145,0.143,0.143,0.429,0.444,0.667,0.261,0.174,0.174,0.163,105.0,87.0,95.0,0.041,-6.67,82.0,0.333,0.833,0.2,,,,,,,,,,,,
2023/09/10,5:10 PM.,SF,COL,away,Clear.,67,676775,LF,2,0,0,0,0,0,1,0,0,2,0,.188,.300,.188,.488,676775,keatonwinn,Winn,Right,Keaton Winn,SFG,4.68,4.3,42.1,100.0,120.0,104.0,0.736,7.44,1.7,7.65,1.28,1.97,0.211,0.455,0.098,0.366,0.451,,,,,,,91.0,105.0,98.0,85.0,92.0,90.0,,,,0.153,0.258,,,,-1.55,,-0.06,,,95.9,,,95.5,,,,,0.24,0.68,0.299,,,,,,,0.25,0.417,0.2,119.0,107.0,104.0,0.035,2.19,85.9,,,,143.0,99.0,110.0,0.554,1.11,88.7,0.221,0.347,0.344,,,
2023/09/09,6:05 PM.,SF,COL,away,Partly Cloudy.,67,657277,LF,3,0,2,0,0,0,0,0,0,1,1,.214,.353,.214,.567,657277,loganwebb,Webb,Right,Logan Webb,SFG,3.25,3.63,216.0,104.0,104.0,103.0,0.81,8.08,1.29,8.38,0.83,2.94,0.187,0.465,0.143,0.325,0.419,112.0,106.0,103.0,,,,88.0,119.0,100.0,105.0,103.0,98.0,,,,0.336,0.037,,,0.416,-1.37,,0.31,,2.18,92.6,,87.5,92.3,,0.225,0.309,0.228,0.226,0.452,0.3,,,,,,,0.313,0.481,0.10400000000000001,91.0,100.0,111.0,0.212,0.11,84.3,0.208,0.369,0.28600000000000003,,,,,,,,,,,,
2023/09/08,7:17 PM.,SF,COL,away,Clear.,63,690986,LF,3,0,1,0,0,0,1,0,1,1,1,.091,.286,.091,.377,690986,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.15,4.55,34.2,99.0,95.0,98.0,0.796,9.09,2.86,7.53,2.08,0.5,0.351,0.361,0.155,0.32,0.427,78.0,100.0,93.0,83.0,90.0,91.0,104.0,103.0,102.0,,,,,,,,0.607,,0.265,0.111,0.66,,,-2.28,-0.87,93.6,,86.6,,82.2,0.25,0.45,0.19,0.182,0.39,0.248,,,,,,,,,,86.0,99.0,105.0,0.017,-4.23,87.5,,,,,,,,,,,,,0.273,0.606,0.242
2023/09/06,12:40 PM.,AZ,COL,away,Roof Closed.,75,605200,RF,4,0,0,0,0,0,0,0,0,3,2,.000,.200,.000,.200,605200,zachdavies,Davies,Right,Zach Davies,ARI,7.0,5.48,82.1,100.0,75.0,92.0,0.799,7.87,4.26,10.71,1.09,1.3,0.239,0.398,0.14,0.371,0.36,78.0,106.0,100.0,89.0,99.0,100.0,72.0,100.0,91.0,71.0,97.0,88.0,73.0,93.0,88.0,0.325,0.226,0.113,0.061,0.248,-0.05,0.13,-1.5,-0.55,-1.19,89.3,87.5,80.7,89.6,77.0,0.275,0.477,0.37200000000000005,0.21,0.355,0.18100000000000002,0.188,0.5,0.2,0.3,0.3,0.145,0.381,0.552,0.096,113.0,105.0,101.0,0.027,-1.83,80.8,0.25,0.5,0.16699999999999998,,,,,,,,,,,,
2023/09/05,6:40 PM.,AZ,COL,away,Roof Closed.,78,694297,RF,0,0,0,0,0,0,0,0,0,0,0,.000,.333,.000,.333,694297,brandonpfaadt,Pfaadt,Right,Brandon Pfaadt,ARI,5.72,4.48,96.0,104.0,103.0,105.0,0.769,8.81,2.44,10.22,2.06,0.73,0.201,0.443,0.148,0.386,0.466,90.0,100.0,97.0,106.0,89.0,97.0,97.0,105.0,102.0,97.0,108.0,100.0,,,,0.099,0.454,,0.055,0.122,-1.63,,-0.03,-1.24,-3.66,93.6,,86.7,93.1,78.8,0.4,0.711,0.33,0.327,0.654,0.17600000000000002,0.294,0.529,0.294,,,,0.313,0.563,0.188,119.0,106.0,117.0,0.27,1.21,83.8,0.18,0.323,0.337,,,,,,,,,,,,
2023/09/04,1:10 PM.,AZ,COL,away,Roof Closed.,78,518876,LF,1,0,0,0,0,0,0,0,0,0,0,.000,.333,.000,.333,518876,merrillkelly,"Kelly, M",Right,Merrill Kelly,ARI,3.29,4.13,177.2,105.0,92.0,103.0,0.753,9.47,3.5,7.24,1.01,1.33,0.195,0.47,0.136,0.359,0.386,99.0,108.0,114.0,121.0,105.0,111.0,78.0,104.0,97.0,85.0,105.0,95.0,87.0,101.0,99.0,0.122,0.301,0.181,0.11,0.231,0.04,0.88,0.83,-0.45,2.43,92.2,90.8,88.7,92.4,82.1,0.18,0.234,0.32,0.224,0.489,0.259,0.268,0.411,0.256,0.22,0.352,0.244,0.261,0.378,0.163,104.0,112.0,110.0,0.055,-0.64,85.5,0.217,0.391,0.413,,,,,,,,,,,,
2023/09/03,1:12 PM.,TOR,COL,home,Partly Cloudy.,86,592332,RF,0,0,0,0,0,0,0,0,0,0,0,.000,.400,.000,.400,592332,kevingausman,Gausman,Right,Kevin Gausman,TOR,3.16,3.85,185.0,104.0,105.0,105.0,0.737,11.53,2.68,7.93,0.92,1.11,0.27,0.384,0.165,0.369,0.399,,,,,,,110.0,104.0,105.0,,,,,,,,0.509,,,,1.13,,,,,94.7,,,,,,,,0.243,0.409,0.172,,,,,,,,,,89.0,89.0,94.0,0.108,-0.97,83.6,0.348,0.565,0.353,105.0,108.0,109.0,0.384,0.3,86.3,0.201,0.307,0.43200000000000005,,,
2023/09/02,6:10 PM.,TOR,COL,home,Cloudy.,95,579328,RF,2,3,0,0,0,0,0,0,2,1,0,.000,.400,.000,.400,579328,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,TOR,3.86,4.3,167.2,101.0,105.0,102.0,0.748,9.72,2.58,8.86,1.45,1.04,0.289,0.4,0.152,0.36,0.431,82.0,93.0,83.0,98.0,103.0,105.0,117.0,99.0,102.0,,,,,,,,0.451,,0.193,0.097,0.05,,,0.24,-1.83,95.1,,88.7,,83.1,0.254,0.508,0.193,0.27,0.412,0.268,0.284,0.463,0.307,,,,,,,101.0,105.0,108.0,0.259,1.11,88.7,0.225,0.396,0.302,,,,,,,,,,,,
2023/09/01,6:40 PM.,TOR,COL,home,Clear.,95,547943,PH,1,0,0,0,0,0,1,0,0,0,1,.000,.000,.000,.000,547943,hyunjinryu,Ryu,Left,Hyun Jin Ryu,TOR,3.46,3.85,52.0,105.0,80.0,95.0,0.802,6.58,2.42,9.17,1.56,1.4,0.234,0.468,0.152,0.327,0.412,74.0,104.0,95.0,88.0,111.0,105.0,75.0,105.0,91.0,73.0,100.0,94.0,92.0,107.0,97.0,0.095,0.317,0.189,0.171,0.228,-0.51,1.27,3.34,-1.45,-2.1,88.6,85.1,78.1,87.7,68.9,0.276,0.448,0.25,0.265,0.633,0.11900000000000001,0.286,0.429,0.35200000000000004,0.238,0.357,0.207,0.133,0.133,0.091,,,,,,,,,,,,,,,,,,,,,
