date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
2023/05/29,1:16 PM.,KC,STL,home,Partly Cloudy.,85,622251,PH,1,0,0,0,0,0,0,0,0,0,0,.243,.300,.432,.732,622251,joshstaumont,Staumont,Right,Josh Staumont,KCR,5.4,4.45,20.0,90.0,108.0,94.0,0.741,10.8,5.85,7.2,0.45,1.35,0.388,0.245,0.163,0.286,0.417,,,,112.0,88.0,91.0,106.0,94.0,104.0,,,,0.464,,0.225,,-0.26,,2.56,,95.6,,,85.8,0.296,0.444,0.23399999999999999,0.133,0.133,0.47200000000000003,,,,,,,101.0,97.0,100.0,0.2,0.55,81.8,0.24,0.28,0.182,102.0,82.0,83.0,,,,0.111,,0.74,,96.5,,0.0,0.0,0.22699999999999998,,,,,,,,,,,,
2023/05/27,7:16 PM.,CLE,STL,away,Partly Cloudy.,67,676440,PH,1,0,0,0,0,0,0,0,0,1,3,.250,.308,.444,.752,676440,tannerbibee,Bibee,Right,Tanner Bibee,CLE,2.98,3.69,142.0,100.0,98.0,101.0,0.763,8.94,2.85,7.73,0.82,0.88,0.244,0.383,0.168,0.302,0.427,101.0,98.0,105.0,91.0,97.0,91.0,110.0,106.0,115.0,,,,0.471,,0.27,0.166,0.6,,1.35,1.07,94.9,,83.8,84.7,0.243,0.348,0.19,0.206,0.355,0.317,0.213,0.298,0.37799999999999995,,,,88.0,98.0,102.0,0.093,-1.11,78.3,0.271,0.479,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/25,12:37 PM.,CIN,STL,away,Partly Cloudy.,65,596133,LF,3,0,1,1,0,0,0,0,0,0,0,.257,.316,.457,.773,596133,lukeweaver,Weaver,Right,Luke Weaver,- - -,6.4,5.55,123.2,102.0,95.0,100.0,0.805,7.93,2.91,11.28,2.11,0.91,0.261,0.395,0.134,0.378,0.433,83.0,103.0,100.0,88.0,102.0,96.0,112.0,101.0,104.0,99.0,103.0,102.0,0.435,0.11,0.137,0.2,-1.47,0.87,-2.22,-2.01,94.0,90.3,86.1,85.8,0.311,0.543,0.175,0.235,0.294,0.321,0.316,0.547,0.32299999999999995,0.218,0.473,0.252,,,,,,,0.255,0.691,0.16699999999999998,,,,,,,,0.118,,-1.56,,81.7,,,,,,,,,,,,,,,
2023/05/24,6:40 PM.,CIN,STL,away,Partly Cloudy.,80,594902,LF,0,0,0,0,0,0,0,0,0,0,0,.250,.294,.438,.732,594902,benlively,Lively,Right,Ben Lively,CIN,5.38,5.03,88.2,101.0,79.0,95.0,0.814,8.02,2.54,9.74,2.03,1.02,0.301,0.38,0.163,0.312,0.449,59.0,94.0,89.0,80.0,99.0,90.0,71.0,102.0,102.0,98.0,92.0,82.0,0.321,0.049,0.243,0.102,-2.09,0.62,1.68,-1.4,90.6,88.1,84.4,80.1,0.362,0.667,0.18100000000000002,0.158,0.303,0.336,0.265,0.412,0.133,0.267,0.267,0.257,101.0,105.0,103.0,0.066,-4.42,76.3,0.273,0.909,0.128,83.0,108.0,98.0,,,,0.219,,0.24,,91.5,,0.257,0.416,0.153,,,,,,,,,,,,
2023/05/22,6:41 PM.,CIN,STL,away,Partly Cloudy.,77,682227,LF,1,1,1,0,0,0,0,0,1,0,0,.250,.294,.438,.732,682227,brandonwilliamson,Williamson,Left,Brandon Williamson,CIN,4.46,4.77,117.0,99.0,93.0,96.0,0.801,7.54,3.0,8.54,1.38,0.88,0.287,0.384,0.139,0.324,0.444,97.0,94.0,99.0,64.0,99.0,86.0,132.0,104.0,113.0,106.0,102.0,98.0,0.372,0.298,0.102,0.165,-0.15,1.71,-1.33,-0.51,92.8,89.3,84.0,81.7,0.269,0.433,0.171,0.0,0.0,0.273,0.183,0.39,0.39899999999999997,0.252,0.433,0.185,98.0,96.0,103.0,0.064,-1.75,73.1,0.333,0.6,0.14300000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/21,1:17 PM.,LAD,STL,home,Sunny.,75,477132,DH,2,0,0,0,0,0,0,0,0,2,1,.226,.250,.419,.669,477132,claytonkershaw,Kershaw,Left,Clayton Kershaw,LAD,2.46,3.77,131.2,100.0,101.0,101.0,0.733,9.36,2.73,6.84,1.3,1.43,0.23,0.493,0.155,0.332,0.425,34.0,98.0,91.0,96.0,97.0,96.0,112.0,102.0,104.0,,,,0.369,,0.434,0.017,0.23,,2.06,-0.46,90.7,,84.6,86.5,0.281,0.451,0.09699999999999999,0.167,0.338,0.36200000000000004,0.2,0.2,0.6,,,,94.0,100.0,106.0,0.175,0.13,73.4,0.212,0.338,0.33799999999999997,90.0,115.0,107.0,,,,0.002,,14.84,,90.9,,0.0,0.0,0.0,,,,116.0,127.0,165.0,0.002,13.51,84.4,0.0,0.0,0.0
2023/05/20,6:16 PM.,LAD,STL,home,Clear.,72,592789,PH,1,0,0,0,0,0,0,0,0,0,0,.241,.267,.448,.715,592789,noahsyndergaard,Syndergaard,Right,Noah Syndergaard,- - -,6.5,6.48,88.2,104.0,80.0,99.0,0.834,5.68,1.93,10.56,2.23,0.94,0.203,0.438,0.147,0.363,0.468,72.0,104.0,100.0,65.0,109.0,95.0,88.0,99.0,97.0,85.0,103.0,98.0,0.181,0.126,0.067,0.222,0.68,-0.49,-2.33,-2.71,92.2,89.5,87.3,85.0,0.208,0.354,0.182,0.24,0.72,0.083,0.286,0.571,0.218,0.333,0.489,0.18899999999999997,95.0,104.0,107.0,0.141,-0.93,77.9,0.233,0.512,0.22,87.0,102.0,96.0,,,,0.261,,-1.16,,92.3,,0.363,0.593,0.138,,,,43.0,87.0,84.0,0.003,1.25,87.7,,,
2023/05/18,6:46 PM.,LAD,STL,home,Partly Cloudy.,81,628711,LF,3,1,1,0,0,1,1,0,0,1,0,.250,.276,.464,.740,628711,juliourias,"Urías, J",Left,Julio Urías,LAD,4.6,4.16,117.1,105.0,105.0,107.0,0.788,8.97,1.84,8.59,1.84,0.82,0.234,0.471,0.192,0.312,0.453,91.0,109.0,108.0,90.0,101.0,98.0,,,,109.0,124.0,127.0,0.451,0.092,,0.157,0.02,-0.42,,-3.03,92.7,87.1,86.1,,0.267,0.503,0.218,,,,0.296,0.593,0.299,0.186,0.322,0.278,132.0,103.0,112.0,0.3,0.84,79.2,,,,,,,,,,,,,,,,,,,0.233,0.457,0.22899999999999998,,,,,,,,,
2023/05/15,7:46 PM.,MIL,STL,home,Overcast.,74,642547,RF,1,0,0,0,0,0,0,0,0,1,0,.240,.269,.360,.629,642547,freddyperalta,"Peralta, F",Right,Freddy Peralta,MIL,3.86,3.35,165.2,102.0,103.0,105.0,0.698,11.41,2.93,7.12,1.41,1.04,0.267,0.455,0.171,0.308,0.405,50.0,97.0,85.0,117.0,104.0,110.0,115.0,99.0,104.0,,,,0.512,,0.218,0.146,0.89,,0.36,0.15,94.4,,88.6,82.4,0.213,0.387,0.292,0.203,0.392,0.46,0.224,0.388,0.312,,,,85.0,103.0,110.0,0.124,0.2,76.9,0.214,0.381,0.33799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/05/14,7:12 PM.,BOS,STL,away,Clear.,66,446372,RF,0,0,0,0,0,0,0,0,0,0,0,.250,.280,.375,.655,446372,coreykluber,Kluber,Right,Corey Kluber,BOS,7.04,6.32,55.0,100.0,94.0,97.0,0.799,6.87,3.44,11.29,2.78,0.63,0.216,0.495,0.137,0.3,0.421,82.0,106.0,96.0,84.0,89.0,80.0,,,,107.0,96.0,93.0,0.023,0.274,,0.159,-0.55,-3.12,,0.67,88.1,86.1,82.1,,,,,,,,0.19,0.262,0.3,0.333,0.75,0.184,106.0,106.0,110.0,0.282,-0.11,80.5,0.247,0.479,0.261,77.0,95.0,86.0,,,,0.263,,-4.75,,88.2,,0.404,0.86,0.10099999999999999,,,,,,,,,,,,
2023/05/13,4:10 PM.,BOS,STL,away,Sunny.,80,519242,LF,3,0,0,0,0,0,0,0,0,3,0,.250,.280,.375,.655,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,81.0,103.0,99.0,99.0,102.0,100.0,92.0,98.0,100.0,,,,0.432,,0.375,0.131,0.46,,0.7,-1.09,93.9,,86.1,77.8,0.252,0.437,0.23399999999999999,0.162,0.358,0.389,0.309,0.473,0.322,,,,,,,,,,,,,98.0,94.0,96.0,,,,0.062,,-1.13,,93.3,,0.267,0.5,0.16699999999999998,,,,,,,,,,,,
2023/05/12,7:12 PM.,BOS,STL,away,Clear.,82,572020,LF,2,0,0,0,0,0,0,0,0,1,2,.286,.318,.429,.747,572020,jamespaxton,Paxton,Left,James Paxton,BOS,4.5,3.77,96.0,100.0,89.0,96.0,0.744,9.47,3.09,8.72,1.69,1.15,0.311,0.392,0.136,0.337,0.437,112.0,88.0,93.0,95.0,103.0,98.0,,,,63.0,101.0,91.0,0.566,0.165,,0.067,0.04,-0.15,,-0.96,95.2,85.8,84.4,,0.269,0.498,0.217,,,,0.316,0.421,0.467,0.191,0.426,0.331,,,,,,,0.231,0.338,0.376,98.0,92.0,90.0,87.0,93.0,94.0,0.007,0.195,-0.01,-0.31,94.9,81.3,,,,,,,,,,,,,,,
2023/05/10,6:39 PM.,CHC,STL,away,Clear.,65,657006,LF,2,1,1,0,0,0,0,0,1,0,0,.316,.350,.474,.824,657006,justinsteele,Steele,Left,Justin Steele,CHC,3.06,3.5,173.1,102.0,99.0,102.0,0.781,9.14,1.87,8.67,0.73,1.7,0.243,0.433,0.179,0.278,0.467,69.0,85.0,78.0,88.0,102.0,98.0,123.0,104.0,111.0,,,,0.626,,0.339,0.01,0.67,,0.54,-1.94,91.8,,87.5,83.3,0.275,0.393,0.203,0.217,0.346,0.311,0.4,0.4,0.1,,,,87.0,98.0,109.0,0.006,2.44,80.7,0.0,0.0,0.33299999999999996,45.0,95.0,88.0,,,,0.018,,0.89,,92.2,,0.25,0.333,0.16699999999999998,,,,,,,,,,,,
2023/05/06,1:17 PM.,DET,STL,home,Overcast.,73,605513,PH,1,0,0,0,0,0,0,0,0,0,0,.294,.294,.471,.765,605513,spencerturnbull,Turnbull,Right,Spencer Turnbull,DET,7.26,6.12,31.0,100.0,98.0,97.0,0.801,6.97,4.35,10.74,1.45,1.48,0.272,0.33,0.184,0.369,0.418,122.0,85.0,86.0,92.0,106.0,100.0,104.0,98.0,100.0,,,,0.405,,0.223,0.11,-1.03,,-1.38,-2.39,92.9,,87.5,83.8,0.273,0.527,0.228,0.29,0.452,0.294,0.143,0.286,0.235,,,,92.0,103.0,106.0,0.068,-6.82,78.6,0.5,0.8,0.235,91.0,99.0,91.0,,,,0.193,,0.8,,93.4,,0.304,0.391,0.115,,,,,,,,,,,,
2023/05/05,7:15 PM.,DET,STL,home,Cloudy.,70,571510,LF,4,1,1,0,0,0,0,0,0,1,3,.313,.313,.500,.813,571510,matthewboyd,Boyd,Left,Matthew Boyd,DET,5.45,4.24,71.0,98.0,86.0,96.0,0.717,9.25,3.17,8.75,1.39,0.9,0.222,0.394,0.153,0.32,0.379,87.0,97.0,101.0,81.0,102.0,94.0,95.0,95.0,96.0,,,,0.386,,0.284,0.186,-0.64,,0.57,0.56,91.4,,80.2,79.6,0.281,0.509,0.295,0.203,0.338,0.305,0.245,0.367,0.389,,,,90.0,87.0,92.0,0.074,-2.52,73.8,0.4,1.0,0.182,76.0,100.0,90.0,,,,0.07,,2.52,,90.8,,0.207,0.207,0.244,,,,,,,,,,,,
2023/04/11,6:40 PM.,COL,STL,away,Clear.,82,607536,DH,4,1,2,0,0,1,1,0,0,0,1,.333,.333,.583,.916,607536,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.03,5.7,155.2,103.0,70.0,94.0,0.847,5.43,2.43,10.81,1.68,1.0,0.202,0.441,0.122,0.391,0.437,47.0,105.0,95.0,68.0,105.0,90.0,65.0,99.0,96.0,,,,0.184,,0.236,0.122,1.13,,-0.2,-3.3,88.8,,84.2,84.1,0.239,0.431,0.127,0.246,0.549,0.2,0.435,0.681,0.139,,,,,,,,,,0.261,0.41,0.32,67.0,103.0,88.0,96.0,105.0,105.0,0.283,0.176,-0.86,-1.91,88.7,80.6,0.349,0.529,0.091,,,,,,,,,,,,
2023/04/08,6:11 PM.,MIL,STL,away,Roof Closed.,65,641778,DH,4,0,1,0,0,0,0,0,0,0,3,.250,.250,.250,.500,641778,ericlauer,Lauer,Left,Eric Lauer,MIL,6.56,7.54,46.2,97.0,82.0,90.0,0.811,8.29,4.63,10.41,3.09,0.49,0.201,0.465,0.09,0.438,0.431,59.0,99.0,91.0,79.0,101.0,93.0,89.0,105.0,100.0,82.0,93.0,87.0,0.432,0.358,0.078,0.007,-1.01,-2.06,2.07,-17.68,90.8,86.7,82.8,82.6,0.261,0.58,0.258,0.188,0.188,0.111,,,,0.309,0.568,0.212,89.0,91.0,90.0,0.124,-6.37,75.3,0.412,1.235,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/04/04,6:45 PM.,ATL,STL,home,Overcast.,82,689266,DH,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,689266,dylandodd,Dodd,Left,Dylan Dodd,ATL,7.6,8.37,34.1,106.0,82.0,98.0,0.842,3.93,3.15,13.89,2.36,0.77,0.235,0.419,0.081,0.419,0.518,74.0,96.0,93.0,80.0,111.0,99.0,87.0,101.0,98.0,92.0,112.0,94.0,0.489,0.048,0.285,0.178,-1.53,-3.19,-4.07,-3.11,92.1,85.3,82.9,81.8,0.342,0.595,0.13,0.375,0.75,0.301,0.355,0.516,0.204,0.333,0.667,0.11800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
