date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS_ba,FS_slg,FS_whiff,SV_ba,SV_slg,SV_whiff
2023/09/30,3:08 PM.,TB,TOR,home,Partly Cloudy.,68,542888,2B,0,0,0,0,0,0,0,0,0,0,0,.249,.312,.338,.650,542888,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,1.38,2.65,52.0,108.0,105.0,108.0,0.766,9.35,1.9,6.23,0.35,0.95,0.297,0.348,0.145,0.275,0.437,,,,,,,107.0,122.0,119.0,107.0,103.0,102.0,101.0,103.0,103.0,0.341,0.208,0.376,,,2.69,2.25,2.2,,,94.5,91.4,,94.7,,0.213,0.262,0.204,,,,,,,0.089,0.2,0.32299999999999995,0.191,0.294,0.29,109.0,123.0,132.0,0.074,-2.41,85.2,0.353,0.412,0.207,,,,,,,,,,,,,,,,,,
2023/09/29,7:07 PM.,TB,TOR,home,Clear.,64,650644,SS,0,0,0,0,0,0,0,0,0,0,0,.249,.312,.338,.650,650644,aaroncivale,Civale,Right,Aaron Civale,- - -,3.46,3.69,122.1,106.0,105.0,104.0,0.786,8.53,2.43,8.02,0.88,1.0,0.212,0.458,0.149,0.307,0.413,,,,153.0,113.0,120.0,76.0,101.0,91.0,75.0,101.0,89.0,96.0,104.0,103.0,0.185,0.123,0.372,0.244,,-0.65,1.13,1.59,0.77,,91.8,87.7,,92.4,78.1,0.202,0.292,0.14400000000000002,,,,0.188,0.323,0.273,0.359,0.436,0.243,0.261,0.406,0.23399999999999999,128.0,111.0,116.0,0.058,0.15,82.5,0.172,0.345,0.23199999999999998,0.017,-6.33,85.2,,,,,,,58.0,95.0,95.0,0.5,0.625,0.182,,,
2023/09/23,4:10 PM.,TB,TOR,away,Dome.,72,641793,PH,1,0,1,1,0,0,0,0,0,0,0,.249,.312,.338,.650,641793,zacklittell,Littell,Right,Zack Littell,- - -,4.1,4.24,90.0,105.0,92.0,105.0,0.801,7.4,1.2,9.4,1.3,1.12,0.263,0.401,0.128,0.36,0.469,,,,,,,73.0,109.0,100.0,74.0,108.0,98.0,,,,0.099,0.312,,,,0.57,,0.28,,,94.1,,,92.9,,0.237,0.342,0.063,,,,,,,0.26,0.44,0.22,,,,103.0,100.0,105.0,0.397,0.34,87.1,0.25,0.417,0.3,0.192,-1.3,84.3,,,,,,,115.0,107.0,118.0,0.268,0.415,0.281,,,
2023/09/22,6:41 PM.,TB,TOR,away,Dome.,72,607192,2B,4,1,1,1,0,0,0,0,0,1,3,.246,.309,.330,.639,607192,tylerglasnow,Glasnow,Right,Tyler Glasnow,TBR,3.53,3.55,120.0,101.0,121.0,109.0,0.659,12.15,2.78,6.98,0.98,1.62,0.246,0.372,0.161,0.386,0.454,78.0,81.0,84.0,152.0,103.0,114.0,128.0,103.0,110.0,,,,,,,0.004,0.432,,0.213,0.003,0.54,,-7.7,1.81,2.91,96.4,,92.3,96.4,83.9,,,,,,,0.095,0.19,0.522,0.236,0.41,0.249,,,,94.0,97.0,104.0,0.348,1.25,90.1,0.254,0.373,0.382,,,,,,,,,,,,,,,,,,
2023/09/19,7:09 PM.,NYY,TOR,away,Clear.,70,657376,2B,0,0,0,0,0,0,0,0,0,0,0,.245,.310,.327,.637,657376,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,4.64,4.33,159.0,102.0,102.0,104.0,0.783,8.43,2.6,9.57,1.36,1.16,0.232,0.447,0.154,0.309,0.439,31.0,95.0,88.0,,,,,,,68.0,103.0,88.0,96.0,106.0,105.0,0.241,,0.279,,0.015,,0.27,-0.2,,-7.35,,91.3,89.4,93.4,,0.288,0.447,0.11,0.5,0.5,0.091,0.198,0.314,0.345,,,,0.28,0.457,0.222,109.0,99.0,107.0,0.274,-0.59,86.0,0.276,0.559,0.263,,,,146.0,100.0,118.0,0.191,-0.46,83.7,,,,,,,,,
2023/09/16,3:08 PM.,BOS,TOR,home,Partly Cloudy.,72,519242,3B,5,0,1,0,0,0,0,0,1,2,4,.245,.310,.327,.637,519242,chrissale,Sale,Left,Chris Sale,BOS,4.3,3.61,102.2,100.0,94.0,99.0,0.725,10.96,2.54,7.63,1.31,0.86,0.293,0.384,0.16,0.308,0.405,81.0,103.0,99.0,,,,99.0,102.0,100.0,98.0,94.0,96.0,,,,0.062,0.432,,,0.131,0.46,,-1.13,,-1.09,93.9,,86.1,93.3,,0.267,0.5,0.16699999999999998,0.309,0.473,0.322,,,,0.252,0.437,0.23399999999999999,,,,92.0,98.0,100.0,0.375,0.7,77.8,0.162,0.358,0.389,,,,,,,,,,,,,,,,,,
2023/09/14,7:09 PM.,TEX,TOR,home,Clear.,65,543135,PH,1,0,0,0,0,0,0,0,0,1,1,.247,.309,.330,.639,543135,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.63,3.98,144.0,100.0,101.0,98.0,0.758,8.25,2.94,7.31,0.94,1.59,0.196,0.469,0.14,0.367,0.397,,,,99.0,104.0,102.0,92.0,97.0,93.0,,,,86.0,98.0,92.0,,0.372,0.176,0.135,,0.41,1.33,,0.86,,95.1,90.6,,,76.0,,,,,,,0.2,0.22,0.41700000000000004,0.234,0.423,0.183,0.238,0.417,0.198,101.0,113.0,109.0,0.04,-3.23,83.9,0.303,0.606,0.13699999999999998,0.276,1.26,87.9,,,,,,,125.0,101.0,106.0,0.196,0.314,0.355,,,
2023/09/13,7:07 PM.,TEX,TOR,home,Partly Cloudy.,65,656756,3B,3,0,2,0,0,0,0,0,0,0,0,.248,.311,.332,.643,656756,jordanmontgomery,Montgomery,Left,Jordan Montgomery,- - -,3.2,3.98,188.2,101.0,97.0,96.0,0.76,7.92,2.29,8.44,0.86,1.24,0.277,0.392,0.143,0.322,0.405,99.0,101.0,98.0,116.0,108.0,111.0,75.0,95.0,84.0,91.0,99.0,91.0,101.0,102.0,87.0,0.426,0.106,0.016,0.222,0.229,-0.68,-4.4,1.22,0.84,0.2,93.4,88.2,83.5,93.3,80.5,0.255,0.374,0.141,0.239,0.405,0.392,0.191,0.357,0.371,0.333,0.5,0.195,0.417,0.667,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/12,7:07 PM.,TEX,TOR,home,Roof Closed.,68,453286,3B,2,0,1,1,0,0,0,0,0,0,0,.242,.306,.327,.633,453286,maxscherzer,Scherzer,Right,Max Scherzer,- - -,3.77,3.28,152.2,103.0,101.0,103.0,0.737,10.26,2.65,7.43,1.65,0.68,0.239,0.412,0.183,0.319,0.434,94.0,106.0,106.0,96.0,101.0,104.0,104.0,101.0,101.0,,,,98.0,108.0,99.0,,0.463,0.104,0.124,0.141,0.72,2.12,,0.51,0.03,93.7,88.4,83.8,,75.4,,,,0.207,0.283,0.275,0.187,0.373,0.326,0.255,0.458,0.23800000000000002,0.135,0.243,0.33299999999999996,106.0,108.0,108.0,0.168,-0.21,84.0,0.25,0.545,0.364,,,,,,,,,,,,,,,,,,
2023/09/10,1:38 PM.,KC,TOR,home,Partly Cloudy.,70,666142,SS,4,0,1,0,0,0,1,0,0,1,1,.239,.304,.321,.625,666142,coleragans,Ragans,Left,Cole Ragans,- - -,3.47,3.33,96.0,99.0,101.0,101.0,0.713,10.59,3.84,6.56,0.66,1.21,0.284,0.364,0.178,0.284,0.409,90.0,97.0,103.0,,,,108.0,100.0,100.0,,,,89.0,92.0,87.0,,0.401,0.134,,0.237,0.24,1.47,,,2.84,96.5,91.8,86.6,,,,,,0.152,0.192,0.344,0.194,0.306,0.295,0.234,0.411,0.27899999999999997,0.27,0.378,0.23800000000000002,126.0,114.0,125.0,0.104,2.79,86.6,0.18,0.2,0.4,,,,,,,0.124,-0.05,81.8,,,,,,,,,
2023/09/09,3:08 PM.,KC,TOR,home,Cloudy.,68,663704,3B,0,0,0,0,0,0,0,0,0,0,0,.239,.305,.322,.627,663704,jamesmcarthur,McArthur,Right,James McArthur,KCR,4.63,2.97,23.1,103.0,114.0,106.0,0.764,8.87,0.77,7.71,0.77,2.31,0.313,0.469,0.203,0.344,0.478,,,,142.0,106.0,119.0,64.0,122.0,91.0,94.0,100.0,96.0,104.0,61.0,62.0,0.349,0.018,0.003,0.387,,3.38,-3.87,-1.25,1.52,,92.8,90.4,,94.1,82.2,0.286,0.679,0.064,,,,0.194,0.25,0.353,,,,,,,103.0,101.0,102.0,0.243,2.66,86.4,0.263,0.368,0.302,,,,,,,,,,,,,,,,,,
2023/09/08,7:07 PM.,KC,TOR,home,Cloudy.,68,676092,3B,2,0,0,0,0,0,0,0,0,1,0,.239,.305,.322,.627,676092,collinsnider,Snider,Right,Collin Snider,KCR,4.87,5.41,20.1,95.0,103.0,95.0,0.83,4.87,5.75,10.62,1.33,2.06,0.183,0.563,0.169,0.296,0.395,50.0,49.0,53.0,,,,106.0,89.0,88.0,68.0,96.0,85.0,108.0,99.0,93.0,0.379,0.106,0.15,,0.003,5.8,0.09,-4.06,,-3.64,94.8,91.6,90.2,95.8,,0.485,0.667,0.085,,,,,,,0.111,0.111,0.105,0.214,0.286,0.138,129.0,98.0,110.0,0.362,-0.49,84.1,0.273,0.818,0.222,,,,,,,,,,,,,,,,,,
2023/09/06,12:37 PM.,OAK,TOR,away,Sunny.,70,676664,3B,4,0,1,0,0,0,0,0,0,0,3,.241,.308,.325,.633,676664,jpsears,Sears,Left,JP Sears,OAK,4.54,4.64,172.1,101.0,93.0,100.0,0.779,8.41,2.77,8.62,1.78,0.55,0.283,0.416,0.178,0.301,0.438,83.0,100.0,102.0,,,,93.0,102.0,96.0,,,,,,,0.001,0.501,,,0.151,-0.84,,0.63,,0.36,93.1,,84.1,92.1,,,,,0.277,0.438,0.225,,,,0.256,0.478,0.217,,,,93.0,102.0,106.0,0.346,-0.06,81.4,0.21,0.395,0.28300000000000003,,,,,,,,,,,,,,,,,,
2023/09/05,6:40 PM.,OAK,TOR,away,Clear.,68,686610,3B,3,1,1,1,0,0,0,0,1,0,1,.241,.309,.327,.636,686610,kenwaldichuk,Waldichuk,Left,Ken Waldichuk,OAK,5.36,4.67,141.0,95.0,91.0,93.0,0.767,8.43,4.53,9.51,1.53,0.99,0.223,0.401,0.155,0.31,0.414,92.0,90.0,88.0,93.0,77.0,85.0,89.0,95.0,92.0,,,,,,,,0.543,,0.02,0.166,-0.52,,,-3.62,-1.4,93.3,,84.2,,74.5,,,,0.34,0.515,0.374,0.333,0.833,0.0,0.275,0.493,0.17800000000000002,,,,96.0,99.0,100.0,0.271,-0.79,81.1,0.218,0.423,0.32799999999999996,,,,,,,,,,,,,,,,,,
2023/09/04,1:08 PM.,OAK,TOR,away,Sunny.,69,665622,3B,1,1,1,1,0,0,1,0,0,0,0,.240,.306,.321,.627,665622,luismedina,Medina,Right,Luis Medina,OAK,5.42,4.8,109.2,94.0,107.0,95.0,0.767,8.7,4.68,8.95,1.15,1.27,0.321,0.349,0.154,0.352,0.416,84.0,86.0,90.0,99.0,96.0,98.0,112.0,93.0,94.0,117.0,96.0,96.0,,,,0.142,0.415,,0.117,0.087,-0.35,,-0.8,-0.73,1.25,96.1,,87.3,95.5,79.6,0.313,0.406,0.141,0.256,0.282,0.304,0.146,0.366,0.308,0.272,0.494,0.121,,,,106.0,97.0,100.0,0.238,-0.8,85.3,0.233,0.456,0.484,,,,,,,,,,,,,,,,,,
2023/09/03,1:12 PM.,COL,TOR,away,Partly Cloudy.,86,502624,3B,2,0,1,0,0,0,0,0,0,0,2,.236,.302,.313,.615,502624,chaseanderson,Anderson,Right,Chase Anderson,- - -,5.42,4.96,86.1,99.0,82.0,94.0,0.8,6.67,3.44,9.38,1.77,0.84,0.261,0.354,0.153,0.325,0.397,71.0,106.0,104.0,75.0,91.0,92.0,67.0,93.0,82.0,70.0,96.0,82.0,108.0,98.0,97.0,0.073,0.312,0.263,0.041,0.229,-2.17,0.63,-5.45,-4.22,2.14,93.3,89.2,83.9,92.6,77.6,0.545,0.955,0.073,0.163,0.25,0.287,0.3,0.9,0.125,0.351,0.619,0.17300000000000001,0.244,0.444,0.226,104.0,114.0,115.0,0.082,0.92,80.6,0.172,0.172,0.24600000000000002,,,,,,,,,,,,,,,,,,
2023/09/02,6:10 PM.,COL,TOR,away,Cloudy.,95,621389,3B,3,0,2,0,0,0,2,0,0,0,0,.233,.300,.311,.611,621389,tyblach,Blach,Left,Ty Blach,COL,5.54,7.26,78.0,102.0,75.0,88.0,0.856,5.77,2.77,12.0,1.73,1.18,0.279,0.371,0.121,0.39,0.447,20.0,103.0,96.0,66.0,98.0,98.0,,,,69.0,104.0,84.0,170.0,99.0,85.0,0.55,,0.165,0.064,0.221,,-2.26,-1.22,-0.44,-1.35,,83.7,79.9,89.3,78.9,0.322,0.561,0.102,0.371,0.486,0.207,0.211,0.211,0.257,,,,0.348,0.652,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/09/01,6:40 PM.,COL,TOR,away,Clear.,95,623167,2B,1,0,0,0,0,0,0,0,0,1,2,.226,.295,.305,.600,623167,chrisflexen,Flexen,Right,Chris Flexen,- - -,6.86,6.2,102.1,99.0,83.0,93.0,0.794,6.51,3.34,11.7,2.2,1.05,0.257,0.417,0.137,0.346,0.401,93.0,97.0,97.0,92.0,95.0,111.0,65.0,98.0,84.0,49.0,106.0,76.0,87.0,100.0,94.0,0.019,0.409,0.293,0.022,0.16,-2.66,-0.47,-7.15,2.61,0.72,91.9,87.9,81.0,90.9,71.6,0.6,0.7,0.111,0.213,0.32,0.397,0.125,0.125,0.35700000000000004,0.379,0.739,0.174,0.287,0.504,0.20199999999999999,122.0,107.0,111.0,0.097,-2.44,80.8,0.389,0.444,0.14800000000000002,,,,,,,,,,,,,,,,,,
2023/08/30,3:08 PM.,WSH,TOR,home,Partly Cloudy.,67,571578,3B,4,0,2,0,0,0,2,0,0,0,0,.228,.297,.307,.604,571578,patrickcorbin,Corbin,Left,Patrick Corbin,WSN,5.2,6.16,180.0,101.0,81.0,95.0,0.797,6.2,2.85,10.5,1.65,1.3,0.24,0.392,0.127,0.344,0.411,66.0,101.0,96.0,,,,65.0,103.0,88.0,86.0,102.0,93.0,,,,0.417,0.169,,,0.064,-0.69,,-0.89,,-2.07,91.8,,81.2,92.1,,0.32,0.463,0.07400000000000001,0.29,0.645,0.4,,,,0.327,0.541,0.121,,,,84.0,99.0,100.0,0.35,-0.51,80.5,0.233,0.461,0.397,,,,,,,,,,,,,,,,,,
2023/08/29,7:08 PM.,WSH,TOR,home,Clear.,71,669022,3B,2,0,2,1,0,0,0,0,0,0,0,.222,.293,.303,.596,669022,mackenziegore,Gore,Left,MacKenzie Gore,WSN,4.42,5.2,136.1,97.0,100.0,101.0,0.749,9.97,3.76,8.85,1.78,0.97,0.26,0.391,0.158,0.354,0.409,69.0,88.0,90.0,72.0,99.0,104.0,112.0,98.0,100.0,,,,,,,,0.595,,0.188,0.029,-0.27,,,-0.85,1.1,95.0,,86.5,,83.2,,,,0.188,0.25,0.382,0.257,0.416,0.379,0.279,0.503,0.21600000000000003,,,,101.0,97.0,102.0,0.188,0.77,88.5,0.213,0.415,0.375,,,,,,,,,,,,,,,,,,
