,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-05-31,746140,Single,single,False,453568,621111,Charlie Blackmon,Walker Buehler,0,bcf0b445-1e2a-48b9-934f-6cc16c245eee,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.84,4.86,37.0,103.0,98.0,102.0,0.841,7.54,2.43,11.19,2.43,1.26,0.228,0.447,0.13,0.366,0.438,74.0,104.0,98.0,96.0,99.0,98.0,85.0,107.0,101.0,126.0,107.0,115.0,100.0,101.0,112.0,102.0,102.0,100.0,0.198,0.286,0.201,0.103,0.144,0.068,-3.09,1.78,0.15,-3.39,-3.89,-3.76,95.5,91.5,90.0,95.0,83.8,79.0,0.378,0.784,0.173,0.243,0.27,0.113,0.233,0.433,0.153,0.368,0.579,0.282,0.176,0.529,0.167,0.455,0.636,0.095,,,,,,
1,2024-05-31,746140,Single,single,False,678662,621111,Ezequiel Tovar,Walker Buehler,1,c2f10c2c-b5d1-49bc-bc84-87f64fe48e32,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.84,4.86,37.0,103.0,98.0,102.0,0.841,7.54,2.43,11.19,2.43,1.26,0.228,0.447,0.13,0.366,0.438,74.0,104.0,98.0,96.0,99.0,98.0,85.0,107.0,101.0,126.0,107.0,115.0,100.0,101.0,112.0,102.0,102.0,100.0,0.198,0.286,0.201,0.103,0.144,0.068,-3.09,1.78,0.15,-3.39,-3.89,-3.76,95.5,91.5,90.0,95.0,83.8,79.0,0.378,0.784,0.173,0.243,0.27,0.113,0.233,0.433,0.153,0.368,0.579,0.282,0.176,0.529,0.167,0.455,0.636,0.095,,,,,,
2,2024-05-31,746140,Strikeout,strikeout,True,641857,621111,Ryan McMahon,Walker Buehler,0,4c65132a-9e46-4659-8e1e-5e44ea0e1c09,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.84,4.86,37.0,103.0,98.0,102.0,0.841,7.54,2.43,11.19,2.43,1.26,0.228,0.447,0.13,0.366,0.438,74.0,104.0,98.0,96.0,99.0,98.0,85.0,107.0,101.0,126.0,107.0,115.0,100.0,101.0,112.0,102.0,102.0,100.0,0.198,0.286,0.201,0.103,0.144,0.068,-3.09,1.78,0.15,-3.39,-3.89,-3.76,95.5,91.5,90.0,95.0,83.8,79.0,0.378,0.784,0.173,0.243,0.27,0.113,0.233,0.433,0.153,0.368,0.579,0.282,0.176,0.529,0.167,0.455,0.636,0.095,,,,,,
3,2024-05-31,746140,Walk,walk,False,553869,621111,Elias Díaz,Walker Buehler,1,277f4858-1ace-4142-a4ff-b0850a4d9651,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.84,4.86,37.0,103.0,98.0,102.0,0.841,7.54,2.43,11.19,2.43,1.26,0.228,0.447,0.13,0.366,0.438,74.0,104.0,98.0,96.0,99.0,98.0,85.0,107.0,101.0,126.0,107.0,115.0,100.0,101.0,112.0,102.0,102.0,100.0,0.198,0.286,0.201,0.103,0.144,0.068,-3.09,1.78,0.15,-3.39,-3.89,-3.76,95.5,91.5,90.0,95.0,83.8,79.0,0.378,0.784,0.173,0.243,0.27,0.113,0.233,0.433,0.153,0.368,0.579,0.282,0.176,0.529,0.167,0.455,0.636,0.095,,,,,,
4,2024-05-31,746140,Strikeout,strikeout,True,592178,621111,Kris Bryant,Walker Buehler,0,42bc4dfb-8d6b-40ee-a9f8-4ddf5037fb30,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.84,4.86,37.0,103.0,98.0,102.0,0.841,7.54,2.43,11.19,2.43,1.26,0.228,0.447,0.13,0.366,0.438,74.0,104.0,98.0,96.0,99.0,98.0,85.0,107.0,101.0,126.0,107.0,115.0,100.0,101.0,112.0,102.0,102.0,100.0,0.198,0.286,0.201,0.103,0.144,0.068,-3.09,1.78,0.15,-3.39,-3.89,-3.76,95.5,91.5,90.0,95.0,83.8,79.0,0.378,0.784,0.173,0.243,0.27,0.113,0.233,0.433,0.153,0.368,0.579,0.282,0.176,0.529,0.167,0.455,0.636,0.095,,,,,,
5,2024-05-31,746140,Strikeout,strikeout,True,663898,621111,Brendan Rodgers,Walker Buehler,0,28ac9307-3706-4a99-ad6a-a4412557aa94,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.84,4.86,37.0,103.0,98.0,102.0,0.841,7.54,2.43,11.19,2.43,1.26,0.228,0.447,0.13,0.366,0.438,74.0,104.0,98.0,96.0,99.0,98.0,85.0,107.0,101.0,126.0,107.0,115.0,100.0,101.0,112.0,102.0,102.0,100.0,0.198,0.286,0.201,0.103,0.144,0.068,-3.09,1.78,0.15,-3.39,-3.89,-3.76,95.5,91.5,90.0,95.0,83.8,79.0,0.378,0.784,0.173,0.243,0.27,0.113,0.233,0.433,0.153,0.368,0.579,0.282,0.176,0.529,0.167,0.455,0.636,0.095,,,,,,
6,2024-05-31,746140,Flyout,field_out,True,605141,641712,Mookie Betts,Dakota Hudson,0,c1462a60-203a-4f32-90e0-c2425acd0b12,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,,,,0.32,0.156,,0.255,,0.103,-1.93,,-0.53,-0.32,,-4.92,89.9,,83.4,90.3,84.1,,0.296,0.5,0.079,0.315,0.465,0.07,,,,0.114,0.205,0.333,0.289,0.361,0.313,0.379,0.69,0.146,102.0,98.0,99.0,0.166,0.89,80.2
7,2024-05-31,746140,Groundout,field_out,True,660271,641712,Shohei Ohtani,Dakota Hudson,0,f17f482b-f873-4e7c-84a0-f221a7495a7b,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,,,,0.32,0.156,,0.255,,0.103,-1.93,,-0.53,-0.32,,-4.92,89.9,,83.4,90.3,84.1,,0.296,0.5,0.079,0.315,0.465,0.07,,,,0.114,0.205,0.333,0.289,0.361,0.313,0.379,0.69,0.146,102.0,98.0,99.0,0.166,0.89,80.2
8,2024-05-31,746140,Groundout,field_out,True,518692,641712,Freddie Freeman,Dakota Hudson,0,9a631509-eeeb-48f5-ba54-86c703186187,641712.0,dakotahudson,"Hudson, Dak",Right,Dakota Hudson,COL,5.84,5.76,86.1,96.0,84.0,91.0,0.827,5.0,4.8,10.01,1.04,1.79,0.216,0.418,0.144,0.37,0.416,84.0,94.0,93.0,64.0,89.0,76.0,71.0,96.0,86.0,99.0,96.0,97.0,,,,,,,0.32,0.156,,0.255,,0.103,-1.93,,-0.53,-0.32,,-4.92,89.9,,83.4,90.3,84.1,,0.296,0.5,0.079,0.315,0.465,0.07,,,,0.114,0.205,0.333,0.289,0.361,0.313,0.379,0.69,0.146,102.0,98.0,99.0,0.166,0.89,80.2
9,2024-05-31,746140,Flyout,field_out,True,660707,621111,Elehuris Montero,Walker Buehler,0,449bf4f2-6ff3-4124-8a12-59df6ae912be,621111.0,walkerbuehler,Buehler,Right,Walker Buehler,LAD,5.84,4.86,37.0,103.0,98.0,102.0,0.841,7.54,2.43,11.19,2.43,1.26,0.228,0.447,0.13,0.366,0.438,74.0,104.0,98.0,96.0,99.0,98.0,85.0,107.0,101.0,126.0,107.0,115.0,100.0,101.0,112.0,102.0,102.0,100.0,0.198,0.286,0.201,0.103,0.144,0.068,-3.09,1.78,0.15,-3.39,-3.89,-3.76,95.5,91.5,90.0,95.0,83.8,79.0,0.378,0.784,0.173,0.243,0.27,0.113,0.233,0.433,0.153,0.368,0.579,0.282,0.176,0.529,0.167,0.455,0.636,0.095,,,,,,
